,Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Temperature,Wind Speed,Precipitable Water,Relative Humidity,Solar Zenith Angle
2018-01-01 00:00:00,2018,1,1,0,30,0,0,9.7,10.4,0.7000000000000001,1.7000000000000002,95.67,164.93
2018-01-01 01:00:00,2018,1,1,1,30,0,0,9.7,10.3,0.7000000000000001,1.7000000000000002,96.13,157.75
2018-01-01 02:00:00,2018,1,1,2,30,0,0,9.6,10.0,0.7000000000000001,1.7000000000000002,97.16,147.0
2018-01-01 03:00:00,2018,1,1,3,30,0,0,9.4,9.7,0.7000000000000001,1.7000000000000002,97.75,135.3
2018-01-01 04:00:00,2018,1,1,4,30,0,0,9.1,9.4,0.7000000000000001,1.7000000000000002,98.15,123.42
2018-01-01 05:00:00,2018,1,1,5,30,0,0,8.9,9.2,0.7000000000000001,1.8,98.0,111.68
2018-01-01 06:00:00,2018,1,1,6,30,0,0,8.700000000000001,9.1,0.7000000000000001,1.8,97.44,100.32
2018-01-01 07:00:00,2018,1,1,7,30,8,27,8.5,9.6,0.6000000000000001,1.8,93.13,89.15
2018-01-01 08:00:00,2018,1,1,8,30,65,181,8.700000000000001,11.2,0.9,1.8,84.35000000000002,79.71000000000002
2018-01-01 09:00:00,2018,1,1,9,30,122,264,9.1,13.4,1.3,1.8,75.3,71.38
2018-01-01 10:00:00,2018,1,1,10,30,146,431,9.2,15.4,1.5,1.8,66.42,65.0
2018-01-01 11:00:00,2018,1,1,11,30,162,483,8.9,17.0,1.4,1.8,59.05,61.23
2018-01-01 12:00:00,2018,1,1,12,30,164,493,8.200000000000001,18.2,1.1,1.8,52.21,60.59
2018-01-01 13:00:00,2018,1,1,13,30,154,456,7.800000000000002,18.7,1.0,1.8,49.02,63.18
2018-01-01 14:00:00,2018,1,1,14,30,116,455,7.6,18.4,0.9,1.8,49.41,68.61
2018-01-01 15:00:00,2018,1,1,15,30,68,446,8.6,18.1,0.8,1.8,53.99,76.26
2018-01-01 16:00:00,2018,1,1,16,30,29,205,8.6,14.6,0.9,1.8,67.37,85.44
2018-01-01 17:00:00,2018,1,1,17,30,0,0,7.2,13.1,1.0,1.7000000000000002,67.52,96.02
2018-01-01 18:00:00,2018,1,1,18,30,0,0,7.300000000000002,12.3,1.0,1.7000000000000002,71.51,107.17
2018-01-01 19:00:00,2018,1,1,19,30,0,0,7.2,12.0,1.0,1.7000000000000002,72.35000000000002,118.79
2018-01-01 20:00:00,2018,1,1,20,30,0,0,6.800000000000002,12.0,1.0,1.7000000000000002,70.47,130.65
2018-01-01 21:00:00,2018,1,1,21,30,0,0,6.7,12.1,0.9,1.7000000000000002,69.68,142.46
2018-01-01 22:00:00,2018,1,1,22,30,0,0,6.800000000000002,12.2,0.9,1.6,69.35000000000001,153.72
2018-01-01 23:00:00,2018,1,1,23,30,0,0,6.800000000000002,12.1,1.0,1.6,70.0,162.84
2018-01-02 00:00:00,2018,1,2,0,30,0,0,6.9,11.9,1.0,1.7000000000000002,71.28,164.88
2018-01-02 01:00:00,2018,1,2,1,30,0,0,6.9,11.8,1.0,1.7000000000000002,72.05,157.77
2018-01-02 02:00:00,2018,1,2,2,30,0,0,6.9,11.4,1.1,1.7000000000000002,73.68,147.04
2018-01-02 03:00:00,2018,1,2,3,30,0,0,6.800000000000002,10.9,1.1,1.7000000000000002,75.69,135.35
2018-01-02 04:00:00,2018,1,2,4,30,0,0,6.7,10.5,1.1,1.7000000000000002,77.12,123.47
2018-01-02 05:00:00,2018,1,2,5,30,0,0,6.5,10.0,1.1,1.7000000000000002,78.92,111.72
2018-01-02 06:00:00,2018,1,2,6,30,0,0,6.300000000000002,9.7,1.1,1.7000000000000002,79.63,100.35
2018-01-02 07:00:00,2018,1,2,7,30,7,21,6.4,10.7,1.0,1.7000000000000002,74.56,89.17
2018-01-02 08:00:00,2018,1,2,8,30,67,75,7.5,12.8,1.3,1.7000000000000002,70.19,79.72
2018-01-02 09:00:00,2018,1,2,9,30,127,66,7.1000000000000005,14.8,1.5,1.8,60.05,71.36
2018-01-02 10:00:00,2018,1,2,10,30,177,93,7.6,16.900000000000002,1.4,1.8,54.24,64.95
2018-01-02 11:00:00,2018,1,2,11,30,202,57,7.7,18.7,1.3,1.9,48.63,61.16
2018-01-02 12:00:00,2018,1,2,12,30,113,0,7.800000000000002,19.5,1.3,1.9,46.71,60.5
2018-01-02 13:00:00,2018,1,2,13,30,99,0,7.5,19.700000000000006,1.3,2.0,45.35,63.06
2018-01-02 14:00:00,2018,1,2,14,30,87,0,7.800000000000002,18.8,1.1,2.0,48.67,68.48
2018-01-02 15:00:00,2018,1,2,15,30,92,167,9.7,18.2,0.9,2.0,57.7,76.12
2018-01-02 16:00:00,2018,1,2,16,30,29,55,9.6,14.2,1.0,2.0,73.73,85.3
2018-01-02 17:00:00,2018,1,2,17,30,0,0,8.700000000000001,12.7,1.0,1.9,76.4,95.88
2018-01-02 18:00:00,2018,1,2,18,30,0,0,8.4,11.8,1.0,1.9,79.78,107.03
2018-01-02 19:00:00,2018,1,2,19,30,0,0,8.1,11.1,1.0,1.8,81.81,118.65
2018-01-02 20:00:00,2018,1,2,20,30,0,0,8.0,10.7,1.0,1.7000000000000002,83.51,130.51
2018-01-02 21:00:00,2018,1,2,21,30,0,0,8.0,10.4,1.0,1.7000000000000002,85.21000000000002,142.32
2018-01-02 22:00:00,2018,1,2,22,30,0,0,8.0,10.1,1.0,1.7000000000000002,86.93,153.58
2018-01-02 23:00:00,2018,1,2,23,30,0,0,8.1,9.7,1.0,1.6,89.65,162.70000000000005
2018-01-03 00:00:00,2018,1,3,0,30,0,0,8.200000000000001,9.4,1.1,1.6,92.46,164.81
2018-01-03 01:00:00,2018,1,3,1,30,0,0,8.4,9.4,1.1,1.6,93.19,157.77
2018-01-03 02:00:00,2018,1,3,2,30,0,0,8.200000000000001,9.3,1.1,1.5,92.87,147.07
2018-01-03 03:00:00,2018,1,3,3,30,0,0,7.9,9.2,1.2000000000000002,1.5,91.57,135.39
2018-01-03 04:00:00,2018,1,3,4,30,0,0,7.6,9.2,1.2000000000000002,1.4,89.5,123.51
