,itrial,train_frac,method,precision,recall,F1
18,0,0.3,ECAD,0.7392739273927392,0.7777777777777778,0.7580372250423012
19,0,0.3,HBOS,0.05613850996852046,0.3715277777777778,0.097538742023701
20,0,0.3,IForest,0.0315028901734104,0.3784722222222222,0.058164354322305226
21,0,0.3,OCSVM,0.007663612034709269,0.65625,0.015150300601202406
22,0,0.3,PCA,0.021050299135829825,0.3298611111111111,0.039575088523224326
23,0,0.3,SVC,0.3140096618357488,0.22569444444444445,0.26262626262626265
24,0,0.3,GBoosting,0.07061298076923077,0.8159722222222222,0.12997787610619468
25,0,0.3,KNN,0.6601941747572816,0.4722222222222222,0.5506072874493927
26,0,0.3,MLPClassifer,0.12805526036131776,0.8368055555555556,0.2221198156682028
27,0,0.4,ECAD,0.5636856368563685,0.8286852589641435,0.6709677419354838
28,0,0.4,HBOS,0.055358049771457585,0.4342629482071713,0.0981981981981982
29,0,0.4,IForest,0.034412265758092,0.4023904382470119,0.06340238543628375
30,0,0.4,OCSVM,0.007881914588707366,0.6573705179282868,0.015577059240028324
31,0,0.4,PCA,0.02544311034877073,0.3545816733067729,0.0474793278207522
32,0,0.4,SVC,0.3004115226337449,0.2908366533864542,0.29554655870445345
33,0,0.4,GBoosting,0.07000642260757868,0.8685258964143426,0.12956909361069838
34,0,0.4,KNN,0.4047619047619048,0.5418326693227091,0.4633730834752981
35,0,0.4,MLPClassifer,0.07290279627163783,0.8725099601593626,0.1345622119815668
36,0,0.5,ECAD,0.6727941176470589,0.820627802690583,0.7393939393939395
37,0,0.5,HBOS,0.058918050348152125,0.4932735426008968,0.10526315789473684
38,0,0.5,IForest,0.029761904761904764,0.4484304932735426,0.05581914596706671
39,0,0.5,OCSVM,0.009293225727561751,0.6816143497757847,0.018336449725556432
40,0,0.5,PCA,0.025006251562890724,0.4484304932735426,0.0473709142586452
41,0,0.5,SVC,0.2491103202846975,0.31390134529147984,0.2777777777777778
42,0,0.5,GBoosting,0.0893719806763285,0.8295964125560538,0.16136066288704753
43,0,0.5,KNN,0.22016806722689075,0.5874439461883408,0.32029339853300737
44,0,0.5,MLPClassifer,0.09458128078817736,0.8609865470852018,0.170439414114514
0,0,0.6,ECAD,0.6219512195121951,0.7727272727272727,0.6891891891891893
1,0,0.6,HBOS,0.0242024202420242,0.16666666666666666,0.04226705091258405
2,0,0.6,IForest,0.012118274357731459,0.1893939393939394,0.02277904328018223
3,0,0.6,OCSVM,0.005764892639318239,0.5227272727272727,0.011404016197008513
4,0,0.6,PCA,0.008316008316008316,0.15151515151515152,0.015766653527788728
5,0,0.6,SVC,0.3333333333333333,0.4393939393939394,0.3790849673202614
6,0,0.6,GBoosting,0.08613938919342208,0.8333333333333334,0.15613910574875794
7,0,0.6,KNN,0.32367149758454106,0.5075757575757576,0.3952802359882006
8,0,0.6,MLPClassifer,0.10526315789473684,0.8333333333333334,0.18691588785046728
9,0,0.7,ECAD,0.688,0.7962962962962963,0.7381974248927038
10,0,0.7,HBOS,0.04072398190045249,0.25,0.07003891050583658
11,0,0.7,IForest,0.016260162601626018,0.24074074074074076,0.03046280023432923
12,0,0.7,OCSVM,0.006186529707015291,0.4907407407407408,0.012219020172910664
13,0,0.7,PCA,0.010549694614103277,0.17592592592592593,0.01990570979570456
14,0,0.7,SVC,0.2363636363636364,0.4814814814814815,0.3170731707317073
15,0,0.7,GBoosting,0.08166969147005444,0.8333333333333334,0.14876033057851235
16,0,0.7,KNN,0.13895781637717122,0.5185185185185185,0.21917808219178084
17,0,0.7,MLPClassifer,0.10267857142857142,0.8518518518518519,0.18326693227091634
