,Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Temperature,Wind Speed,Precipitable Water,Relative Humidity,Solar Zenith Angle
2018-01-01 00:00:00,2018,1,1,0,30,0,0,9.8,10.4,0.7000000000000001,1.7000000000000002,95.84,165.03
2018-01-01 01:00:00,2018,1,1,1,30,0,0,9.7,10.2,0.7000000000000001,1.7000000000000002,96.84,157.77
2018-01-01 02:00:00,2018,1,1,2,30,0,0,9.6,10.0,0.7000000000000001,1.8,97.14,146.97
2018-01-01 03:00:00,2018,1,1,3,30,0,0,9.3,9.7,0.7000000000000001,1.8,97.64,135.25
2018-01-01 04:00:00,2018,1,1,4,30,0,0,9.1,9.4,0.7000000000000001,1.8,97.97,123.35
2018-01-01 05:00:00,2018,1,1,5,30,0,0,8.9,9.2,0.7000000000000001,1.8,97.89,111.59
2018-01-01 06:00:00,2018,1,1,6,30,0,0,8.700000000000001,9.1,0.7000000000000001,1.8,97.21,100.21
2018-01-01 07:00:00,2018,1,1,7,30,8,30,8.5,9.6,0.6000000000000001,1.8,92.87,89.05
2018-01-01 08:00:00,2018,1,1,8,30,66,66,8.6,11.1,0.9,1.8,84.83,79.59
2018-01-01 09:00:00,2018,1,1,9,30,122,260,9.1,13.3,1.3,1.8,75.74,71.25
2018-01-01 10:00:00,2018,1,1,10,30,145,443,9.2,15.4,1.5,1.8,66.54,64.86
2018-01-01 11:00:00,2018,1,1,11,30,154,521,8.9,17.0,1.4,1.8,59.0,61.1
2018-01-01 12:00:00,2018,1,1,12,30,157,524,8.200000000000001,18.2,1.1,1.8,52.19,60.48
2018-01-01 13:00:00,2018,1,1,13,30,143,510,7.800000000000002,18.8,1.0,1.8,48.71,63.09
2018-01-01 14:00:00,2018,1,1,14,30,111,484,7.6,18.5,0.9,1.8,49.16,68.55
2018-01-01 15:00:00,2018,1,1,15,30,70,427,8.6,18.1,0.8,1.8,53.95,76.22
2018-01-01 16:00:00,2018,1,1,16,30,29,186,8.6,14.6,0.9,1.8,67.4,85.43
2018-01-01 17:00:00,2018,1,1,17,30,0,0,7.300000000000002,13.1,1.0,1.7000000000000002,67.83,96.03
2018-01-01 18:00:00,2018,1,1,18,30,0,0,7.4,12.4,1.0,1.7000000000000002,71.42,107.2
2018-01-01 19:00:00,2018,1,1,19,30,0,0,7.2,12.1,1.0,1.7000000000000002,72.23,118.84
2018-01-01 20:00:00,2018,1,1,20,30,0,0,6.9,12.0,1.0,1.7000000000000002,70.85000000000002,130.71
2018-01-01 21:00:00,2018,1,1,21,30,0,0,6.800000000000002,12.1,0.9,1.7000000000000002,70.04,142.55
2018-01-01 22:00:00,2018,1,1,22,30,0,0,6.800000000000002,12.2,0.9,1.7000000000000002,69.69,153.83
2018-01-01 23:00:00,2018,1,1,23,30,0,0,6.9,12.1,1.0,1.7000000000000002,70.33,162.97
2018-01-02 00:00:00,2018,1,2,0,30,0,0,6.9,12.0,1.0,1.7000000000000002,71.14,164.97
2018-01-02 01:00:00,2018,1,2,1,30,0,0,7.0,11.8,1.0,1.7000000000000002,72.35000000000002,157.79
2018-01-02 02:00:00,2018,1,2,2,30,0,0,6.9,11.5,1.1,1.7000000000000002,73.55,147.01
2018-01-02 03:00:00,2018,1,2,3,30,0,0,6.800000000000002,11.0,1.1,1.7000000000000002,75.54,135.3
2018-01-02 04:00:00,2018,1,2,4,30,0,0,6.7,10.6,1.1,1.7000000000000002,76.92,123.4
2018-01-02 05:00:00,2018,1,2,5,30,0,0,6.6000000000000005,10.1,1.1,1.7000000000000002,78.68,111.63
2018-01-02 06:00:00,2018,1,2,6,30,0,0,6.4,9.8,1.1,1.7000000000000002,79.29,100.25
2018-01-02 07:00:00,2018,1,2,7,30,5,8,6.4,10.8,1.0,1.7000000000000002,74.23,89.07000000000002
2018-01-02 08:00:00,2018,1,2,8,30,60,5,7.5,12.9,1.3,1.7000000000000002,69.95,79.59
2018-01-02 09:00:00,2018,1,2,9,30,124,39,7.2,14.9,1.5,1.8,59.81,71.23
2018-01-02 10:00:00,2018,1,2,10,30,181,103,7.6,17.1,1.4,1.8,53.57,64.82000000000001
2018-01-02 11:00:00,2018,1,2,11,30,191,44,7.6,18.9,1.3,1.9,47.91,61.03
2018-01-02 12:00:00,2018,1,2,12,30,118,0,7.7,19.700000000000006,1.2000000000000002,2.0,45.85,60.38
2018-01-02 13:00:00,2018,1,2,13,30,111,0,7.4,19.8,1.3,2.0,44.75,62.97
2018-01-02 14:00:00,2018,1,2,14,30,117,55,7.7,19.0,1.1,2.0,47.86,68.41
2018-01-02 15:00:00,2018,1,2,15,30,63,0,9.8,18.3,0.9,2.0,57.48,76.09
2018-01-02 16:00:00,2018,1,2,16,30,18,0,9.6,14.4,1.0,2.0,72.72,85.29
2018-01-02 17:00:00,2018,1,2,17,30,0,0,8.700000000000001,12.9,1.0,1.9,75.45,95.89
2018-01-02 18:00:00,2018,1,2,18,30,0,0,8.4,12.0,1.0,1.9,78.77,107.06
2018-01-02 19:00:00,2018,1,2,19,30,0,0,8.1,11.3,1.0,1.8,80.88,118.7
2018-01-02 20:00:00,2018,1,2,20,30,0,0,8.1,10.9,1.0,1.7000000000000002,82.7,130.57
2018-01-02 21:00:00,2018,1,2,21,30,0,0,8.1,10.5,1.0,1.7000000000000002,84.9,142.41
2018-01-02 22:00:00,2018,1,2,22,30,0,0,8.1,10.3,1.0,1.6,86.10000000000002,153.69
2018-01-02 23:00:00,2018,1,2,23,30,0,0,8.1,9.8,1.0,1.6,89.17,162.84
2018-01-03 00:00:00,2018,1,3,0,30,0,0,8.200000000000001,9.5,1.1,1.6,91.76,164.91
2018-01-03 01:00:00,2018,1,3,1,30,0,0,8.3,9.6,1.1,1.6,91.64,157.79
2018-01-03 02:00:00,2018,1,3,2,30,0,0,8.1,9.5,1.1,1.5,91.17,147.05
2018-01-03 03:00:00,2018,1,3,3,30,0,0,7.800000000000002,9.4,1.2000000000000002,1.5,89.87,135.34
2018-01-03 04:00:00,2018,1,3,4,30,0,0,7.5,9.4,1.2000000000000002,1.4,87.75,123.44
2018-01-03 05:00:00,2018,1,3,5,30,0,0,7.1000000000000005,9.5,1.2000000000000002,1.4,84.89,111.67
2018-01-03 06:00:00,2018,1,3,6,30,0,0,6.7,9.7,1.2000000000000002,1.4,81.31,100.27
2018-01-03 07:00:00,2018,1,3,7,30,3,0,6.1000000000000005,10.6,1.1,1.5,73.67,89.08
2018-01-03 08:00:00,2018,1,3,8,30,20,0,6.300000000000002,12.0,0.9,1.7000000000000002,68.08,79.59
2018-01-03 09:00:00,2018,1,3,9,30,45,0,7.4,13.4,0.8,2.0,66.81,71.2
2018-01-03 10:00:00,2018,1,3,10,30,28,0,7.800000000000002,14.3,0.8,2.3000000000000003,64.99,64.77
2018-01-03 11:00:00,2018,1,3,11,30,32,0,8.200000000000001,14.9,0.7000000000000001,2.7,64.34,60.95
2018-01-03 12:00:00,2018,1,3,12,30,36,0,8.700000000000001,14.9,0.9,3.0,66.51,60.28
2018-01-03 13:00:00,2018,1,3,13,30,67,0,8.9,14.8,2.0,3.1,67.91,62.84
2018-01-03 14:00:00,2018,1,3,14,30,18,0,9.3,14.8,2.4000000000000004,3.0,69.5,68.28
2018-01-03 15:00:00,2018,1,3,15,30,67,0,9.3,14.8,2.3000000000000003,2.8000000000000003,69.58,75.94
2018-01-03 16:00:00,2018,1,3,16,30,22,3,9.5,12.9,1.2000000000000002,2.9000000000000004,79.83,85.15
