,Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Temperature,Wind Speed,Precipitable Water,Relative Humidity,Solar Zenith Angle
2018-01-01 00:00:00,2018,1,1,0,30,0,0,10.2,11.3,0.7000000000000001,1.7000000000000002,93.06,165.07
2018-01-01 01:00:00,2018,1,1,1,30,0,0,10.1,11.2,0.7000000000000001,1.8,92.9,157.89
2018-01-01 02:00:00,2018,1,1,2,30,0,0,9.9,10.9,0.7000000000000001,1.8,93.51,147.11
2018-01-01 03:00:00,2018,1,1,3,30,0,0,9.7,10.6,0.7000000000000001,1.8,93.96,135.39
2018-01-01 04:00:00,2018,1,1,4,30,0,0,9.4,10.4,0.7000000000000001,1.8,93.75,123.49
2018-01-01 05:00:00,2018,1,1,5,30,0,0,9.2,10.2,0.7000000000000001,1.8,93.68,111.73
2018-01-01 06:00:00,2018,1,1,6,30,0,0,9.0,10.1,0.7000000000000001,1.8,92.97,100.35
2018-01-01 07:00:00,2018,1,1,7,30,8,28,8.8,10.4,0.7000000000000001,1.8,89.89,89.15
2018-01-01 08:00:00,2018,1,1,8,30,66,129,9.0,11.7,0.9,1.8,83.46000000000002,79.7
2018-01-01 09:00:00,2018,1,1,9,30,113,347,9.4,13.4,1.4,1.8,76.86,71.34
2018-01-01 10:00:00,2018,1,1,10,30,134,494,9.6,15.1,1.5,1.8,69.45,64.92
2018-01-01 11:00:00,2018,1,1,11,30,125,627,9.3,16.5,1.4,1.8,62.63,61.13
2018-01-01 12:00:00,2018,1,1,12,30,118,663,8.9,17.5,1.1,1.8,56.9,60.47
2018-01-01 13:00:00,2018,1,1,13,30,125,585,8.5,18.0,1.0,1.8,53.94,63.04
2018-01-01 14:00:00,2018,1,1,14,30,89,609,8.4,17.8,0.9,1.8,54.13,68.47
2018-01-01 15:00:00,2018,1,1,15,30,60,536,9.2,17.6,0.9,1.8,57.79,76.12
2018-01-01 16:00:00,2018,1,1,16,30,29,230,9.2,14.9,0.9,1.8,68.72,85.31
2018-01-01 17:00:00,2018,1,1,17,30,0,0,8.200000000000001,13.7,1.0,1.8,69.53,95.9
2018-01-01 18:00:00,2018,1,1,18,30,0,0,8.3,13.1,1.0,1.8,72.61,107.06
2018-01-01 19:00:00,2018,1,1,19,30,0,0,8.200000000000001,12.9,1.0,1.7000000000000002,73.06,118.7
2018-01-01 20:00:00,2018,1,1,20,30,0,0,7.9,12.8,1.0,1.7000000000000002,72.11,130.57
2018-01-01 21:00:00,2018,1,1,21,30,0,0,7.9,12.8,0.9,1.7000000000000002,71.95,142.41
2018-01-01 22:00:00,2018,1,1,22,30,0,0,7.9,12.8,0.9,1.7000000000000002,72.08,153.71
2018-01-01 23:00:00,2018,1,1,23,30,0,0,7.9,12.7,1.0,1.7000000000000002,72.49,162.89
