,Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Temperature,Wind Speed,Precipitable Water,Relative Humidity,Solar Zenith Angle
2018-01-01 00:00:00,2018,1,1,0,30,0,0,10.4,11.7,0.7000000000000001,1.8,91.49,165.03
2018-01-01 01:00:00,2018,1,1,1,30,0,0,10.2,11.5,0.6000000000000001,1.8,91.81,157.89
2018-01-01 02:00:00,2018,1,1,2,30,0,0,10.0,11.3,0.6000000000000001,1.8,91.68,147.14
2018-01-01 03:00:00,2018,1,1,3,30,0,0,9.8,11.1,0.6000000000000001,1.8,91.53,135.43
2018-01-01 04:00:00,2018,1,1,4,30,0,0,9.6,10.8,0.6000000000000001,1.8,92.01,123.54
2018-01-01 05:00:00,2018,1,1,5,30,0,0,9.4,10.7,0.6000000000000001,1.8,91.41,111.79
2018-01-01 06:00:00,2018,1,1,6,30,0,0,9.1,10.5,0.6000000000000001,1.8,91.21,100.41
2018-01-01 07:00:00,2018,1,1,7,30,8,29,8.9,10.8,0.7000000000000001,1.9,88.27,89.22
2018-01-01 08:00:00,2018,1,1,8,30,64,191,9.1,11.9,1.0,1.9,83.06,79.77
2018-01-01 09:00:00,2018,1,1,9,30,116,317,9.5,13.4,1.4,1.9,77.2,71.41
2018-01-01 10:00:00,2018,1,1,10,30,139,465,9.6,15.0,1.6,1.9,70.26,65.0
2018-01-01 11:00:00,2018,1,1,11,30,136,585,9.5,16.3,1.4,1.9,64.06,61.2
2018-01-01 12:00:00,2018,1,1,12,30,132,610,9.1,17.2,1.1,1.9,58.96,60.52
2018-01-01 13:00:00,2018,1,1,13,30,138,532,8.8,17.7,1.0,1.9,55.91,63.08
2018-01-01 14:00:00,2018,1,1,14,30,99,557,8.700000000000001,17.6,1.0,1.8,55.76,68.49
2018-01-01 15:00:00,2018,1,1,15,30,70,443,9.3,17.400000000000002,0.9,1.8,58.92,76.13
2018-01-01 16:00:00,2018,1,1,16,30,29,219,9.4,15.0,1.0,1.8,69.04,85.3
2018-01-01 17:00:00,2018,1,1,17,30,0,0,8.5,13.9,1.1,1.8,69.85000000000001,95.88
2018-01-01 18:00:00,2018,1,1,18,30,0,0,8.5,13.4,1.0,1.8,72.42,107.03
2018-01-01 19:00:00,2018,1,1,19,30,0,0,8.4,13.2,1.0,1.8,72.77,118.66
2018-01-01 20:00:00,2018,1,1,20,30,0,0,8.1,13.1,0.9,1.7000000000000002,71.91,130.52
2018-01-01 21:00:00,2018,1,1,21,30,0,0,8.1,13.1,0.9,1.7000000000000002,71.85000000000002,142.35
2018-01-01 22:00:00,2018,1,1,22,30,0,0,8.200000000000001,13.1,0.9,1.7000000000000002,72.05,153.64
2018-01-01 23:00:00,2018,1,1,23,30,0,0,8.200000000000001,12.9,0.9,1.7000000000000002,72.92,162.82
2018-01-02 00:00:00,2018,1,2,0,30,0,0,8.200000000000001,12.8,1.0,1.7000000000000002,73.66,164.97
2018-01-02 01:00:00,2018,1,2,1,30,0,0,8.3,12.6,1.1,1.7000000000000002,74.85000000000002,157.91
2018-01-02 02:00:00,2018,1,2,2,30,0,0,8.1,12.3,1.3,1.7000000000000002,75.68,147.18
2018-01-02 03:00:00,2018,1,2,3,30,0,0,7.9,11.9,1.4,1.7000000000000002,76.76,135.48
2018-01-02 04:00:00,2018,1,2,4,30,0,0,7.800000000000002,11.5,1.5,1.8,77.95,123.59
2018-01-02 05:00:00,2018,1,2,5,30,0,0,7.6,11.2,1.5,1.8,78.58,111.83
2018-01-02 06:00:00,2018,1,2,6,30,0,0,7.5,11.0,1.5,1.8,78.89,100.45
2018-01-02 07:00:00,2018,1,2,7,30,7,22,7.5,11.7,1.5,1.8,75.24,89.24
2018-01-02 08:00:00,2018,1,2,8,30,65,43,8.3,13.3,1.6,1.8,71.7,79.78
2018-01-02 09:00:00,2018,1,2,9,30,129,87,8.1,14.8,1.7000000000000002,1.9,64.14,71.4
2018-01-02 10:00:00,2018,1,2,10,30,162,27,8.6,16.400000000000002,1.5,1.9,59.79,64.96000000000001
2018-01-02 11:00:00,2018,1,2,11,30,159,5,8.700000000000001,17.900000000000006,1.4,2.0,54.88,61.13
2018-01-02 12:00:00,2018,1,2,12,30,132,0,8.700000000000001,18.6,1.4,2.0,52.46,60.43
2018-01-02 13:00:00,2018,1,2,13,30,105,0,8.5,18.9,1.4,2.0,50.83,62.96
2018-01-02 14:00:00,2018,1,2,14,30,99,45,8.700000000000001,18.3,1.2000000000000002,2.0,53.37000000000001,68.36
2018-01-02 15:00:00,2018,1,2,15,30,84,12,10.1,17.900000000000006,1.0,2.0,60.18,75.99
2018-01-02 16:00:00,2018,1,2,16,30,24,0,10.1,14.9,1.0,2.0,73.09,85.17
2018-01-02 17:00:00,2018,1,2,17,30,0,0,9.6,13.7,1.1,2.0,76.06,95.74
