,Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Temperature,Wind Speed,Precipitable Water,Relative Humidity,Solar Zenith Angle
2018-01-01 00:00:00,2018,1,1,0,30,0,0,10.6,12.3,0.7000000000000001,1.7000000000000002,89.36,165.01
2018-01-01 01:00:00,2018,1,1,1,30,0,0,10.4,12.2,0.6000000000000001,1.8,88.68,157.92000000000004
2018-01-01 02:00:00,2018,1,1,2,30,0,0,10.1,12.0,0.5,1.8,88.38,147.19
2018-01-01 03:00:00,2018,1,1,3,30,0,0,9.9,11.8,0.4,1.8,88.33,135.5
2018-01-01 04:00:00,2018,1,1,4,30,0,0,9.7,11.6,0.4,1.9,88.38,123.61
2018-01-01 05:00:00,2018,1,1,5,30,0,0,9.6,11.5,0.4,1.9,87.98,111.86
2018-01-01 06:00:00,2018,1,1,6,30,0,0,9.3,11.3,0.5,1.9,87.79,100.49
2018-01-01 07:00:00,2018,1,1,7,30,8,36,9.1,11.5,0.7000000000000001,1.9,85.42,89.28
2018-01-01 08:00:00,2018,1,1,8,30,62,251,9.3,12.3,1.2000000000000002,1.9,81.95,79.85000000000002
2018-01-01 09:00:00,2018,1,1,9,30,114,328,9.6,13.5,1.7000000000000002,1.9,77.11,71.48
2018-01-01 10:00:00,2018,1,1,10,30,137,477,9.7,14.6,1.7000000000000002,1.9,72.48,65.06
2018-01-01 11:00:00,2018,1,1,11,30,143,555,9.7,15.6,1.4,1.9,67.81,61.25
2018-01-01 12:00:00,2018,1,1,12,30,149,552,9.5,16.400000000000002,1.1,1.9,63.53,60.56
2018-01-01 13:00:00,2018,1,1,13,30,150,478,9.2,17.0,1.1,1.9,59.9,63.09
2018-01-01 14:00:00,2018,1,1,14,30,109,500,8.9,17.1,1.1,1.9,58.64,68.49
2018-01-01 15:00:00,2018,1,1,15,30,72,417,9.3,17.0,1.1,1.9,60.41,76.11
2018-01-01 16:00:00,2018,1,1,16,30,29,201,9.5,15.1,1.0,1.8,69.18,85.27
2018-01-01 17:00:00,2018,1,1,17,30,0,0,8.8,14.3,1.1,1.8,69.49,95.84
2018-01-01 18:00:00,2018,1,1,18,30,0,0,8.8,13.9,1.0,1.8,71.53,106.98
2018-01-01 19:00:00,2018,1,1,19,30,0,0,8.700000000000001,13.7,0.9,1.7000000000000002,71.85000000000002,118.6
2018-01-01 20:00:00,2018,1,1,20,30,0,0,8.5,13.5,0.9,1.7000000000000002,71.64,130.46
2018-01-01 21:00:00,2018,1,1,21,30,0,0,8.5,13.4,0.9,1.7000000000000002,72.23,142.28
2018-01-01 22:00:00,2018,1,1,22,30,0,0,8.6,13.3,0.9,1.7000000000000002,73.15,153.56
2018-01-01 23:00:00,2018,1,1,23,30,0,0,8.6,13.2,0.9,1.7000000000000002,73.62,162.75
2018-01-02 00:00:00,2018,1,2,0,30,0,0,8.6,13.0,0.9,1.7000000000000002,74.64,164.95000000000005
2018-01-02 01:00:00,2018,1,2,1,30,0,0,8.6,12.7,1.2000000000000002,1.7000000000000002,76.15,157.93
2018-01-02 02:00:00,2018,1,2,2,30,0,0,8.4,12.4,1.6,1.7000000000000002,76.59,147.23
2018-01-02 03:00:00,2018,1,2,3,30,0,0,8.200000000000001,12.2,1.9,1.7000000000000002,76.37,135.54
2018-01-02 04:00:00,2018,1,2,4,30,0,0,8.0,11.9,2.2,1.7000000000000002,77.17,123.66
2018-01-02 05:00:00,2018,1,2,5,30,0,0,7.9,11.6,2.3000000000000003,1.8,78.02,111.9
2018-01-02 06:00:00,2018,1,2,6,30,0,0,7.800000000000002,11.4,2.3000000000000003,1.8,78.68,100.52
2018-01-02 07:00:00,2018,1,2,7,30,7,21,7.800000000000002,12.0,2.2,1.8,75.67,89.3
2018-01-02 08:00:00,2018,1,2,8,30,66,63,8.4,13.1,2.3000000000000003,1.8,73.23,79.85000000000002
2018-01-02 09:00:00,2018,1,2,9,30,126,67,8.4,14.3,2.2,1.9,67.52,71.47
2018-01-02 10:00:00,2018,1,2,10,30,148,15,8.9,15.6,1.9,1.9,64.38,65.02
2018-01-02 11:00:00,2018,1,2,11,30,147,5,9.2,16.8,1.7000000000000002,2.0,60.91,61.18
2018-01-02 12:00:00,2018,1,2,12,30,145,1,9.2,17.5,1.6,2.0,58.33,60.46
2018-01-02 13:00:00,2018,1,2,13,30,111,0,9.1,17.900000000000006,1.6,2.0,56.36,62.97
2018-01-02 14:00:00,2018,1,2,14,30,85,0,9.1,17.6,1.5,2.0,57.62000000000001,68.36
2018-01-02 15:00:00,2018,1,2,15,30,91,50,10.1,17.2,1.3,2.0,63.16,75.97
2018-01-02 16:00:00,2018,1,2,16,30,27,6,10.4,14.8,1.2000000000000002,2.0,74.97,85.14
2018-01-02 17:00:00,2018,1,2,17,30,0,0,9.9,13.9,1.3,2.0,77.03,95.7
2018-01-02 18:00:00,2018,1,2,18,30,0,0,9.8,13.2,1.3,1.9,79.84,106.84
2018-01-02 19:00:00,2018,1,2,19,30,0,0,9.6,12.7,1.5,1.9,81.41,118.46
2018-01-02 20:00:00,2018,1,2,20,30,0,0,9.4,12.4,1.9,1.9,82.05,130.32
2018-01-02 21:00:00,2018,1,2,21,30,0,0,9.3,12.2,2.2,1.8,82.47,142.14
2018-01-02 22:00:00,2018,1,2,22,30,0,0,9.3,12.0,2.3000000000000003,1.8,83.4,153.42000000000004
2018-01-02 23:00:00,2018,1,2,23,30,0,0,9.3,11.7,2.4000000000000004,1.8,85.31,162.61
2018-01-03 00:00:00,2018,1,3,0,30,0,0,9.4,11.6,2.4000000000000004,1.8,86.42,164.88
2018-01-03 01:00:00,2018,1,3,1,30,0,0,9.5,11.6,2.2,1.7000000000000002,87.23,157.94
2018-01-03 02:00:00,2018,1,3,2,30,0,0,9.6,11.6,2.3000000000000003,1.7000000000000002,87.42,147.26
2018-01-03 03:00:00,2018,1,3,3,30,0,0,9.5,11.5,2.4000000000000004,1.6,87.62,135.58
2018-01-03 04:00:00,2018,1,3,4,30,0,0,9.4,11.5,2.5,1.6,86.67,123.7
2018-01-03 05:00:00,2018,1,3,5,30,0,0,9.1,11.6,2.5,1.6,84.69,111.94
2018-01-03 06:00:00,2018,1,3,6,30,0,0,8.8,11.7,2.2,1.6,82.38,100.55
2018-01-03 07:00:00,2018,1,3,7,30,2,3,8.4,12.1,1.8,1.7000000000000002,78.36,89.32000000000002
2018-01-03 08:00:00,2018,1,3,8,30,9,0,8.5,12.9,1.3,2.0,74.78,79.85000000000002
2018-01-03 09:00:00,2018,1,3,9,30,18,0,9.2,13.7,1.0,2.3000000000000003,74.11,71.44
2018-01-03 10:00:00,2018,1,3,10,30,24,0,9.8,14.3,1.3,2.7,74.42,64.97
2018-01-03 11:00:00,2018,1,3,11,30,45,0,10.1,14.6,2.2,3.1,74.29,61.1
2018-01-03 12:00:00,2018,1,3,12,30,29,0,10.2,14.7,3.2,3.2,74.31,60.36
2018-01-03 13:00:00,2018,1,3,13,30,46,0,10.2,14.8,3.8,3.2,73.79,62.85
2018-01-03 14:00:00,2018,1,3,14,30,29,0,10.4,14.8,3.4000000000000004,3.0,74.71000000000002,68.22
2018-01-03 15:00:00,2018,1,3,15,30,68,0,10.5,14.8,2.9000000000000004,2.9000000000000004,75.36,75.83
2018-01-03 16:00:00,2018,1,3,16,30,22,6,10.7,14.0,2.9000000000000004,3.1,80.31,85.0
2018-01-03 17:00:00,2018,1,3,17,30,0,0,10.5,14.0,3.9,3.1,79.44,95.55
2018-01-03 18:00:00,2018,1,3,18,30,0,0,10.7,14.1,4.2,3.0,79.75,106.7
2018-01-03 19:00:00,2018,1,3,19,30,0,0,10.8,13.7,4.0,2.9000000000000004,82.75,118.32
2018-01-03 20:00:00,2018,1,3,20,30,0,0,10.9,13.5,4.1000000000000005,2.9000000000000004,84.46000000000002,130.17000000000002
2018-01-03 21:00:00,2018,1,3,21,30,0,0,11.3,13.7,4.4,2.9000000000000004,85.2,142.0
2018-01-03 22:00:00,2018,1,3,22,30,0,0,11.8,14.0,4.4,2.9000000000000004,86.47,153.27
2018-01-03 23:00:00,2018,1,3,23,30,0,0,12.1,13.9,3.9,2.8000000000000003,89.11,162.47
