,Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Temperature,Wind Speed,Precipitable Water,Relative Humidity,Solar Zenith Angle
2018-01-01 00:00:00,2018,1,1,0,30,0,0,10.8,12.5,0.7000000000000001,1.7000000000000002,89.23,164.98
2018-01-01 01:00:00,2018,1,1,1,30,0,0,10.5,12.4,0.5,1.7000000000000002,88.07000000000002,157.96
2018-01-01 02:00:00,2018,1,1,2,30,0,0,10.2,12.3,0.4,1.8,86.92,147.26
2018-01-01 03:00:00,2018,1,1,3,30,0,0,10.0,12.1,0.30000000000000004,1.8,86.85000000000002,135.59
2018-01-01 04:00:00,2018,1,1,4,30,0,0,9.8,11.9,0.30000000000000004,1.8,87.03,123.71
2018-01-01 05:00:00,2018,1,1,5,30,0,0,9.7,11.8,0.30000000000000004,1.8,86.77,111.97
2018-01-01 06:00:00,2018,1,1,6,30,0,0,9.4,11.6,0.4,1.9,86.46000000000002,100.6
2018-01-01 07:00:00,2018,1,1,7,30,7,48,9.2,11.7,0.7000000000000001,1.9,84.61,89.38
2018-01-01 08:00:00,2018,1,1,8,30,58,284,9.4,12.2,1.3,1.9,82.95,79.96000000000002
2018-01-01 09:00:00,2018,1,1,9,30,111,349,9.6,13.0,1.8,1.9,79.79,71.59
2018-01-01 10:00:00,2018,1,1,10,30,142,448,9.8,13.9,1.8,1.9,76.19,65.16
2018-01-01 11:00:00,2018,1,1,11,30,150,529,9.8,14.7,1.4,1.9,72.5,61.33
2018-01-01 12:00:00,2018,1,1,12,30,174,449,9.7,15.4,1.1,1.9,69.02,60.61
2018-01-01 13:00:00,2018,1,1,13,30,153,459,9.5,15.9,1.1,1.9,65.56,63.12000000000001
2018-01-01 14:00:00,2018,1,1,14,30,115,466,9.2,16.2,1.2000000000000002,1.8,63.27,68.48
2018-01-01 15:00:00,2018,1,1,15,30,62,506,9.3,16.2,1.2000000000000002,1.8,63.68,76.08
2018-01-01 16:00:00,2018,1,1,16,30,30,241,9.6,14.9,1.1,1.8,70.67,85.23
2018-01-01 17:00:00,2018,1,1,17,30,0,0,9.1,14.3,1.1,1.8,71.03,95.78
2018-01-01 18:00:00,2018,1,1,18,30,0,0,9.2,14.0,1.0,1.7000000000000002,72.60000000000002,106.91
2018-01-01 19:00:00,2018,1,1,19,30,0,0,9.0,13.8,0.9,1.7000000000000002,72.84,118.51
2018-01-01 20:00:00,2018,1,1,20,30,0,0,8.8,13.6,0.9,1.7000000000000002,72.78,130.36
2018-01-01 21:00:00,2018,1,1,21,30,0,0,8.9,13.4,0.9,1.6,74.04,142.17000000000004
2018-01-01 22:00:00,2018,1,1,22,30,0,0,9.0,13.3,0.9,1.6,75.10000000000002,153.45000000000005
2018-01-01 23:00:00,2018,1,1,23,30,0,0,9.0,13.1,0.8,1.6,76.17,162.64
2018-01-02 00:00:00,2018,1,2,0,30,0,0,9.0,12.9,0.9,1.6,77.03,164.91
2018-01-02 01:00:00,2018,1,2,1,30,0,0,8.9,12.6,1.2000000000000002,1.6,78.36,157.98
2018-01-02 02:00:00,2018,1,2,2,30,0,0,8.700000000000001,12.3,1.8,1.6,78.44,147.3
2018-01-02 03:00:00,2018,1,2,3,30,0,0,8.4,12.1,2.2,1.7000000000000002,77.88,135.63
