,Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Temperature,Wind Speed,Precipitable Water,Relative Humidity,Solar Zenith Angle
2018-01-01 00:00:00,2018,1,1,0,30,0,0,9.8,10.5,0.7000000000000001,1.7000000000000002,95.62,165.07
2018-01-01 01:00:00,2018,1,1,1,30,0,0,9.8,10.3,0.7000000000000001,1.8,96.42,157.81
2018-01-01 02:00:00,2018,1,1,2,30,0,0,9.6,10.0,0.7000000000000001,1.8,97.23,147.0
2018-01-01 03:00:00,2018,1,1,3,30,0,0,9.3,9.7,0.7000000000000001,1.8,97.64,135.27
2018-01-01 04:00:00,2018,1,1,4,30,0,0,9.1,9.5,0.7000000000000001,1.8,97.29,123.36
2018-01-01 05:00:00,2018,1,1,5,30,0,0,8.9,9.3,0.7000000000000001,1.8,97.12,111.6
2018-01-01 06:00:00,2018,1,1,6,30,0,0,8.700000000000001,9.2,0.7000000000000001,1.8,96.49,100.21
2018-01-01 07:00:00,2018,1,1,7,30,7,34,8.5,9.7,0.6000000000000001,1.8,92.11,89.04
2018-01-01 08:00:00,2018,1,1,8,30,67,92,8.6,11.1,0.9,1.8,84.84,79.58
2018-01-01 09:00:00,2018,1,1,9,30,124,249,9.1,13.2,1.3,1.8,76.39,71.22
2018-01-01 10:00:00,2018,1,1,10,30,143,450,9.2,15.3,1.5,1.8,67.11,64.83
2018-01-01 11:00:00,2018,1,1,11,30,148,544,8.9,16.900000000000002,1.4,1.8,59.44,61.07
2018-01-01 12:00:00,2018,1,1,12,30,149,553,8.200000000000001,18.1,1.1,1.8,52.55,60.44
2018-01-01 13:00:00,2018,1,1,13,30,137,539,7.800000000000002,18.7,1.0,1.8,49.12000000000001,63.04
2018-01-01 14:00:00,2018,1,1,14,30,105,524,7.7,18.4,0.9,1.8,49.57,68.5
2018-01-01 15:00:00,2018,1,1,15,30,62,513,8.700000000000001,18.0,0.8,1.8,54.5,76.18
2018-01-01 16:00:00,2018,1,1,16,30,29,205,8.700000000000001,14.7,0.9,1.8,67.12,85.39
2018-01-01 17:00:00,2018,1,1,17,30,0,0,7.4,13.3,1.0,1.8,67.58,96.0
2018-01-01 18:00:00,2018,1,1,18,30,0,0,7.5,12.5,1.0,1.7000000000000002,71.64,107.17
2018-01-01 19:00:00,2018,1,1,19,30,0,0,7.4,12.3,1.0,1.7000000000000002,72.09,118.82
2018-01-01 20:00:00,2018,1,1,20,30,0,0,7.1000000000000005,12.2,1.0,1.7000000000000002,70.84,130.69
2018-01-01 21:00:00,2018,1,1,21,30,0,0,7.0,12.3,0.9,1.7000000000000002,70.06,142.54
2018-01-01 22:00:00,2018,1,1,22,30,0,0,7.0,12.4,0.9,1.7000000000000002,69.68,153.84
2018-01-01 23:00:00,2018,1,1,23,30,0,0,7.0,12.2,1.0,1.7000000000000002,70.73,163.0
2018-01-02 00:00:00,2018,1,2,0,30,0,0,7.1000000000000005,12.1,1.0,1.7000000000000002,71.53,165.02
2018-01-02 01:00:00,2018,1,2,1,30,0,0,7.2,12.0,1.0,1.7000000000000002,72.22,157.82
2018-01-02 02:00:00,2018,1,2,2,30,0,0,7.1000000000000005,11.6,1.1,1.7000000000000002,73.82000000000002,147.04
2018-01-02 03:00:00,2018,1,2,3,30,0,0,7.0,11.1,1.1,1.7000000000000002,75.68,135.32
2018-01-02 04:00:00,2018,1,2,4,30,0,0,6.800000000000002,10.7,1.1,1.7000000000000002,77.01,123.41
2018-01-02 05:00:00,2018,1,2,5,30,0,0,6.7,10.2,1.1,1.7000000000000002,78.73,111.64
2018-01-02 06:00:00,2018,1,2,6,30,0,0,6.5,9.9,1.1,1.7000000000000002,79.48,100.25
2018-01-02 07:00:00,2018,1,2,7,30,5,9,6.5,10.9,1.0,1.7000000000000002,74.41,89.06
2018-01-02 08:00:00,2018,1,2,8,30,62,10,7.7,13.0,1.3,1.8,69.98,79.58
2018-01-02 09:00:00,2018,1,2,9,30,127,57,7.300000000000002,15.0,1.5,1.8,59.87000000000001,71.21000000000002
2018-01-02 10:00:00,2018,1,2,10,30,183,125,7.7,17.1,1.3,1.9,53.85,64.79
2018-01-02 11:00:00,2018,1,2,11,30,174,25,7.7,18.9,1.3,1.9,48.12000000000001,61.0
2018-01-02 12:00:00,2018,1,2,12,30,127,0,7.7,19.700000000000006,1.2000000000000002,2.0,45.81,60.34
2018-01-02 13:00:00,2018,1,2,13,30,135,3,7.4,19.9,1.3,2.0,44.49,62.92
2018-01-02 14:00:00,2018,1,2,14,30,132,80,7.7,19.0,1.1,2.0,47.92,68.37
2018-01-02 15:00:00,2018,1,2,15,30,34,0,9.8,18.4,0.9,2.0,57.13,76.05
2018-01-02 16:00:00,2018,1,2,16,30,12,0,9.6,14.6,1.0,2.0,71.74,85.26
2018-01-02 17:00:00,2018,1,2,17,30,0,0,8.700000000000001,13.1,1.0,1.9,74.8,95.86
2018-01-02 18:00:00,2018,1,2,18,30,0,0,8.5,12.2,1.0,1.9,78.33,107.03
2018-01-02 19:00:00,2018,1,2,19,30,0,0,8.3,11.6,1.0,1.8,80.11,118.68
2018-01-02 20:00:00,2018,1,2,20,30,0,0,8.200000000000001,11.1,1.0,1.7000000000000002,82.36,130.56
2018-01-02 21:00:00,2018,1,2,21,30,0,0,8.200000000000001,10.8,1.0,1.7000000000000002,83.97,142.4
2018-01-02 22:00:00,2018,1,2,22,30,0,0,8.200000000000001,10.5,1.0,1.6,85.72,153.70000000000005
2018-01-02 23:00:00,2018,1,2,23,30,0,0,8.200000000000001,10.1,1.0,1.6,88.11,162.86
2018-01-03 00:00:00,2018,1,3,0,30,0,0,8.3,9.8,1.1,1.6,90.48,164.95000000000005
2018-01-03 01:00:00,2018,1,3,1,30,0,0,8.4,9.8,1.1,1.6,90.82,157.83
2018-01-03 02:00:00,2018,1,3,2,30,0,0,8.200000000000001,9.8,1.1,1.5,89.76,147.07
2018-01-03 03:00:00,2018,1,3,3,30,0,0,7.9,9.7,1.2000000000000002,1.5,88.41,135.36
2018-01-03 04:00:00,2018,1,3,4,30,0,0,7.5,9.7,1.2000000000000002,1.4,86.41,123.45
2018-01-03 05:00:00,2018,1,3,5,30,0,0,7.2,9.7,1.2000000000000002,1.4,84.19,111.68
2018-01-03 06:00:00,2018,1,3,6,30,0,0,6.7,10.0,1.2000000000000002,1.5,80.16,100.27
2018-01-03 07:00:00,2018,1,3,7,30,2,0,6.2,10.8,1.1,1.5,73.21000000000002,89.08
2018-01-03 08:00:00,2018,1,3,8,30,15,0,6.4,12.2,0.9,1.7000000000000002,67.69,79.58
