Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2335244,-,-,-,33.76,-84.39,-5,316,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2018,1,1,0,30,0,0,-12.3,0.11,1.9000000000000001,59.45,-5.7,989,N/A
2018,1,1,1,30,0,0,-12.600000000000001,0.11,1.8,59.64,-6,989,N/A
2018,1,1,2,30,0,0,-12.700000000000001,0.11,1.8,60.25,-6.2,990,N/A
2018,1,1,3,30,0,0,-12.8,0.11,1.9000000000000001,60.54,-6.4,990,N/A
2018,1,1,4,30,0,0,-13.200000000000001,0.11,1.9000000000000001,60.17,-6.800000000000001,991,N/A
2018,1,1,5,30,0,0,-13.700000000000001,0.11,1.8,59.65,-7.2,991,N/A
2018,1,1,6,30,0,0,-14.100000000000001,0.11,1.8,58.89,-7.4,992,N/A
2018,1,1,7,30,0,0,-14.3,0.11,2,56.26,-7.1000000000000005,993,N/A
2018,1,1,8,30,18,0,-14.600000000000001,0.11,2.1,51.02,-6.1000000000000005,994,N/A
2018,1,1,9,30,45,0,-14.700000000000001,0.11,2,45.15,-4.6000000000000005,994,N/A
2018,1,1,10,30,103,0,-14.600000000000001,0.11,1.9000000000000001,41.17,-3.2,994,N/A
2018,1,1,11,30,94,0,-14.3,0.11,1.8,38.71,-2.1,994,N/A
2018,1,1,12,30,208,21,-14.100000000000001,0.11,1.8,37.230000000000004,-1.3,994,N/A
2018,1,1,13,30,243,195,-13.9,0.11,1.9000000000000001,36.36,-0.8,993,N/A
2018,1,1,14,30,206,121,-13.9,0.11,2,36.53,-0.8,993,N/A
2018,1,1,15,30,57,882,-14,0.11,2,37.76,-1.4000000000000001,993,N/A
2018,1,1,16,30,43,722,-14,0.11,1.5,42.28,-3,993,N/A
2018,1,1,17,30,13,262,-12.9,0.11,1.2000000000000002,53.09,-4.800000000000001,994,N/A
2018,1,1,18,30,0,0,-12.9,0.11,1.3,55.730000000000004,-5.4,994,N/A
2018,1,1,19,30,0,0,-13.5,0.12,1.8,55.76,-6.1000000000000005,995,N/A
2018,1,1,20,30,0,0,-13.8,0.12,1.8,56.28,-6.5,996,N/A
