,Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Temperature,Wind Speed,Precipitable Water,Relative Humidity,Solar Zenith Angle
2018-01-01 00:00:00,2018,1,1,0,30,0,0,10.2,11.1,0.7000000000000001,1.7000000000000002,93.97,165.11
2018-01-01 01:00:00,2018,1,1,1,30,0,0,10.1,10.9,0.7000000000000001,1.8,94.5,157.9
2018-01-01 02:00:00,2018,1,1,2,30,0,0,9.8,10.7,0.7000000000000001,1.8,94.38,147.11
2018-01-01 03:00:00,2018,1,1,3,30,0,0,9.6,10.4,0.7000000000000001,1.8,94.8,135.38
2018-01-01 04:00:00,2018,1,1,4,30,0,0,9.4,10.2,0.7000000000000001,1.8,94.66,123.47
2018-01-01 05:00:00,2018,1,1,5,30,0,0,9.2,10.0,0.7000000000000001,1.8,94.57,111.71
2018-01-01 06:00:00,2018,1,1,6,30,0,0,8.9,9.8,0.7000000000000001,1.8,94.38,100.32
2018-01-01 07:00:00,2018,1,1,7,30,7,29,8.700000000000001,10.2,0.7000000000000001,1.8,90.7,89.13
2018-01-01 08:00:00,2018,1,1,8,30,67,108,8.9,11.4,0.9,1.8,84.85000000000002,79.66
2018-01-01 09:00:00,2018,1,1,9,30,114,336,9.4,13.1,1.3,1.8,78.12,71.29
2018-01-01 10:00:00,2018,1,1,10,30,137,484,9.5,14.9,1.5,1.8,70.14,64.88
2018-01-01 11:00:00,2018,1,1,11,30,121,649,9.3,16.3,1.3,1.8,63.15,61.09
2018-01-01 12:00:00,2018,1,1,12,30,127,636,8.8,17.3,1.0,1.8,57.39,60.43
2018-01-01 13:00:00,2018,1,1,13,30,130,563,8.5,17.8,1.0,1.8,54.37000000000001,63.0
2018-01-01 14:00:00,2018,1,1,14,30,95,578,8.4,17.6,0.9,1.8,54.66,68.44
2018-01-01 15:00:00,2018,1,1,15,30,56,565,9.2,17.3,0.9,1.8,58.88,76.11
2018-01-01 16:00:00,2018,1,1,16,30,28,215,9.2,14.7,0.9,1.8,69.46000000000001,85.3
2018-01-01 17:00:00,2018,1,1,17,30,0,0,8.200000000000001,13.5,1.0,1.8,70.46000000000002,95.9
2018-01-01 18:00:00,2018,1,1,18,30,0,0,8.3,12.9,1.0,1.7000000000000002,73.59,107.06
2018-01-01 19:00:00,2018,1,1,19,30,0,0,8.200000000000001,12.7,1.0,1.7000000000000002,74.01,118.71
2018-01-01 20:00:00,2018,1,1,20,30,0,0,7.9,12.6,0.9,1.7000000000000002,73.10000000000002,130.58
2018-01-01 21:00:00,2018,1,1,21,30,0,0,7.9,12.6,0.9,1.7000000000000002,72.92,142.43
2018-01-01 22:00:00,2018,1,1,22,30,0,0,7.9,12.6,0.9,1.7000000000000002,73.01,153.74
2018-01-01 23:00:00,2018,1,1,23,30,0,0,7.9,12.5,0.9,1.7000000000000002,73.38,162.93
