Unit,Date,Hour Ending,MWH
HWF_HWFG1,20190101,100,110.48795
HWF_HWFG1,20190101,200,72.020225
HWF_HWFG1,20190101,300,67.639475
HWF_HWFG1,20190101,400,63.7189
HWF_HWFG1,20190101,500,61.26425
HWF_HWFG1,20190101,600,61.300275
HWF_HWFG1,20190101,700,40.380375
HWF_HWFG1,20190101,800,40.4747
HWF_HWFG1,20190101,900,52.29145
HWF_HWFG1,20190101,1000,32.844275
HWF_HWFG1,20190101,1100,20.015375
HWF_HWFG1,20190101,1200,14.807425
HWF_HWFG1,20190101,1300,11.829275
HWF_HWFG1,20190101,1400,13.826375
HWF_HWFG1,20190101,1500,15.452075
HWF_HWFG1,20190101,1600,15.779175
HWF_HWFG1,20190101,1700,14.563
HWF_HWFG1,20190101,1800,10.774725
HWF_HWFG1,20190101,1900,9.991175
HWF_HWFG1,20190101,2000,16.63065
HWF_HWFG1,20190101,2100,6.4585
HWF_HWFG1,20190101,2200,6.316975
HWF_HWFG1,20190101,2300,8.3275
HWF_HWFG1,20190101,2400,5.0091
HWF_HWFG1,20190102,100,4.14995
HWF_HWFG1,20190102,200,3.5137
HWF_HWFG1,20190102,300,6.985625
HWF_HWFG1,20190102,400,4.815925
HWF_HWFG1,20190102,500,6.0172
HWF_HWFG1,20190102,600,3.897775
HWF_HWFG1,20190102,700,1.7558
HWF_HWFG1,20190102,800,0.553
HWF_HWFG1,20190102,900,0
HWF_HWFG1,20190102,1000,0
HWF_HWFG1,20190102,1100,0
HWF_HWFG1,20190102,1200,0
HWF_HWFG1,20190102,1300,0
HWF_HWFG1,20190102,1400,0
HWF_HWFG1,20190102,1500,0
HWF_HWFG1,20190102,1600,0
HWF_HWFG1,20190102,1700,0
HWF_HWFG1,20190102,1800,0
HWF_HWFG1,20190102,1900,0
HWF_HWFG1,20190102,2000,0
HWF_HWFG1,20190102,2100,0
HWF_HWFG1,20190102,2200,0
HWF_HWFG1,20190102,2300,0
HWF_HWFG1,20190102,2400,0
HWF_HWFG1,20190103,100,0
HWF_HWFG1,20190103,200,0
HWF_HWFG1,20190103,300,0
HWF_HWFG1,20190103,400,0
HWF_HWFG1,20190103,500,0
HWF_HWFG1,20190103,600,0
HWF_HWFG1,20190103,700,0
HWF_HWFG1,20190103,800,0
HWF_HWFG1,20190103,900,0
HWF_HWFG1,20190103,1000,0
HWF_HWFG1,20190103,1100,0
HWF_HWFG1,20190103,1200,0
HWF_HWFG1,20190103,1300,0.108875
HWF_HWFG1,20190103,1400,3.642475
HWF_HWFG1,20190103,1500,20.325875
HWF_HWFG1,20190103,1600,16.014025
HWF_HWFG1,20190103,1700,16.577475
HWF_HWFG1,20190103,1800,12.893675
HWF_HWFG1,20190103,1900,28.26835
HWF_HWFG1,20190103,2000,30.85505
HWF_HWFG1,20190103,2100,21.0939
HWF_HWFG1,20190103,2200,38.3659
HWF_HWFG1,20190103,2300,45.1852
HWF_HWFG1,20190103,2400,35.3666
HWF_HWFG1,20190104,100,36.61635
HWF_HWFG1,20190104,200,39.9231
HWF_HWFG1,20190104,300,25.4873
HWF_HWFG1,20190104,400,33.61355
HWF_HWFG1,20190104,500,33.37225
HWF_HWFG1,20190104,600,14.545625
HWF_HWFG1,20190104,700,31.65615
HWF_HWFG1,20190104,800,39.774175
HWF_HWFG1,20190104,900,34.594425
HWF_HWFG1,20190104,1000,23.6753
HWF_HWFG1,20190104,1100,7.86125
HWF_HWFG1,20190104,1200,7.1535
HWF_HWFG1,20190104,1300,5.2206
HWF_HWFG1,20190104,1400,4.559225
HWF_HWFG1,20190104,1500,10.14215
HWF_HWFG1,20190104,1600,4.113
HWF_HWFG1,20190104,1700,3.44885
HWF_HWFG1,20190104,1800,0.35185
HWF_HWFG1,20190104,1900,0.222725
HWF_HWFG1,20190104,2000,2.4301
HWF_HWFG1,20190104,2100,5.175025
HWF_HWFG1,20190104,2200,7.68135
HWF_HWFG1,20190104,2300,15.02265
HWF_HWFG1,20190104,2400,26.361025
HWF_HWFG1,20190105,100,38.021875
HWF_HWFG1,20190105,200,34.6175
HWF_HWFG1,20190105,300,38.748275
HWF_HWFG1,20190105,400,58.27015
HWF_HWFG1,20190105,500,41.4501
HWF_HWFG1,20190105,600,44.940975
HWF_HWFG1,20190105,700,56.54565
HWF_HWFG1,20190105,800,80.824025
HWF_HWFG1,20190105,900,57.38995
HWF_HWFG1,20190105,1000,21.1059
HWF_HWFG1,20190105,1100,5.306925
HWF_HWFG1,20190105,1200,4.513175
HWF_HWFG1,20190105,1300,10.261675
HWF_HWFG1,20190105,1400,10.736425
HWF_HWFG1,20190105,1500,10.973575
HWF_HWFG1,20190105,1600,12.678925
HWF_HWFG1,20190105,1700,23.816
HWF_HWFG1,20190105,1800,39.26725
HWF_HWFG1,20190105,1900,47.04105
HWF_HWFG1,20190105,2000,54.211775
HWF_HWFG1,20190105,2100,98.307925
HWF_HWFG1,20190105,2200,124.894875
HWF_HWFG1,20190105,2300,129.812925
HWF_HWFG1,20190105,2400,147.21475
HWF_HWFG1,20190106,100,147.66315
HWF_HWFG1,20190106,200,120.976975
HWF_HWFG1,20190106,300,5.6814
HWF_HWFG1,20190106,400,5.890425
HWF_HWFG1,20190106,500,50.5735
HWF_HWFG1,20190106,600,156.442075
HWF_HWFG1,20190106,700,156.845675
HWF_HWFG1,20190106,800,144.214925
HWF_HWFG1,20190106,900,134.3586
HWF_HWFG1,20190106,1000,119.44185
HWF_HWFG1,20190106,1100,128.064175
HWF_HWFG1,20190106,1200,133.301975
HWF_HWFG1,20190106,1300,147.908375
HWF_HWFG1,20190106,1400,141.010025
HWF_HWFG1,20190106,1500,118.451525
HWF_HWFG1,20190106,1600,55.04805
HWF_HWFG1,20190106,1700,106.853575
HWF_HWFG1,20190106,1800,121.04925
HWF_HWFG1,20190106,1900,142.6205
HWF_HWFG1,20190106,2000,141.67805
HWF_HWFG1,20190106,2100,118.9635
HWF_HWFG1,20190106,2200,136.374675
HWF_HWFG1,20190106,2300,93.316075
HWF_HWFG1,20190106,2400,2.244575
HWF_HWFG1,20190107,100,3.911825
HWF_HWFG1,20190107,200,1.220125
HWF_HWFG1,20190107,300,4.594175
HWF_HWFG1,20190107,400,3.41365
HWF_HWFG1,20190107,500,71.982925
HWF_HWFG1,20190107,600,74.30485
HWF_HWFG1,20190107,700,74.68415
HWF_HWFG1,20190107,800,77.368225
HWF_HWFG1,20190107,900,78.371725
HWF_HWFG1,20190107,1000,58.488175
HWF_HWFG1,20190107,1100,65.6169
HWF_HWFG1,20190107,1200,18.885125
HWF_HWFG1,20190107,1300,27.2968
HWF_HWFG1,20190107,1400,26.477675
HWF_HWFG1,20190107,1500,29.329075
HWF_HWFG1,20190107,1600,31.677075
HWF_HWFG1,20190107,1700,48.930775
HWF_HWFG1,20190107,1800,48.52315
HWF_HWFG1,20190107,1900,91.522
HWF_HWFG1,20190107,2000,114.283675
HWF_HWFG1,20190107,2100,97.7162
HWF_HWFG1,20190107,2200,116.639175
HWF_HWFG1,20190107,2300,130.628975
HWF_HWFG1,20190107,2400,118.467875
HWF_HWFG1,20190108,100,96.200375
HWF_HWFG1,20190108,200,59.16465
HWF_HWFG1,20190108,300,27.900475
HWF_HWFG1,20190108,400,40.5317
HWF_HWFG1,20190108,500,42.045775
HWF_HWFG1,20190108,600,44.414125
HWF_HWFG1,20190108,700,52.352725
HWF_HWFG1,20190108,800,59.186625
HWF_HWFG1,20190108,900,42.83055
HWF_HWFG1,20190108,1000,107.82345
HWF_HWFG1,20190108,1100,117.9608
HWF_HWFG1,20190108,1200,115.74085
HWF_HWFG1,20190108,1300,78.8921
HWF_HWFG1,20190108,1400,68.796025
HWF_HWFG1,20190108,1500,87.256325
HWF_HWFG1,20190108,1600,72.152025
HWF_HWFG1,20190108,1700,75.34035
HWF_HWFG1,20190108,1800,59.795375
HWF_HWFG1,20190108,1900,88.458425
HWF_HWFG1,20190108,2000,115.126475
HWF_HWFG1,20190108,2100,127.50565
HWF_HWFG1,20190108,2200,106.102825
HWF_HWFG1,20190108,2300,105.73325
HWF_HWFG1,20190108,2400,119.7065
HWF_HWFG1,20190109,100,116.21615
HWF_HWFG1,20190109,200,136.282975
HWF_HWFG1,20190109,300,106.77495
HWF_HWFG1,20190109,400,102.8828
HWF_HWFG1,20190109,500,80.071025
HWF_HWFG1,20190109,600,68.795675
HWF_HWFG1,20190109,700,33.2342
HWF_HWFG1,20190109,800,37.639475
HWF_HWFG1,20190109,900,22.08005
HWF_HWFG1,20190109,1000,12.81245
HWF_HWFG1,20190109,1100,19.41175
HWF_HWFG1,20190109,1200,17.1096
HWF_HWFG1,20190109,1300,5.710975
HWF_HWFG1,20190109,1400,2.286875
HWF_HWFG1,20190109,1500,2.682875
HWF_HWFG1,20190109,1600,6.411125
HWF_HWFG1,20190109,1700,5.682975
HWF_HWFG1,20190109,1800,2.555925
HWF_HWFG1,20190109,1900,19.68565
HWF_HWFG1,20190109,2000,29.280375
HWF_HWFG1,20190109,2100,38.729925
HWF_HWFG1,20190109,2200,53.14595
HWF_HWFG1,20190109,2300,44.266575
HWF_HWFG1,20190109,2400,53.545475
HWF_HWFG1,20190110,100,41.080225
HWF_HWFG1,20190110,200,32.62515
HWF_HWFG1,20190110,300,54.703625
HWF_HWFG1,20190110,400,64.121575
HWF_HWFG1,20190110,500,70.63485
HWF_HWFG1,20190110,600,56.9257
HWF_HWFG1,20190110,700,48.465125
HWF_HWFG1,20190110,800,64.05825
HWF_HWFG1,20190110,900,71.352075
HWF_HWFG1,20190110,1000,54.204375
HWF_HWFG1,20190110,1100,34.13615
HWF_HWFG1,20190110,1200,40.281175
HWF_HWFG1,20190110,1300,38.70515
HWF_HWFG1,20190110,1400,52.03475
HWF_HWFG1,20190110,1500,58.835475
HWF_HWFG1,20190110,1600,52.5749
HWF_HWFG1,20190110,1700,60.115875
HWF_HWFG1,20190110,1800,79.566175
HWF_HWFG1,20190110,1900,89.107025
HWF_HWFG1,20190110,2000,108.786375
HWF_HWFG1,20190110,2100,111.382675
HWF_HWFG1,20190110,2200,134.634825
HWF_HWFG1,20190110,2300,140.38335
HWF_HWFG1,20190110,2400,138.48025
HWF_HWFG1,20190111,100,127.32555
HWF_HWFG1,20190111,200,109.183425
HWF_HWFG1,20190111,300,109.049
HWF_HWFG1,20190111,400,117.810725
HWF_HWFG1,20190111,500,115.007825
HWF_HWFG1,20190111,600,139.680925
HWF_HWFG1,20190111,700,111.59895
HWF_HWFG1,20190111,800,109.462975
HWF_HWFG1,20190111,900,107.390625
HWF_HWFG1,20190111,1000,65.035975
HWF_HWFG1,20190111,1100,118.2648
HWF_HWFG1,20190111,1200,109.247925
HWF_HWFG1,20190111,1300,75.7814
HWF_HWFG1,20190111,1400,83.744025
HWF_HWFG1,20190111,1500,114.996875
HWF_HWFG1,20190111,1600,98.7208
HWF_HWFG1,20190111,1700,77.949125
HWF_HWFG1,20190111,1800,107.601575
HWF_HWFG1,20190111,1900,125.80345
HWF_HWFG1,20190111,2000,140.480425
HWF_HWFG1,20190111,2100,138.098
HWF_HWFG1,20190111,2200,15.30595
HWF_HWFG1,20190111,2300,47.5699
HWF_HWFG1,20190111,2400,67.0887
HWF_HWFG1,20190112,100,69.409875
HWF_HWFG1,20190112,200,76.20725
HWF_HWFG1,20190112,300,94.001225
HWF_HWFG1,20190112,400,109.951325
HWF_HWFG1,20190112,500,134.83405
HWF_HWFG1,20190112,600,136.7949
HWF_HWFG1,20190112,700,135.39475
HWF_HWFG1,20190112,800,100.800475
HWF_HWFG1,20190112,900,114.8566
HWF_HWFG1,20190112,1000,117.32675
HWF_HWFG1,20190112,1100,145.808475
HWF_HWFG1,20190112,1200,144.840875
HWF_HWFG1,20190112,1300,144.516425
HWF_HWFG1,20190112,1400,137.41385
HWF_HWFG1,20190112,1500,143.182825
HWF_HWFG1,20190112,1600,119.666325
HWF_HWFG1,20190112,1700,78.7184
HWF_HWFG1,20190112,1800,39.1782
HWF_HWFG1,20190112,1900,21.620825
HWF_HWFG1,20190112,2000,33.1413
HWF_HWFG1,20190112,2100,37.081075
HWF_HWFG1,20190112,2200,38.172825
HWF_HWFG1,20190112,2300,60.092175
HWF_HWFG1,20190112,2400,43.681975
HWF_HWFG1,20190113,100,19.5443
HWF_HWFG1,20190113,200,18.276525
HWF_HWFG1,20190113,300,18.6137
HWF_HWFG1,20190113,400,22.1283
HWF_HWFG1,20190113,500,39.553625
HWF_HWFG1,20190113,600,32.744525
HWF_HWFG1,20190113,700,22.14415
HWF_HWFG1,20190113,800,15.685125
HWF_HWFG1,20190113,900,19.598375
HWF_HWFG1,20190113,1000,19.8959
