index,itrial,dataname,method,alpha,coverage,width,muh_fun
0,0,Beijing_air,ARIMA,0.05,0.964875,91.87731028316877,
1,0,Beijing_air,ExpSmoothing,0.05,0.957125,86.9926054918575,
2,0,Beijing_air,DynamicFactor,0.05,0.968,97.82105234416716,
3,0,Beijing_air,ARIMA,0.1,0.948375,77.10586941691292,
4,0,Beijing_air,ExpSmoothing,0.1,0.938625,73.00649593048979,
5,0,Beijing_air,DynamicFactor,0.1,0.95225,82.09401499705555,
6,0,Beijing_air,ARIMA,0.15000000000000002,0.93225,67.48097447761816,
7,0,Beijing_air,ExpSmoothing,0.15000000000000002,0.922,63.89331351609479,
8,0,Beijing_air,DynamicFactor,0.15000000000000002,0.938125,71.84646477205999,
9,0,Beijing_air,ARIMA,0.2,0.915625,60.07534411865952,
10,0,Beijing_air,ExpSmoothing,0.2,0.903125,56.881407331093214,
11,0,Beijing_air,DynamicFactor,0.2,0.92175,63.961748156463784,
12,0,Beijing_air,ARIMA,0.25,0.8955,53.92497402428611,
13,0,Beijing_air,ExpSmoothing,0.25,0.8825,51.058024848520354,
14,0,Beijing_air,DynamicFactor,0.25,0.9059999999999999,57.413497308852186,
0,0,Beijing_air,Ensemble,0.05,0.946625,138.41840162798664,RidgeCV
1,0,Beijing_air,Ensemble,0.05,0.948375,172.90092506240742,RandomForestRegressor
2,0,Beijing_air,Ensemble,0.05,0.947625,124.57469410656158,Sequential
3,0,Beijing_air,Ensemble,0.05,0.946875,239.66980449605708,RNN
4,0,Beijing_air,Ensemble,0.1,0.8935,102.68946168658348,RidgeCV
5,0,Beijing_air,Ensemble,0.1,0.8995,128.31947821433576,RandomForestRegressor
6,0,Beijing_air,Ensemble,0.1,0.8945,92.4768286931696,Sequential
7,0,Beijing_air,Ensemble,0.1,0.900125,193.1075817476929,RNN
8,0,Beijing_air,Ensemble,0.15000000000000002,0.842625,84.32819479941033,RidgeCV
9,0,Beijing_air,Ensemble,0.15000000000000002,0.845125,106.13645580269493,RandomForestRegressor
10,0,Beijing_air,Ensemble,0.15000000000000002,0.847875,75.77648765396543,Sequential
11,0,Beijing_air,Ensemble,0.15000000000000002,0.85075,164.24187741432507,RNN
12,0,Beijing_air,Ensemble,0.2,0.7985,71.93217650320004,RidgeCV
13,0,Beijing_air,Ensemble,0.2,0.7995,92.126861507558,RandomForestRegressor
14,0,Beijing_air,Ensemble,0.2,0.804375,63.97370932702186,Sequential
15,0,Beijing_air,Ensemble,0.2,0.804,141.73989080787624,RNN
16,0,Beijing_air,Ensemble,0.25,0.7465,62.159009307678396,RidgeCV
17,0,Beijing_air,Ensemble,0.25,0.746375,79.26180114776074,RandomForestRegressor
18,0,Beijing_air,Ensemble,0.25,0.750875,54.90035058350895,Sequential
19,0,Beijing_air,Ensemble,0.25,0.755375,123.74606500153305,RNN
20,1,Beijing_air,Ensemble,0.05,0.94675,137.72381765964724,RidgeCV
21,1,Beijing_air,Ensemble,0.05,0.94975,169.82555330561217,RandomForestRegressor
22,1,Beijing_air,Ensemble,0.05,0.947125,122.01180735965805,Sequential
23,1,Beijing_air,Ensemble,0.05,0.94675,239.6572761595811,RNN
24,1,Beijing_air,Ensemble,0.1,0.894875,102.41558097358448,RidgeCV
25,1,Beijing_air,Ensemble,0.1,0.89875,128.0250582094663,RandomForestRegressor
26,1,Beijing_air,Ensemble,0.1,0.896875,94.0731150639042,Sequential
27,1,Beijing_air,Ensemble,0.1,0.900125,193.1176420832796,RNN
28,1,Beijing_air,Ensemble,0.15000000000000002,0.845,84.12705201275004,RidgeCV
29,1,Beijing_air,Ensemble,0.15000000000000002,0.8435,106.48539198071322,RandomForestRegressor
30,1,Beijing_air,Ensemble,0.15000000000000002,0.8475,75.6437684635054,Sequential
31,1,Beijing_air,Ensemble,0.15000000000000002,0.8505,164.22929114255533,RNN
32,1,Beijing_air,Ensemble,0.2,0.799125,71.74821024929406,RidgeCV
33,1,Beijing_air,Ensemble,0.2,0.800625,92.42007903787595,RandomForestRegressor
34,1,Beijing_air,Ensemble,0.2,0.80875,66.1981506835671,Sequential
35,1,Beijing_air,Ensemble,0.2,0.804125,141.73106497967038,RNN
36,1,Beijing_air,Ensemble,0.25,0.747375,61.923308850977755,RidgeCV
37,1,Beijing_air,Ensemble,0.25,0.74425,79.83800494597766,RandomForestRegressor
38,1,Beijing_air,Ensemble,0.25,0.752125,55.455209588670314,Sequential
39,1,Beijing_air,Ensemble,0.25,0.755625,123.75944800148766,RNN
40,2,Beijing_air,Ensemble,0.05,0.946875,138.59993783447854,RidgeCV
41,2,Beijing_air,Ensemble,0.05,0.949625,170.90568150552758,RandomForestRegressor
42,2,Beijing_air,Ensemble,0.05,0.9470000000000001,124.298806861662,Sequential
43,2,Beijing_air,Ensemble,0.05,0.94675,239.64835535618016,RNN
44,2,Beijing_air,Ensemble,0.1,0.892375,102.80973907484885,RidgeCV
45,2,Beijing_air,Ensemble,0.1,0.89975,127.5297017312679,RandomForestRegressor
46,2,Beijing_air,Ensemble,0.1,0.896875,92.33695369063295,Sequential
47,2,Beijing_air,Ensemble,0.1,0.9,193.10103464847046,RNN
48,2,Beijing_air,Ensemble,0.15000000000000002,0.84275,84.30098089942899,RidgeCV
49,2,Beijing_air,Ensemble,0.15000000000000002,0.8445,105.3488556824134,RandomForestRegressor
50,2,Beijing_air,Ensemble,0.15000000000000002,0.84925,76.32582790738698,Sequential
51,2,Beijing_air,Ensemble,0.15000000000000002,0.850625,164.23501706866654,RNN
52,2,Beijing_air,Ensemble,0.2,0.800125,71.95493982615486,RidgeCV
53,2,Beijing_air,Ensemble,0.2,0.799,91.3301439288412,RandomForestRegressor
54,2,Beijing_air,Ensemble,0.2,0.808125,66.20634344573905,Sequential
55,2,Beijing_air,Ensemble,0.2,0.804,141.72166644476602,RNN
56,2,Beijing_air,Ensemble,0.25,0.7490000000000001,62.16267433300935,RidgeCV
57,2,Beijing_air,Ensemble,0.25,0.744375,78.59088666323075,RandomForestRegressor
58,2,Beijing_air,Ensemble,0.25,0.7545,54.12902521687711,Sequential
59,2,Beijing_air,Ensemble,0.25,0.7555,123.7360212828966,RNN
60,3,Beijing_air,Ensemble,0.05,0.945875,136.81658550212174,RidgeCV
61,3,Beijing_air,Ensemble,0.05,0.948875,169.77410048877599,RandomForestRegressor
62,3,Beijing_air,Ensemble,0.05,0.949625,125.51471998121922,Sequential
63,3,Beijing_air,Ensemble,0.05,0.94675,239.65280957232508,RNN
64,3,Beijing_air,Ensemble,0.1,0.89325,102.06938419622549,RidgeCV
65,3,Beijing_air,Ensemble,0.1,0.900875,128.39125790456222,RandomForestRegressor
66,3,Beijing_air,Ensemble,0.1,0.895125,90.80121757250002,Sequential
67,3,Beijing_air,Ensemble,0.1,0.90025,193.1143072974589,RNN
68,3,Beijing_air,Ensemble,0.15000000000000002,0.84475,83.75352970243408,RidgeCV
69,3,Beijing_air,Ensemble,0.15000000000000002,0.845,106.76759335023546,RandomForestRegressor
70,3,Beijing_air,Ensemble,0.15000000000000002,0.845625,75.78180757682355,Sequential
71,3,Beijing_air,Ensemble,0.15000000000000002,0.850875,164.21598558557997,RNN
72,3,Beijing_air,Ensemble,0.2,0.797125,71.19595723584936,RidgeCV
