itrial,dataname,method,alpha,coverage,width
0,Beijing_air,ARIMA,0.05,0.964875,91.87731028316878
0,Beijing_air,ExpSmoothing,0.05,0.957125,86.99260549185752
0,Beijing_air,DynamicFactor,0.05,0.968,97.82105234416717
0,Beijing_air,ARIMA,0.1,0.948375,77.10586941691292
0,Beijing_air,ExpSmoothing,0.1,0.938625,73.00649593048979
0,Beijing_air,DynamicFactor,0.1,0.95225,82.09401499705555
0,Beijing_air,ARIMA,0.15000000000000002,0.93225,67.48097447761816
0,Beijing_air,ExpSmoothing,0.15000000000000002,0.922,63.893313516094786
0,Beijing_air,DynamicFactor,0.15000000000000002,0.938125,71.84646477206
0,Beijing_air,ARIMA,0.2,0.915625,60.07534411865952
0,Beijing_air,ExpSmoothing,0.2,0.903125,56.881407331093214
0,Beijing_air,DynamicFactor,0.2,0.92175,63.961748156463784
0,Beijing_air,ARIMA,0.25,0.8955,53.92497402428611
0,Beijing_air,ExpSmoothing,0.25,0.8825,51.05802484852036
0,Beijing_air,DynamicFactor,0.25,0.906,57.41349730885219
