itrial,dataname,muh_fun,method,train_size,coverage,width
0,Fremont,RidgeCV,Ensemble,856,0.897640791476408,99.2096046668753
0,Fremont,RidgeCV,ICP,856,0.8190005073566717,82.34288967692989
0,Fremont,RidgeCV,Weighted_ICP,856,0.8319381024860477,92.20947926292806
0,Fremont,RandomForestRegressor,Ensemble,856,0.8958650431253171,116.81106981100044
0,Fremont,RandomForestRegressor,ICP,856,0.8868594622019279,107.82384905661273
0,Fremont,RandomForestRegressor,Weighted_ICP,856,0.880517503805175,99.81143049931461
0,Fremont,NeuralNet,Ensemble,856,0.8954845256215119,142.08891226441455
0,Fremont,NeuralNet,ICP,856,0.6725012683916793,58.56070327758789
0,Fremont,NeuralNet,Weighted_ICP,856,0.6645104008117707,49.94581985473633
0,Fremont,RNN,Ensemble,856,0.89117199391172,165.98366878902
0,Fremont,RNN,ICP,856,0.5851090816844241,34.062503814697266
0,Fremont,RNN,Weighted_ICP,856,0.5993150684931506,37.28390884399414
0,Fremont,RidgeCV,Ensemble,1634,0.9012102448634957,91.43426774618719
0,Fremont,RidgeCV,ICP,1634,0.8498452012383901,74.98177492927495
0,Fremont,RidgeCV,Weighted_ICP,1634,0.851252462707571,80.6611054071184
0,Fremont,RandomForestRegressor,Ensemble,1634,0.8967070081621166,115.12254678421685
0,Fremont,RandomForestRegressor,ICP,1634,0.830847171404447,89.5
0,Fremont,RandomForestRegressor,Weighted_ICP,1634,0.879960596678863,103.10295857988912
0,Fremont,NeuralNet,Ensemble,1634,0.8885448916408669,128.18364551240933
0,Fremont,NeuralNet,ICP,1634,0.6500140726146918,42.794677734375
0,Fremont,NeuralNet,Weighted_ICP,1634,0.6815367295243456,54.83534240722656
0,Fremont,RNN,Ensemble,1634,0.8822122150295525,162.52311693219647
0,Fremont,RNN,ICP,1634,0.6128623698283141,50.02030944824219
0,Fremont,RNN,Weighted_ICP,1634,0.6152547143259217,51.81513977050781
0,Fremont,RidgeCV,Ensemble,2413,0.9118065433854907,91.76242269044548
0,Fremont,RidgeCV,ICP,2413,0.8849375691480955,83.34223998994322
0,Fremont,RidgeCV,Weighted_ICP,2413,0.9051683262209578,92.78638739737498
0,Fremont,RandomForestRegressor,Ensemble,2413,0.9105421210684369,125.48292227899461
0,Fremont,RandomForestRegressor,ICP,2413,0.9135451240714398,133.4635338345815
0,Fremont,RandomForestRegressor,Weighted_ICP,2413,0.884621463568832,117.22306570131386
0,Fremont,NeuralNet,Ensemble,2413,0.8980559506875296,111.31253175789537
0,Fremont,NeuralNet,ICP,2413,0.7437964280069543,60.12702178955078
0,Fremont,NeuralNet,Weighted_ICP,2413,0.7371582108424214,60.622459411621094
0,Fremont,RNN,Ensemble,2413,0.8988462146356884,132.03307200454321
0,Fremont,RNN,ICP,2413,0.7959538485854275,86.55653381347656
0,Fremont,RNN,Weighted_ICP,2413,0.8183973447131342,93.29023742675781
1,Fremont,RidgeCV,Ensemble,856,0.8966260781329275,99.01612721051053
1,Fremont,RidgeCV,ICP,856,0.8229325215626585,81.62352863334527
1,Fremont,RidgeCV,Weighted_ICP,856,0.7992135971588027,75.77121570454344
1,Fremont,RandomForestRegressor,Ensemble,856,0.895738203957382,115.27792773487373
1,Fremont,RandomForestRegressor,ICP,856,0.8871131405377981,105.84933123525269
1,Fremont,RandomForestRegressor,Weighted_ICP,856,0.8784880771182141,102.78122621565066
1,Fremont,NeuralNet,Ensemble,856,0.8951040081177067,138.88744338736606
1,Fremont,NeuralNet,ICP,856,0.6438356164383562,46.38356399536133
1,Fremont,NeuralNet,Weighted_ICP,856,0.6680618975139523,54.689422607421875
1,Fremont,RNN,Ensemble,856,0.8880010147133435,174.183682231876
1,Fremont,RNN,ICP,856,0.5711567732115678,33.499088287353516
1,Fremont,RNN,Weighted_ICP,856,0.5599949264332826,28.844871520996094
1,Fremont,RidgeCV,Ensemble,1634,0.9010695187165776,93.48417946711443
1,Fremont,RidgeCV,ICP,1634,0.8357725865465804,76.04456263843038
1,Fremont,RidgeCV,Weighted_ICP,1634,0.8480157613284548,77.42465070193809
1,Fremont,RandomForestRegressor,Ensemble,1634,0.8983957219251337,113.8432063262441
1,Fremont,RandomForestRegressor,ICP,1634,0.8377427526034337,89.99806763285419
1,Fremont,RandomForestRegressor,Weighted_ICP,1634,0.8197298057979172,85.11386138613254
1,Fremont,NeuralNet,Ensemble,1634,0.8893892485223754,126.09515981506057
1,Fremont,NeuralNet,ICP,1634,0.6467773712355755,44.293487548828125
1,Fremont,NeuralNet,Weighted_ICP,1634,0.6480439065578385,47.81324768066406
1,Fremont,RNN,Ensemble,1634,0.8867154517309316,152.26784683353173
1,Fremont,RNN,ICP,1634,0.6248240923163524,50.93746566772461
1,Fremont,RNN,Weighted_ICP,1634,0.6144103574444132,46.92823791503906
1,Fremont,RidgeCV,Ensemble,2413,0.9125968073336495,92.64360243056883
1,Fremont,RidgeCV,ICP,2413,0.8986881618460566,87.19377482267865
1,Fremont,RidgeCV,Weighted_ICP,2413,0.903271692745377,91.54179215803666
1,Fremont,RandomForestRegressor,Ensemble,2413,0.9107001738580686,131.40786508955296
1,Fremont,RandomForestRegressor,ICP,2413,0.924292713766398,139.57894736842667
1,Fremont,RandomForestRegressor,Weighted_ICP,2413,0.8865180970444129,119.12923076923423
1,Fremont,NeuralNet,Ensemble,2413,0.8952110004741584,110.53908761296755
1,Fremont,NeuralNet,ICP,2413,0.7477477477477478,56.77201843261719
1,Fremont,NeuralNet,Weighted_ICP,2413,0.7657657657657657,69.53303527832031
1,Fremont,RNN,Ensemble,2413,0.8933143669985776,143.26961090883768
1,Fremont,RNN,ICP,2413,0.7374743164216848,78.38325500488281
1,Fremont,RNN,Weighted_ICP,2413,0.7689268215584005,91.38066864013672
2,Fremont,RidgeCV,Ensemble,856,0.8970065956367326,98.94915495349814
2,Fremont,RidgeCV,ICP,856,0.7838660578386606,75.71558643353558
2,Fremont,RidgeCV,Weighted_ICP,856,0.7909690512430239,76.75813073023374
2,Fremont,RandomForestRegressor,Ensemble,856,0.8949771689497716,115.01434393843198
2,Fremont,RandomForestRegressor,ICP,856,0.8716387620497209,101.55069182390987
