index,itrial,dataname,muh_fun,method,alpha,coverage,width
0,0,Milpitas,RidgeCV,Ensemble,0.05,0.9510559360730594,133.32224056436678
1,0,Milpitas,RidgeCV,ICP,0.05,0.9218036529680366,111.858153004779
2,0,Milpitas,RidgeCV,Weighted_ICP,0.05,0.9218036529680366,111.93484081550078
3,0,Milpitas,RandomForestRegressor,Ensemble,0.05,0.9487728310502284,175.94301395029584
4,0,Milpitas,RandomForestRegressor,ICP,0.05,0.9296518264840182,153.75916230365215
5,0,Milpitas,RandomForestRegressor,Weighted_ICP,0.05,0.9238013698630136,142.26415094338046
6,0,Milpitas,Sequential,Ensemble,0.05,0.942351598173516,174.22099325512798
7,0,Milpitas,Sequential,ICP,0.05,0.6862157534246576,59.77334213256836
8,0,Milpitas,Sequential,Weighted_ICP,0.05,0.7331621004566209,72.44393157958984
9,0,Milpitas,RNN,Ensemble,0.05,0.9404965753424658,217.3180610576821
10,0,Milpitas,RNN,ICP,0.05,0.6919235159817352,68.77922821044922
11,0,Milpitas,RNN,Weighted_ICP,0.05,0.6709474885844748,62.79052352905274
12,0,Milpitas,RidgeCV,Ensemble,0.1,0.9016837899543378,89.16538044252306
13,0,Milpitas,RidgeCV,ICP,0.1,0.8554509132420092,76.41935193688914
14,0,Milpitas,RidgeCV,Weighted_ICP,0.1,0.8548801369863014,76.38247785031551
15,0,Milpitas,RandomForestRegressor,Ensemble,0.1,0.896689497716895,117.7869053617487
16,0,Milpitas,RandomForestRegressor,ICP,0.1,0.8507420091324199,97.21781644596544
17,0,Milpitas,RandomForestRegressor,Weighted_ICP,0.1,0.8708618721461188,102.22641509433755
18,0,Milpitas,Sequential,Ensemble,0.1,0.884560502283105,126.25613602615759
19,0,Milpitas,Sequential,ICP,0.1,0.6526826484018264,50.053016662597656
20,0,Milpitas,Sequential,Weighted_ICP,0.1,0.6693778538812786,51.27840042114258
21,0,Milpitas,RNN,Ensemble,0.1,0.8869863013698629,148.81822304939774
22,0,Milpitas,RNN,ICP,0.1,0.6268550228310502,48.98811721801758
23,0,Milpitas,RNN,Weighted_ICP,0.1,0.6314212328767124,49.90913391113281
24,0,Milpitas,RidgeCV,Ensemble,0.15000000000000002,0.8528824200913242,67.43243496077294
25,0,Milpitas,RidgeCV,ICP,0.15000000000000002,0.802939497716895,59.763080197332776
26,0,Milpitas,RidgeCV,Weighted_ICP,0.15000000000000002,0.8043664383561644,61.28347213154471
27,0,Milpitas,RandomForestRegressor,Ensemble,0.15000000000000002,0.8548801369863014,88.3874849795973
28,0,Milpitas,RandomForestRegressor,ICP,0.15000000000000002,0.8112157534246576,76.885130718944
29,0,Milpitas,RandomForestRegressor,Weighted_ICP,0.15000000000000002,0.8127853881278538,78.16889830509301
30,0,Milpitas,Sequential,Ensemble,0.15000000000000002,0.8394691780821918,108.73350138814259
31,0,Milpitas,Sequential,ICP,0.15000000000000002,0.6162956621004566,40.74998474121094
32,0,Milpitas,Sequential,Weighted_ICP,0.15000000000000002,0.6157248858447488,38.86019515991211
33,0,Milpitas,RNN,Ensemble,0.15000000000000002,0.8386130136986302,113.21755861085234
34,0,Milpitas,RNN,ICP,0.15000000000000002,0.6017408675799086,37.98323440551758
35,0,Milpitas,RNN,Weighted_ICP,0.15000000000000002,0.6004566210045662,37.65717315673828
36,0,Milpitas,RidgeCV,Ensemble,0.2,0.8085045662100456,54.773039361143354
37,0,Milpitas,RidgeCV,ICP,0.2,0.7373002283105022,47.868327477593276
38,0,Milpitas,RidgeCV,Weighted_ICP,0.2,0.7450057077625569,50.34475031514592
39,0,Milpitas,RandomForestRegressor,Ensemble,0.2,0.8107876712328768,72.04276479367837
40,0,Milpitas,RandomForestRegressor,ICP,0.2,0.7939497716894978,71.32352941175921
41,0,Milpitas,RandomForestRegressor,Weighted_ICP,0.2,0.7832477168949772,69.61016949151336
42,0,Milpitas,Sequential,Ensemble,0.2,0.7985159817351598,88.7967129915551
43,0,Milpitas,Sequential,ICP,0.2,0.5881849315068494,31.057809829711914
44,0,Milpitas,Sequential,Weighted_ICP,0.2,0.5797659817351598,27.73931312561035
45,0,Milpitas,RNN,Ensemble,0.2,0.788670091324201,102.55023093239349
46,0,Milpitas,RNN,ICP,0.2,0.54337899543379,25.70178985595703
47,0,Milpitas,RNN,Weighted_ICP,0.2,0.5532248858447488,27.255281448364254
48,0,Milpitas,RidgeCV,Ensemble,0.25,0.757420091324201,45.79163936227511
49,0,Milpitas,RidgeCV,ICP,0.25,0.6832191780821918,40.53513246552935
50,0,Milpitas,RidgeCV,Weighted_ICP,0.25,0.6892123287671232,42.07550119736821
51,0,Milpitas,RandomForestRegressor,Ensemble,0.25,0.7587043378995434,61.48718287541272
52,0,Milpitas,RandomForestRegressor,ICP,0.25,0.6987728310502284,57.8061873370466
53,0,Milpitas,RandomForestRegressor,Weighted_ICP,0.25,0.6902111872146118,56.22641509433765
54,0,Milpitas,Sequential,Ensemble,0.25,0.7545662100456622,77.7795225818875
55,0,Milpitas,Sequential,ICP,0.25,0.5680650684931506,26.09927749633789
56,0,Milpitas,Sequential,Weighted_ICP,0.25,0.5666381278538812,26.86479377746582
57,0,Milpitas,RNN,Ensemble,0.25,0.7397260273972602,87.87228473102506
58,0,Milpitas,RNN,ICP,0.25,0.5251141552511416,19.201229095458984
59,0,Milpitas,RNN,Weighted_ICP,0.25,0.5351027397260274,22.52088928222656
60,1,Milpitas,RidgeCV,Ensemble,0.05,0.9506278538812786,133.92711726567862
61,1,Milpitas,RidgeCV,ICP,0.05,0.920804794520548,109.06890961146709
62,1,Milpitas,RidgeCV,Weighted_ICP,0.05,0.9045376712328768,104.53303571064713
63,1,Milpitas,RandomForestRegressor,Ensemble,0.05,0.9476312785388128,174.0766184201173
64,1,Milpitas,RandomForestRegressor,ICP,0.05,0.928082191780822,149.55882352939992
65,1,Milpitas,RandomForestRegressor,Weighted_ICP,0.05,0.9273687214611872,149.60513156663546
66,1,Milpitas,Sequential,Ensemble,0.05,0.9406392694063926,171.84108157784325
67,1,Milpitas,Sequential,ICP,0.05,0.7063356164383562,64.47087860107422
68,1,Milpitas,Sequential,Weighted_ICP,0.05,0.7168949771689498,67.27291870117189
