itrial,dataname,muh_fun,method,train_size,coverage,width
0,Milpitas,RidgeCV,Ensemble,876,0.8814053779807205,436.4758083664937
0,Milpitas,RidgeCV,ICP,876,0.4606798579401319,89.94681405714152
0,Milpitas,RidgeCV,Weighted_ICP,876,0.4817351598173516,102.74352173655673
0,Milpitas,RandomForestRegressor,Ensemble,876,0.8963723997970573,107.46635861887512
0,Milpitas,RandomForestRegressor,ICP,876,0.8581938102486047,95.67500000000848
0,Milpitas,RandomForestRegressor,Weighted_ICP,876,0.8518518518518519,91.22564102565369
0,Milpitas,NeuralNet,Ensemble,876,0.8940892947742263,125.993982116695
0,Milpitas,NeuralNet,ICP,876,0.691400304414003,40.01888656616211
0,Milpitas,NeuralNet,Weighted_ICP,876,0.6766869609335363,39.021263122558594
0,Milpitas,RNN,Ensemble,876,0.8900304414003044,133.99992077206295
0,Milpitas,RNN,ICP,876,0.5733130390664637,19.51406478881836
0,Milpitas,RNN,Weighted_ICP,876,0.5343734145104008,13.53079891204834
0,Milpitas,RidgeCV,Ensemble,1654,0.8830565719110611,256.1848072210752
0,Milpitas,RidgeCV,ICP,1654,0.5135097101041374,99.21170990494754
0,Milpitas,RidgeCV,Weighted_ICP,1654,0.5215311004784688,109.69316265592295
0,Milpitas,RandomForestRegressor,Ensemble,1654,0.8964255558682803,128.62682574513843
0,Milpitas,RandomForestRegressor,ICP,1654,0.8513931888544891,99.85806451613054
0,Milpitas,RandomForestRegressor,Weighted_ICP,1654,0.8373205741626795,85.56164383562204
0,Milpitas,NeuralNet,Ensemble,1654,0.8929074021953279,125.77674100452616
0,Milpitas,NeuralNet,ICP,1654,0.7191106107514776,40.855201721191406
0,Milpitas,NeuralNet,Weighted_ICP,1654,0.7713200112580918,50.09607696533203
0,Milpitas,RNN,Ensemble,1654,0.8865747255840135,160.29542548486342
0,Milpitas,RNN,ICP,1654,0.5955530537573881,20.970064163208008
0,Milpitas,RNN,Weighted_ICP,1654,0.5758513931888545,19.427806854248047
0,Milpitas,RidgeCV,Ensemble,2433,0.8664453927611823,320.85924202727733
0,Milpitas,RidgeCV,ICP,2433,0.5738896791528371,121.44747188815444
0,Milpitas,RidgeCV,Weighted_ICP,2433,0.5493914967599178,120.7942988214401
0,Milpitas,RandomForestRegressor,Ensemble,2433,0.9160739687055477,109.3981885825254
0,Milpitas,RandomForestRegressor,ICP,2433,0.8368895211000474,125.7681681681519
0,Milpitas,RandomForestRegressor,Weighted_ICP,2433,0.9127548601232812,135.14877192981592
0,Milpitas,NeuralNet,Ensemble,2433,0.8922079974711553,110.94179587134361
0,Milpitas,NeuralNet,ICP,2433,0.8003793266951161,51.677513122558594
