index,itrial,dataname,muh_fun,method,alpha,coverage,width
0,0,North_San_Jose,RidgeCV,Ensemble,0.05,0.9521974885844748,134.1193606543329
1,0,North_San_Jose,RidgeCV,ICP,0.05,0.9212328767123288,119.28140450481487
2,0,North_San_Jose,RidgeCV,Weighted_ICP,0.05,0.9089611872146118,100.46725555637316
3,0,North_San_Jose,RandomForestRegressor,Ensemble,0.05,0.9479166666666666,178.1466818920784
4,0,North_San_Jose,RandomForestRegressor,ICP,0.05,0.9226598173515982,150.77966101697564
5,0,North_San_Jose,RandomForestRegressor,Weighted_ICP,0.05,0.9196632420091324,153.41121495328298
6,0,North_San_Jose,Sequential,Ensemble,0.05,0.9410673515981736,177.7640940406116
7,0,North_San_Jose,Sequential,ICP,0.05,0.7348744292237442,77.47027587890625
8,0,North_San_Jose,Sequential,Weighted_ICP,0.05,0.6954908675799086,59.22109603881836
9,0,North_San_Jose,RNN,Ensemble,0.05,0.9444920091324199,217.70777254309053
10,0,North_San_Jose,RNN,ICP,0.05,0.7089041095890408,81.54063415527344
11,0,North_San_Jose,RNN,Weighted_ICP,0.05,0.7047659817351598,81.74329376220703
12,0,North_San_Jose,RidgeCV,Ensemble,0.1,0.9008276255707762,92.43421175061027
13,0,North_San_Jose,RidgeCV,ICP,0.1,0.8605878995433791,83.80052606401547
14,0,North_San_Jose,RidgeCV,Weighted_ICP,0.1,0.8423230593607306,70.17209038678247
15,0,North_San_Jose,RandomForestRegressor,Ensemble,0.1,0.8971175799086758,122.49313258439541
16,0,North_San_Jose,RandomForestRegressor,ICP,0.1,0.8543093607305936,101.60199004974524
17,0,North_San_Jose,RandomForestRegressor,Weighted_ICP,0.1,0.8528824200913242,106.9813084112227
18,0,North_San_Jose,Sequential,Ensemble,0.1,0.8896974885844748,126.36098628012634
19,0,North_San_Jose,Sequential,ICP,0.1,0.6650970319634704,56.405723571777344
20,0,North_San_Jose,Sequential,Weighted_ICP,0.1,0.668093607305936,57.30242538452149
21,0,North_San_Jose,RNN,Ensemble,0.1,0.8878424657534246,163.65142201023684
22,0,North_San_Jose,RNN,ICP,0.1,0.6048801369863014,50.3443374633789
23,0,North_San_Jose,RNN,Weighted_ICP,0.1,0.603453196347032,49.3840217590332
24,0,North_San_Jose,RidgeCV,Ensemble,0.15000000000000002,0.8547374429223744,70.19335843172334
25,0,North_San_Jose,RidgeCV,ICP,0.15000000000000002,0.7822488584474886,58.98951577160612
26,0,North_San_Jose,RidgeCV,Weighted_ICP,0.15000000000000002,0.7842465753424658,55.859760212206666
27,0,North_San_Jose,RandomForestRegressor,Ensemble,0.15000000000000002,0.8554509132420092,94.41402641543192
28,0,North_San_Jose,RandomForestRegressor,ICP,0.15000000000000002,0.7898116438356164,73.01694915253046
29,0,North_San_Jose,RandomForestRegressor,Weighted_ICP,0.15000000000000002,0.7956621004566209,78.49482758621507
30,0,North_San_Jose,Sequential,Ensemble,0.15000000000000002,0.8458904109589042,110.0239874557179
31,0,North_San_Jose,Sequential,ICP,0.15000000000000002,0.6299942922374431,40.21869659423828
32,0,North_San_Jose,Sequential,Weighted_ICP,0.15000000000000002,0.6379851598173516,45.10350799560547
33,0,North_San_Jose,RNN,Ensemble,0.15000000000000002,0.8327625570776256,125.44400909102396
34,0,North_San_Jose,RNN,ICP,0.15000000000000002,0.5657819634703196,34.245784759521484
35,0,North_San_Jose,RNN,Weighted_ICP,0.15000000000000002,0.5787671232876712,39.95756530761719
36,0,North_San_Jose,RidgeCV,Ensemble,0.2,0.8060787671232876,57.622515522316455
37,0,North_San_Jose,RidgeCV,ICP,0.2,0.7213184931506851,47.93541497544975
38,0,North_San_Jose,RidgeCV,Weighted_ICP,0.2,0.7264554794520548,45.60439250295804
39,0,North_San_Jose,RandomForestRegressor,Ensemble,0.2,0.8106449771689498,76.15531627872727
40,0,North_San_Jose,RandomForestRegressor,ICP,0.2,0.7237442922374431,63.601990049759046
41,0,North_San_Jose,RandomForestRegressor,Weighted_ICP,0.2,0.7422945205479452,62.13793103448925
42,0,North_San_Jose,Sequential,Ensemble,0.2,0.7970890410958904,91.09804724614445
43,0,North_San_Jose,Sequential,ICP,0.2,0.5878995433789954,33.902156829833984
44,0,North_San_Jose,Sequential,Weighted_ICP,0.2,0.6005993150684932,36.92578125
45,0,North_San_Jose,RNN,Ensemble,0.2,0.7841038812785388,104.45160008871694
46,0,North_San_Jose,RNN,ICP,0.2,0.5587899543378996,28.29686737060547
47,0,North_San_Jose,RNN,Weighted_ICP,0.2,0.5476598173515982,26.20175170898437
48,0,North_San_Jose,RidgeCV,Ensemble,0.25,0.7615582191780822,48.206553452858905
49,0,North_San_Jose,RidgeCV,ICP,0.25,0.6806506849315068,41.802163410208905
50,0,North_San_Jose,RidgeCV,Weighted_ICP,0.25,0.660958904109589,37.007662021527636
51,0,North_San_Jose,RandomForestRegressor,Ensemble,0.25,0.7626997716894978,65.19089441526839
52,0,North_San_Jose,RandomForestRegressor,ICP,0.25,0.6699486301369864,51.00847457627089
53,0,North_San_Jose,RandomForestRegressor,Weighted_ICP,0.25,0.6892123287671232,58.98130841122104
54,0,North_San_Jose,Sequential,Ensemble,0.25,0.7534246575342466,73.1542466302161
55,0,North_San_Jose,Sequential,ICP,0.25,0.5739155251141552,25.51705551147461
56,0,North_San_Jose,Sequential,Weighted_ICP,0.25,0.5573630136986302,19.15826797485352
57,0,North_San_Jose,RNN,Ensemble,0.25,0.7430079908675801,86.65088836369526
58,0,North_San_Jose,RNN,ICP,0.25,0.5322488584474886,20.3994255065918
59,0,North_San_Jose,RNN,Weighted_ICP,0.25,0.531392694063927,20.900903701782227
60,1,North_San_Jose,RidgeCV,Ensemble,0.05,0.9514840182648402,134.37864360442916
61,1,North_San_Jose,RidgeCV,ICP,0.05,0.9176655251141552,108.94489649579278
62,1,North_San_Jose,RidgeCV,Weighted_ICP,0.05,0.9213755707762558,112.60350204631445
63,1,North_San_Jose,RandomForestRegressor,Ensemble,0.05,0.9489155251141552,176.29752743068678
64,1,North_San_Jose,RandomForestRegressor,ICP,0.05,0.9332191780821918,167.37556561084585
