itrial,dataname,muh_fun,method,train_size,coverage,width
0,North_San_Jose,RidgeCV,Ensemble,856,0.8972602739726028,100.26235449954247
0,North_San_Jose,RidgeCV,ICP,856,0.7874175545408422,83.67194889323794
0,North_San_Jose,RidgeCV,Weighted_ICP,856,0.826103500761035,93.13014912977606
0,North_San_Jose,RandomForestRegressor,Ensemble,856,0.897894469812278,114.90290964743402
0,North_San_Jose,RandomForestRegressor,ICP,856,0.8664383561643836,102.93488372093809
0,North_San_Jose,RandomForestRegressor,Weighted_ICP,856,0.8770928462709284,105.55827186512703
0,North_San_Jose,NeuralNet,Ensemble,856,0.8933282597666159,136.35262894985118
0,North_San_Jose,NeuralNet,ICP,856,0.6613394216133942,52.404273986816406
0,North_San_Jose,NeuralNet,Weighted_ICP,856,0.6339421613394216,39.32493591308594
0,North_San_Jose,RNN,Ensemble,856,0.8907914764079148,174.55689692371556
0,North_San_Jose,RNN,ICP,856,0.5636732623033993,30.15296745300293
0,North_San_Jose,RNN,Weighted_ICP,856,0.5707762557077626,33.34687042236328
0,North_San_Jose,RidgeCV,Ensemble,1634,0.9007880664227413,91.4367053271009
0,North_San_Jose,RidgeCV,ICP,1634,0.8475935828877005,80.26062388415119
0,North_San_Jose,RidgeCV,Weighted_ICP,1634,0.8509710104137349,82.80031259857239
0,North_San_Jose,RandomForestRegressor,Ensemble,1634,0.8948775682521812,120.34397420783726
0,North_San_Jose,RandomForestRegressor,ICP,1634,0.830847171404447,93.70129395888782
0,North_San_Jose,RandomForestRegressor,Weighted_ICP,1634,0.8726428370391218,106.02676458587192
0,North_San_Jose,NeuralNet,Ensemble,1634,0.8881227132001126,133.62110055029
0,North_San_Jose,NeuralNet,ICP,1634,0.6666197579510273,53.312625885009766
0,North_San_Jose,NeuralNet,Weighted_ICP,1634,0.6785814804390656,56.934967041015625
0,North_San_Jose,RNN,Ensemble,1634,0.8868561778778496,165.41663581600483
0,North_San_Jose,RNN,ICP,1634,0.579510273008725,38.57969665527344
0,North_San_Jose,RNN,Weighted_ICP,1634,0.59245707852519,42.16927719116211
0,North_San_Jose,RidgeCV,Ensemble,2413,0.9107001738580686,89.5749615889491
0,North_San_Jose,RidgeCV,ICP,2413,0.8827248300932512,81.49363100447577
0,North_San_Jose,RidgeCV,Weighted_ICP,2413,0.8893630472577841,82.59346310177347
0,North_San_Jose,RandomForestRegressor,Ensemble,2413,0.9138612296507034,122.41564227947953
0,North_San_Jose,RandomForestRegressor,ICP,2413,0.9010589536905327,127.39751552793966
0,North_San_Jose,RandomForestRegressor,Weighted_ICP,2413,0.8956851588430536,125.77566599415155
0,North_San_Jose,NeuralNet,Ensemble,2413,0.8939465781571044,110.40052764105076
0,North_San_Jose,NeuralNet,ICP,2413,0.748221906116643,66.36570739746094
0,North_San_Jose,NeuralNet,Weighted_ICP,2413,0.7170855065591908,54.168060302734375
0,North_San_Jose,RNN,Ensemble,2413,0.889995258416311,133.16430667218614
0,North_San_Jose,RNN,ICP,2413,0.7442705863758495,80.3063735961914
0,North_San_Jose,RNN,Weighted_ICP,2413,0.7324166271534692,80.33731842041016
1,North_San_Jose,RidgeCV,Ensemble,856,0.897894469812278,99.59212656357899
1,North_San_Jose,RidgeCV,ICP,856,0.8207762557077626,96.07364327424787
1,North_San_Jose,RidgeCV,Weighted_ICP,856,0.8035261288685946,85.203986040166
1,North_San_Jose,RandomForestRegressor,Ensemble,856,0.897640791476408,115.16212154666927
1,North_San_Jose,RandomForestRegressor,ICP,856,0.8753170979198377,107.3658536585298
1,North_San_Jose,RandomForestRegressor,Weighted_ICP,856,0.8669457128361238,102.81220125787566
1,North_San_Jose,NeuralNet,Ensemble,856,0.8923135464231354,142.14284009426618
1,North_San_Jose,NeuralNet,ICP,856,0.645738203957382,46.497215270996094
1,North_San_Jose,NeuralNet,Weighted_ICP,856,0.639269406392694,47.10460662841797
1,North_San_Jose,RNN,Ensemble,856,0.8933282597666159,170.63158974968275
1,North_San_Jose,RNN,ICP,856,0.5670979198376459,34.081424713134766
1,North_San_Jose,RNN,Weighted_ICP,856,0.5662100456621004,34.45442581176758
1,North_San_Jose,RidgeCV,Ensemble,1634,0.9006473402758233,92.92526797575005
1,North_San_Jose,RidgeCV,ICP,1634,0.8550520686743597,80.031701213784
1,North_San_Jose,RidgeCV,Weighted_ICP,1634,0.8501266535322263,72.39348950296356
1,North_San_Jose,RandomForestRegressor,Ensemble,1634,0.8961441035744442,118.83330527213282
1,North_San_Jose,RandomForestRegressor,ICP,1634,0.848297213622291,98.82861816615588
1,North_San_Jose,RandomForestRegressor,Weighted_ICP,1634,0.8478750351815367,104.48510638298406
1,North_San_Jose,NeuralNet,Ensemble,1634,0.888685617787785,130.59559644870052
1,North_San_Jose,NeuralNet,ICP,1634,0.6462144666479032,41.69095230102539
1,North_San_Jose,NeuralNet,Weighted_ICP,1634,0.6455108359133127,42.00261688232422
1,North_San_Jose,RNN,Ensemble,1634,0.8874190824655221,151.81382975215377
1,North_San_Jose,RNN,ICP,1634,0.6134252744159865,52.249473571777344
1,North_San_Jose,RNN,Weighted_ICP,1634,0.6132845482690684,51.15852737426758
1,North_San_Jose,RidgeCV,Ensemble,2413,0.9107001738580686,90.64384717711026
1,North_San_Jose,RidgeCV,ICP,2413,0.8880986249407302,82.19035446760265
1,North_San_Jose,RidgeCV,Weighted_ICP,2413,0.896633475580844,85.79370024117934
1,North_San_Jose,RandomForestRegressor,Ensemble,2413,0.914019282440335,119.77600841219251
1,North_San_Jose,RandomForestRegressor,ICP,2413,0.9103840682788051,131.97923875433682
1,North_San_Jose,RandomForestRegressor,Weighted_ICP,2413,0.9004267425320057,125.51075441413364
1,North_San_Jose,NeuralNet,Ensemble,2413,0.8974237395290027,113.71720223819304
1,North_San_Jose,NeuralNet,ICP,2413,0.7523312786470682,59.52092361450195
1,North_San_Jose,NeuralNet,Weighted_ICP,2413,0.7855223644697329,74.0069808959961
1,North_San_Jose,RNN,Ensemble,2413,0.8865180970444129,144.86977603694646
1,North_San_Jose,RNN,ICP,2413,0.7624466571834992,89.24444580078125
1,North_San_Jose,RNN,Weighted_ICP,2413,0.7899478425794215,97.68913269042969
2,North_San_Jose,RidgeCV,Ensemble,856,0.8985286656519533,99.57660386637727
2,North_San_Jose,RidgeCV,ICP,856,0.8027650938609843,82.45146273339668
2,North_San_Jose,RidgeCV,Weighted_ICP,856,0.7971841704718418,81.2518593337178
2,North_San_Jose,RandomForestRegressor,Ensemble,856,0.8990360223236935,118.6197476246974
2,North_San_Jose,RandomForestRegressor,ICP,856,0.8562912227295789,98.21269841270755
2,North_San_Jose,RandomForestRegressor,Weighted_ICP,856,0.8469051243023846,96.28135593220776
2,North_San_Jose,NeuralNet,Ensemble,856,0.8949771689497716,147.39433825211475
2,North_San_Jose,NeuralNet,ICP,856,0.6308980213089802,53.178314208984375
2,North_San_Jose,NeuralNet,Weighted_ICP,856,0.6380010147133435,50.466697692871094
2,North_San_Jose,RNN,Ensemble,856,0.8910451547437849,174.54827092180616
2,North_San_Jose,RNN,ICP,856,0.5667174023338407,30.140844345092773
2,North_San_Jose,RNN,Weighted_ICP,856,0.5664637239979706,29.785547256469727
2,North_San_Jose,RidgeCV,Ensemble,1634,0.8999437095412327,92.63236587146595
2,North_San_Jose,RidgeCV,ICP,1634,0.8374613003095975,71.69403567419752
2,North_San_Jose,RidgeCV,Weighted_ICP,1634,0.8544891640866873,82.76551485761367
2,North_San_Jose,RandomForestRegressor,Ensemble,1634,0.8978328173374613,120.81275964124193
2,North_San_Jose,RandomForestRegressor,ICP,1634,0.8578665916127216,99.06446023219046
2,North_San_Jose,RandomForestRegressor,Weighted_ICP,1634,0.8359133126934984,93.56756756757318
2,North_San_Jose,NeuralNet,Ensemble,1634,0.8884041654939487,135.49745135113145
2,North_San_Jose,NeuralNet,ICP,1634,0.6453701097663946,49.84446334838867
2,North_San_Jose,NeuralNet,Weighted_ICP,1634,0.648888263439347,52.87717056274414
2,North_San_Jose,RNN,Ensemble,1634,0.8888263439347031,149.65892058660037
2,North_San_Jose,RNN,ICP,1634,0.6101885730368702,50.647003173828125
2,North_San_Jose,RNN,Weighted_ICP,1634,0.6111736560652969,50.70791244506836
2,North_San_Jose,RidgeCV,Ensemble,2413,0.9110162794373321,90.0074512529661
2,North_San_Jose,RidgeCV,ICP,2413,0.8879405721510985,84.57516831468494
2,North_San_Jose,RidgeCV,Weighted_ICP,2413,0.8858858858858859,83.29152915735949
2,North_San_Jose,RandomForestRegressor,Ensemble,2413,0.915283704757389,120.61870228175232
2,North_San_Jose,RandomForestRegressor,ICP,2413,0.9020072704283231,127.82935153584637
2,North_San_Jose,RandomForestRegressor,Weighted_ICP,2413,0.9184447605500237,135.00401606425103
2,North_San_Jose,NeuralNet,Ensemble,2413,0.8982140034771614,116.57205619042426
2,North_San_Jose,NeuralNet,ICP,2413,0.7393709498972657,60.96025085449219
2,North_San_Jose,NeuralNet,Weighted_ICP,2413,0.7570728623360202,68.99996185302734
2,North_San_Jose,RNN,Ensemble,2413,0.8923660502607871,155.27346732108393
2,North_San_Jose,RNN,ICP,2413,0.7792002528844634,91.44316864013672
2,North_San_Jose,RNN,Weighted_ICP,2413,0.7594436541804963,82.96715545654297
3,North_San_Jose,RidgeCV,Ensemble,856,0.8991628614916286,101.40622839530322
3,North_San_Jose,RidgeCV,ICP,856,0.8433536276002029,95.00319984753968
3,North_San_Jose,RidgeCV,Weighted_ICP,856,0.8049213597158803,91.47079115244809
3,North_San_Jose,RandomForestRegressor,Ensemble,856,0.8975139523084729,118.10837990150408
3,North_San_Jose,RandomForestRegressor,ICP,856,0.8437341451040081,92.97499999998652
3,North_San_Jose,RandomForestRegressor,Weighted_ICP,856,0.8664383561643836,105.04602675058467
3,North_San_Jose,NeuralNet,Ensemble,856,0.8924403855910705,149.05921160914704
3,North_San_Jose,NeuralNet,ICP,856,0.6694571283612379,58.1250114440918
3,North_San_Jose,NeuralNet,Weighted_ICP,856,0.6010908168442415,32.89067077636719
3,North_San_Jose,RNN,Ensemble,856,0.8896499238964992,170.97804280064295
3,North_San_Jose,RNN,ICP,856,0.573947234906139,31.590423583984375
3,North_San_Jose,RNN,Weighted_ICP,856,0.5785134449518011,32.031044006347656
3,North_San_Jose,RidgeCV,Ensemble,1634,0.8990993526597242,93.14466703597691
3,North_San_Jose,RidgeCV,ICP,1634,0.8298620883760203,72.79460338147709
3,North_San_Jose,RidgeCV,Weighted_ICP,1634,0.84688995215311,79.15249527357084
