index,itrial,dataname,method,alpha,coverage,width,muh_fun
0,0,Palo_Alto,ARIMA,0.05,0.9276541095890408,99.738154425516,
1,0,Palo_Alto,ExpSmoothing,0.05,0.9462043378995434,117.98942166973556,
2,0,Palo_Alto,DynamicFactor,0.05,0.9317922374429224,137.97705460715284,
3,0,Palo_Alto,ARIMA,0.1,0.9083904109589042,83.7028977809128,
4,0,Palo_Alto,ExpSmoothing,0.1,0.9296518264840182,99.01984409212277,
5,0,Palo_Alto,DynamicFactor,0.1,0.9102454337899544,115.79399442891051,
6,0,Palo_Alto,ARIMA,0.15000000000000002,0.8862728310502284,73.25451553260055,
7,0,Palo_Alto,ExpSmoothing,0.15000000000000002,0.9125285388127854,86.6594932718907,
8,0,Palo_Alto,DynamicFactor,0.15000000000000002,0.8932648401826484,101.33977661891228,
9,0,Palo_Alto,ARIMA,0.2,0.8670091324200914,65.21527382990854,
10,0,Palo_Alto,ExpSmoothing,0.2,0.8958333333333334,77.14913603069637,
11,0,Palo_Alto,DynamicFactor,0.2,0.8695776255707762,90.21834673279636,
12,0,Palo_Alto,ARIMA,0.25,0.8463184931506851,58.538690020955116,
13,0,Palo_Alto,ExpSmoothing,0.25,0.879851598173516,69.25079194275915,
14,0,Palo_Alto,DynamicFactor,0.25,0.8467465753424658,80.9820081008876,
0,0,Palo_Alto,Ensemble,0.05,0.947631278538813,192.327882438466,RidgeCV
1,0,Palo_Alto,Ensemble,0.05,0.9472031963470321,192.94385972953603,RandomForestRegressor
2,0,Palo_Alto,Ensemble,0.05,0.941638127853881,177.139983409924,Sequential
3,0,Palo_Alto,Ensemble,0.05,0.947631278538813,226.552666080141,RNN
4,0,Palo_Alto,Ensemble,0.1,0.897260273972603,136.33718818791002,RidgeCV
5,0,Palo_Alto,Ensemble,0.1,0.898401826484018,123.170194990611,RandomForestRegressor
6,0,Palo_Alto,Ensemble,0.1,0.88898401826484,123.14716947987499,Sequential
7,0,Palo_Alto,Ensemble,0.1,0.89740296803653,160.345124341626,RNN
8,0,Palo_Alto,Ensemble,0.15,0.836044520547945,102.757233974841,RidgeCV
9,0,Palo_Alto,Ensemble,0.15,0.849172374429224,84.7271533338905,RandomForestRegressor
10,0,Palo_Alto,Ensemble,0.15,0.843321917808219,84.949852993187,Sequential
11,0,Palo_Alto,Ensemble,0.15,0.854880136986301,124.607629979664,RNN
12,0,Palo_Alto,Ensemble,0.2,0.78310502283105,85.703045108433,RidgeCV
13,0,Palo_Alto,Ensemble,0.2,0.793949771689498,62.376854910057794,RandomForestRegressor
14,0,Palo_Alto,Ensemble,0.2,0.792808219178082,62.9609639976404,Sequential
15,0,Palo_Alto,Ensemble,0.2,0.807933789954338,106.39177984117399,RNN
16,0,Palo_Alto,Ensemble,0.25,0.712471461187215,70.7543882121723,RidgeCV
17,0,Palo_Alto,Ensemble,0.25,0.74115296803653,43.854726756827496,RandomForestRegressor
18,0,Palo_Alto,Ensemble,0.25,0.748002283105023,46.25140976437571,Sequential
19,0,Palo_Alto,Ensemble,0.25,0.772831050228311,95.9442534089883,RNN
20,1,Palo_Alto,Ensemble,0.05,0.94777397260274,192.559996754674,RidgeCV
21,1,Palo_Alto,Ensemble,0.05,0.946489726027397,196.38484690392897,RandomForestRegressor
22,1,Palo_Alto,Ensemble,0.05,0.9412100456621,174.548605914005,Sequential
23,1,Palo_Alto,Ensemble,0.05,0.947488584474886,226.52106024836,RNN
24,1,Palo_Alto,Ensemble,0.1,0.898544520547945,136.609275295506,RidgeCV
25,1,Palo_Alto,Ensemble,0.1,0.8965468036529679,126.7102298484,RandomForestRegressor
26,1,Palo_Alto,Ensemble,0.1,0.8871289954337901,122.217289693767,Sequential
27,1,Palo_Alto,Ensemble,0.1,0.897260273972603,160.416282121213,RNN
28,1,Palo_Alto,Ensemble,0.15,0.836615296803653,103.000296751045,RidgeCV
29,1,Palo_Alto,Ensemble,0.15,0.850456621004566,87.00250981464859,RandomForestRegressor
30,1,Palo_Alto,Ensemble,0.15,0.84375,85.57468618439671,Sequential
31,1,Palo_Alto,Ensemble,0.15,0.854594748858447,124.55288153590999,RNN
32,1,Palo_Alto,Ensemble,0.2,0.784389269406393,85.9965682288894,RidgeCV
33,1,Palo_Alto,Ensemble,0.2,0.793807077625571,62.99609041125011,RandomForestRegressor
34,1,Palo_Alto,Ensemble,0.2,0.792094748858447,63.707115517596705,Sequential
35,1,Palo_Alto,Ensemble,0.2,0.807933789954338,106.3033150907,RNN
36,1,Palo_Alto,Ensemble,0.25,0.711329908675799,71.0080490090789,RidgeCV
37,1,Palo_Alto,Ensemble,0.25,0.738869863013699,44.18368666934521,RandomForestRegressor
38,1,Palo_Alto,Ensemble,0.25,0.749429223744292,46.5527320229984,Sequential
39,1,Palo_Alto,Ensemble,0.25,0.772545662100457,95.7683856396756,RNN
40,2,Palo_Alto,Ensemble,0.05,0.948344748858447,192.366619024128,RidgeCV
41,2,Palo_Alto,Ensemble,0.05,0.947060502283105,193.922024503614,RandomForestRegressor
42,2,Palo_Alto,Ensemble,0.05,0.94078196347032,173.47138127403,Sequential
43,2,Palo_Alto,Ensemble,0.05,0.9473458904109592,226.50291776958,RNN
44,2,Palo_Alto,Ensemble,0.1,0.897117579908676,136.10280950818398,RidgeCV
45,2,Palo_Alto,Ensemble,0.1,0.895690639269406,126.540054648552,RandomForestRegressor
46,2,Palo_Alto,Ensemble,0.1,0.886415525114155,122.33418862512899,Sequential
47,2,Palo_Alto,Ensemble,0.1,0.89740296803653,160.302864309998,RNN
48,2,Palo_Alto,Ensemble,0.15,0.836329908675799,102.63357758217501,RidgeCV
49,2,Palo_Alto,Ensemble,0.15,0.849457762557078,87.26567597298559,RandomForestRegressor
50,2,Palo_Alto,Ensemble,0.15,0.844606164383562,85.2306467638343,Sequential
51,2,Palo_Alto,Ensemble,0.15,0.855022831050228,124.67300064187201,RNN
52,2,Palo_Alto,Ensemble,0.2,0.7838184931506851,85.58817954576199,RidgeCV
53,2,Palo_Alto,Ensemble,0.2,0.7933789954337901,63.1095127376749,RandomForestRegressor
54,2,Palo_Alto,Ensemble,0.2,0.7932363013698629,62.5682060308422,Sequential
55,2,Palo_Alto,Ensemble,0.2,0.808219178082192,106.573785677717,RNN
56,2,Palo_Alto,Ensemble,0.25,0.712899543378995,70.58828468611979,RidgeCV
57,2,Palo_Alto,Ensemble,0.25,0.7401541095890408,44.231353979622,RandomForestRegressor
58,2,Palo_Alto,Ensemble,0.25,0.750285388127854,47.0971526918466,Sequential
59,2,Palo_Alto,Ensemble,0.25,0.772260273972603,95.76266679225849,RNN
60,3,Palo_Alto,Ensemble,0.05,0.947488584474886,192.549913678798,RidgeCV
61,3,Palo_Alto,Ensemble,0.05,0.946061643835616,195.410980859063,RandomForestRegressor
62,3,Palo_Alto,Ensemble,0.05,0.9422089041095891,175.52175823981997,Sequential
63,3,Palo_Alto,Ensemble,0.05,0.9473458904109592,226.618724329144,RNN
64,3,Palo_Alto,Ensemble,0.1,0.898687214611872,136.119134687877,RidgeCV
65,3,Palo_Alto,Ensemble,0.1,0.894834474885845,128.135856091506,RandomForestRegressor
66,3,Palo_Alto,Ensemble,0.1,0.885987442922374,121.545978940733,Sequential
67,3,Palo_Alto,Ensemble,0.1,0.897545662100457,160.35500616421498,RNN
68,3,Palo_Alto,Ensemble,0.15,0.837186073059361,102.458419765856,RidgeCV
69,3,Palo_Alto,Ensemble,0.15,0.85259703196347,88.1844269104364,RandomForestRegressor
70,3,Palo_Alto,Ensemble,0.15,0.844035388127854,85.3294300512334,Sequential
71,3,Palo_Alto,Ensemble,0.15,0.855022831050228,124.591685563433,RNN
72,3,Palo_Alto,Ensemble,0.2,0.7862442922374431,85.30985761285051,RidgeCV
73,3,Palo_Alto,Ensemble,0.2,0.794377853881279,63.334147850593794,RandomForestRegressor
74,3,Palo_Alto,Ensemble,0.2,0.7930936073059359,63.214850179528,Sequential
75,3,Palo_Alto,Ensemble,0.2,0.808504566210046,106.30276500053499,RNN
76,3,Palo_Alto,Ensemble,0.25,0.713184931506849,70.2896384963429,RidgeCV
77,3,Palo_Alto,Ensemble,0.25,0.737585616438356,44.22721823770989,RandomForestRegressor
78,3,Palo_Alto,Ensemble,0.25,0.737442922374429,46.854284327766706,Sequential
79,3,Palo_Alto,Ensemble,0.25,0.772117579908676,95.97518561257971,RNN
80,4,Palo_Alto,Ensemble,0.05,0.948202054794521,192.27216319033198,RidgeCV
81,4,Palo_Alto,Ensemble,0.05,0.946489726027397,193.843812737731,RandomForestRegressor
82,4,Palo_Alto,Ensemble,0.05,0.941638127853881,177.06280483582802,Sequential
83,4,Palo_Alto,Ensemble,0.05,0.947631278538813,226.508287296193,RNN
84,4,Palo_Alto,Ensemble,0.1,0.897545662100457,136.16062005493902,RidgeCV
85,4,Palo_Alto,Ensemble,0.1,0.895690639269406,125.590165369165,RandomForestRegressor
86,4,Palo_Alto,Ensemble,0.1,0.885702054794521,123.809832537472,Sequential
87,4,Palo_Alto,Ensemble,0.1,0.897260273972603,160.426799322882,RNN
88,4,Palo_Alto,Ensemble,0.15,0.836329908675799,102.458571487178,RidgeCV
89,4,Palo_Alto,Ensemble,0.15,0.849600456621005,86.4512556809359,RandomForestRegressor
90,4,Palo_Alto,Ensemble,0.15,0.8463184931506851,86.57614981266559,Sequential
91,4,Palo_Alto,Ensemble,0.15,0.854880136986301,124.39350555575899,RNN
92,4,Palo_Alto,Ensemble,0.2,0.784674657534247,85.5172489192142,RidgeCV
93,4,Palo_Alto,Ensemble,0.2,0.793664383561644,62.7484366012319,RandomForestRegressor
94,4,Palo_Alto,Ensemble,0.2,0.792094748858447,62.6597182172211,Sequential
95,4,Palo_Alto,Ensemble,0.2,0.808361872146119,106.362713005982,RNN
96,4,Palo_Alto,Ensemble,0.25,0.713042237442922,70.5309307196853,RidgeCV
97,4,Palo_Alto,Ensemble,0.25,0.740582191780822,44.145097871268504,RandomForestRegressor
98,4,Palo_Alto,Ensemble,0.25,0.751141552511416,46.260687234164294,Sequential
99,4,Palo_Alto,Ensemble,0.25,0.770262557077626,95.6240988362673,RNN
100,5,Palo_Alto,Ensemble,0.05,0.948059360730594,192.386762997002,RidgeCV
101,5,Palo_Alto,Ensemble,0.05,0.946204337899543,194.472089434112,RandomForestRegressor
102,5,Palo_Alto,Ensemble,0.05,0.941352739726027,176.90733670266602,Sequential
103,5,Palo_Alto,Ensemble,0.05,0.9472031963470321,226.51097915540402,RNN
104,5,Palo_Alto,Ensemble,0.1,0.896689497716895,136.283149359481,RidgeCV
105,5,Palo_Alto,Ensemble,0.1,0.8964041095890408,125.68028828,RandomForestRegressor
106,5,Palo_Alto,Ensemble,0.1,0.889554794520548,121.08532376006,Sequential
107,5,Palo_Alto,Ensemble,0.1,0.897260273972603,160.380861866406,RNN
108,5,Palo_Alto,Ensemble,0.15,0.836329908675799,102.71530355967899,RidgeCV
109,5,Palo_Alto,Ensemble,0.15,0.850028538812785,85.9512464220172,RandomForestRegressor
110,5,Palo_Alto,Ensemble,0.15,0.842323059360731,85.6147005121733,Sequential
111,5,Palo_Alto,Ensemble,0.15,0.855165525114155,124.80649304286,RNN
112,5,Palo_Alto,Ensemble,0.2,0.784389269406393,85.6605403399298,RidgeCV
