index,itrial,dataname,method,alpha,coverage,width,muh_fun
0,0,Palo_Alto,ARIMA,0.05,0.9276541095890408,99.738154425516,
1,0,Palo_Alto,ExpSmoothing,0.05,0.9462043378995434,117.98942166973556,
2,0,Palo_Alto,DynamicFactor,0.05,0.9317922374429224,137.97705460715284,
3,0,Palo_Alto,ARIMA,0.1,0.9083904109589042,83.7028977809128,
4,0,Palo_Alto,ExpSmoothing,0.1,0.9296518264840182,99.01984409212277,
5,0,Palo_Alto,DynamicFactor,0.1,0.9102454337899544,115.79399442891051,
6,0,Palo_Alto,ARIMA,0.15000000000000002,0.8862728310502284,73.25451553260055,
7,0,Palo_Alto,ExpSmoothing,0.15000000000000002,0.9125285388127854,86.6594932718907,
8,0,Palo_Alto,DynamicFactor,0.15000000000000002,0.8932648401826484,101.33977661891228,
9,0,Palo_Alto,ARIMA,0.2,0.8670091324200914,65.21527382990854,
10,0,Palo_Alto,ExpSmoothing,0.2,0.8958333333333334,77.14913603069637,
11,0,Palo_Alto,DynamicFactor,0.2,0.8695776255707762,90.21834673279636,
12,0,Palo_Alto,ARIMA,0.25,0.8463184931506851,58.538690020955116,
13,0,Palo_Alto,ExpSmoothing,0.25,0.879851598173516,69.25079194275915,
14,0,Palo_Alto,DynamicFactor,0.25,0.8467465753424658,80.9820081008876,
0,0,Palo_Alto,Ensemble,0.05,0.9483447488584474,123.76452106154626,RidgeCV
1,0,Palo_Alto,Ensemble,0.05,0.9487728310502284,174.82097316334446,RandomForestRegressor
2,0,Palo_Alto,Ensemble,0.05,0.9477739726027398,131.22044273341282,Sequential
3,0,Palo_Alto,Ensemble,0.05,0.9466324200913242,222.6713516986851,RNN
4,0,Palo_Alto,Ensemble,0.1,0.898972602739726,80.7416485331995,RidgeCV
5,0,Palo_Alto,Ensemble,0.1,0.8996860730593608,119.94311448027024,RandomForestRegressor
6,0,Palo_Alto,Ensemble,0.1,0.8978310502283106,84.42100737527089,Sequential
7,0,Palo_Alto,Ensemble,0.1,0.8972602739726028,156.7581177771099,RNN
8,0,Palo_Alto,Ensemble,0.15000000000000002,0.8503139269406392,61.564434646968756,RidgeCV
9,0,Palo_Alto,Ensemble,0.15000000000000002,0.8534531963470321,87.9150604343252,RandomForestRegressor
10,0,Palo_Alto,Ensemble,0.15000000000000002,0.8423230593607306,66.11934086554156,Sequential
11,0,Palo_Alto,Ensemble,0.15000000000000002,0.8518835616438356,120.8944735271808,RNN
12,0,Palo_Alto,Ensemble,0.2,0.7998002283105022,49.44074700887281,RidgeCV
13,0,Palo_Alto,Ensemble,0.2,0.8189212328767124,71.6970315651071,RandomForestRegressor
14,0,Palo_Alto,Ensemble,0.2,0.7988013698630136,56.4917237291894,Sequential
15,0,Palo_Alto,Ensemble,0.2,0.8027968036529679,102.51465907654564,RNN
16,0,Palo_Alto,Ensemble,0.25,0.7471461187214612,40.24379328807869,RidgeCV
17,0,Palo_Alto,Ensemble,0.25,0.7659817351598174,57.47916622449571,RandomForestRegressor
18,0,Palo_Alto,Ensemble,0.25,0.7518550228310502,48.1148479694364,Sequential
19,0,Palo_Alto,Ensemble,0.25,0.7608447488584474,91.6746337410305,RNN
20,1,Palo_Alto,Ensemble,0.05,0.9497716894977168,123.82126173352957,RidgeCV
21,1,Palo_Alto,Ensemble,0.05,0.9489155251141552,173.48007084507424,RandomForestRegressor
22,1,Palo_Alto,Ensemble,0.05,0.9477739726027398,129.42571594644036,Sequential
23,1,Palo_Alto,Ensemble,0.05,0.9466324200913242,222.65308527428448,RNN
24,1,Palo_Alto,Ensemble,0.1,0.8999714611872146,80.43090739674605,RidgeCV
25,1,Palo_Alto,Ensemble,0.1,0.8994006849315068,119.50920673037848,RandomForestRegressor
26,1,Palo_Alto,Ensemble,0.1,0.8955479452054794,83.66907176672005,Sequential
27,1,Palo_Alto,Ensemble,0.1,0.8974029680365296,156.72317274043698,RNN
28,1,Palo_Alto,Ensemble,0.15000000000000002,0.8520262557077626,61.482387307476934,RidgeCV
29,1,Palo_Alto,Ensemble,0.15000000000000002,0.8547374429223744,87.9130957114662,RandomForestRegressor
30,1,Palo_Alto,Ensemble,0.15000000000000002,0.8494577625570776,70.82531142386536,Sequential
31,1,Palo_Alto,Ensemble,0.15000000000000002,0.8515981735159818,120.55955641641985,RNN
32,1,Palo_Alto,Ensemble,0.2,0.8009417808219178,49.29748088335498,RidgeCV
33,1,Palo_Alto,Ensemble,0.2,0.8187785388127854,71.17880727168495,RandomForestRegressor
34,1,Palo_Alto,Ensemble,0.2,0.7969463470319634,55.633084626986935,Sequential
35,1,Palo_Alto,Ensemble,0.2,0.8027968036529679,102.35444299470754,RNN
36,1,Palo_Alto,Ensemble,0.25,0.745148401826484,39.93270100771865,RidgeCV
37,1,Palo_Alto,Ensemble,0.25,0.7652682648401826,56.44448194730093,RandomForestRegressor
38,1,Palo_Alto,Ensemble,0.25,0.7509988584474886,47.09281808252225,Sequential
39,1,Palo_Alto,Ensemble,0.25,0.7605593607305936,91.38443609077093,RNN
40,2,Palo_Alto,Ensemble,0.05,0.9486301369863014,123.635908497688,RidgeCV
41,2,Palo_Alto,Ensemble,0.05,0.9486301369863014,173.21406014306353,RandomForestRegressor
42,2,Palo_Alto,Ensemble,0.05,0.9482020547945206,129.22346934162934,Sequential
43,2,Palo_Alto,Ensemble,0.05,0.9467751141552512,222.63482264593952,RNN
44,2,Palo_Alto,Ensemble,0.1,0.9001141552511416,80.29972591641786,RidgeCV
45,2,Palo_Alto,Ensemble,0.1,0.8985445205479452,119.23403736153679,RandomForestRegressor
46,2,Palo_Alto,Ensemble,0.1,0.8982591324200914,83.70490289244826,Sequential
47,2,Palo_Alto,Ensemble,0.1,0.8971175799086758,156.7012369622623,RNN
48,2,Palo_Alto,Ensemble,0.15000000000000002,0.851027397260274,61.4307817930405,RidgeCV
49,2,Palo_Alto,Ensemble,0.15000000000000002,0.8547374429223744,87.58539587548113,RandomForestRegressor
50,2,Palo_Alto,Ensemble,0.15000000000000002,0.8471746575342466,69.97203592811383,Sequential
51,2,Palo_Alto,Ensemble,0.15000000000000002,0.8521689497716894,120.93252234207091,RNN
52,2,Palo_Alto,Ensemble,0.2,0.8007990867579908,49.34404428986763,RidgeCV
53,2,Palo_Alto,Ensemble,0.2,0.8200627853881278,71.86825779661683,RandomForestRegressor
54,2,Palo_Alto,Ensemble,0.2,0.7955194063926941,55.354192919942705,Sequential
55,2,Palo_Alto,Ensemble,0.2,0.8022260273972602,102.5321299072754,RNN
56,2,Palo_Alto,Ensemble,0.25,0.7458618721461188,40.031076255268545,RidgeCV
57,2,Palo_Alto,Ensemble,0.25,0.7664098173515982,58.0989653421716,RandomForestRegressor
58,2,Palo_Alto,Ensemble,0.25,0.7509988584474886,47.26578959912217,Sequential
59,2,Palo_Alto,Ensemble,0.25,0.7609874429223744,91.66812823581364,RNN
60,3,Palo_Alto,Ensemble,0.05,0.9484874429223744,123.84734287134701,RidgeCV
61,3,Palo_Alto,Ensemble,0.05,0.9480593607305936,172.99683694455413,RandomForestRegressor
62,3,Palo_Alto,Ensemble,0.05,0.9476312785388128,130.99759406899662,Sequential
63,3,Palo_Alto,Ensemble,0.05,0.9467751141552512,222.60549492286643,RNN
64,3,Palo_Alto,Ensemble,0.1,0.9019691780821918,80.59337989763405,RidgeCV
65,3,Palo_Alto,Ensemble,0.1,0.8986872146118722,119.05117141451998,RandomForestRegressor
66,3,Palo_Alto,Ensemble,0.1,0.8986872146118722,84.74907378057695,Sequential
67,3,Palo_Alto,Ensemble,0.1,0.8972602739726028,156.8178111975981,RNN
68,3,Palo_Alto,Ensemble,0.15000000000000002,0.8514554794520548,61.65899249527176,RidgeCV
69,3,Palo_Alto,Ensemble,0.15000000000000002,0.8547374429223744,87.36274886030348,RandomForestRegressor
70,3,Palo_Alto,Ensemble,0.15000000000000002,0.8497431506849316,71.61897188970137,Sequential
71,3,Palo_Alto,Ensemble,0.15000000000000002,0.8518835616438356,120.71821179855257,RNN
72,3,Palo_Alto,Ensemble,0.2,0.7995148401826484,49.94122520556427,RidgeCV
73,3,Palo_Alto,Ensemble,0.2,0.8209189497716894,71.9490818249642,RandomForestRegressor
74,3,Palo_Alto,Ensemble,0.2,0.7975171232876712,56.32503951909996,Sequential
75,3,Palo_Alto,Ensemble,0.2,0.8027968036529679,102.48142118785508,RNN
76,3,Palo_Alto,Ensemble,0.25,0.7411529680365296,40.66077088094975,RidgeCV
77,3,Palo_Alto,Ensemble,0.25,0.7664098173515982,58.314577182870465,RandomForestRegressor
78,3,Palo_Alto,Ensemble,0.25,0.7561358447488584,46.69692780155074,Sequential
79,3,Palo_Alto,Ensemble,0.25,0.7611301369863014,91.7571128234985,RNN
80,4,Palo_Alto,Ensemble,0.05,0.9497716894977168,123.90611031640968,RidgeCV
81,4,Palo_Alto,Ensemble,0.05,0.9489155251141552,172.32940110394668,RandomForestRegressor
82,4,Palo_Alto,Ensemble,0.05,0.947060502283105,131.04813961807446,Sequential
83,4,Palo_Alto,Ensemble,0.05,0.946917808219178,222.63444915653548,RNN
84,4,Palo_Alto,Ensemble,0.1,0.9011130136986302,80.73066257709597,RidgeCV
85,4,Palo_Alto,Ensemble,0.1,0.898972602739726,118.62339852009012,RandomForestRegressor
86,4,Palo_Alto,Ensemble,0.1,0.8994006849315068,86.74836186154279,Sequential
87,4,Palo_Alto,Ensemble,0.1,0.8971175799086758,156.61345756786966,RNN
88,4,Palo_Alto,Ensemble,0.15000000000000002,0.850884703196347,61.600119279045465,RidgeCV
89,4,Palo_Alto,Ensemble,0.15000000000000002,0.8537385844748858,86.97712483158547,RandomForestRegressor
90,4,Palo_Alto,Ensemble,0.15000000000000002,0.850884703196347,71.09410692123387,Sequential
91,4,Palo_Alto,Ensemble,0.15000000000000002,0.8518835616438356,120.77679338563284,RNN
92,4,Palo_Alto,Ensemble,0.2,0.8015125570776256,49.54111484681695,RidgeCV
93,4,Palo_Alto,Ensemble,0.2,0.8206335616438356,71.65782511608111,RandomForestRegressor
94,4,Palo_Alto,Ensemble,0.2,0.8005136986301371,58.861882227284,Sequential
95,4,Palo_Alto,Ensemble,0.2,0.8020833333333334,102.20490589708372,RNN
96,4,Palo_Alto,Ensemble,0.25,0.7441495433789954,40.167271008666894,RidgeCV
97,4,Palo_Alto,Ensemble,0.25,0.7624143835616438,57.952434123871406,RandomForestRegressor
98,4,Palo_Alto,Ensemble,0.25,0.7528538812785388,47.11252919390312,Sequential
99,4,Palo_Alto,Ensemble,0.25,0.7605593607305936,91.55104038986656,RNN
100,5,Palo_Alto,Ensemble,0.05,0.9489155251141552,123.89265870244137,RidgeCV
101,5,Palo_Alto,Ensemble,0.05,0.9480593607305936,173.21182031854744,RandomForestRegressor
102,5,Palo_Alto,Ensemble,0.05,0.9474885844748858,129.47688821397315,Sequential
103,5,Palo_Alto,Ensemble,0.05,0.9466324200913242,222.33722800434575,RNN
104,5,Palo_Alto,Ensemble,0.1,0.8995433789954338,80.93149819330993,RidgeCV
105,5,Palo_Alto,Ensemble,0.1,0.8978310502283106,119.41218011908954,RandomForestRegressor
106,5,Palo_Alto,Ensemble,0.1,0.8996860730593608,88.16074589851436,Sequential
107,5,Palo_Alto,Ensemble,0.1,0.8975456621004566,156.50765820795343,RNN
