itrial,dataname,method,alpha,coverage,width
0,Palo_Alto,ARIMA,0.05,0.927654109589041,99.738154425516
0,Palo_Alto,ExpSmoothing,0.05,0.9462043378995434,117.98942166973556
0,Palo_Alto,DynamicFactor,0.05,0.9317922374429224,137.97705460715284
0,Palo_Alto,ARIMA,0.1,0.9083904109589042,83.70289778091279
0,Palo_Alto,ExpSmoothing,0.1,0.9296518264840182,99.01984409212277
0,Palo_Alto,DynamicFactor,0.1,0.9102454337899544,115.7939944289105
0,Palo_Alto,ARIMA,0.15000000000000002,0.8862728310502284,73.25451553260055
0,Palo_Alto,ExpSmoothing,0.15000000000000002,0.9125285388127854,86.6594932718907
0,Palo_Alto,DynamicFactor,0.15000000000000002,0.8932648401826484,101.33977661891228
0,Palo_Alto,ARIMA,0.2,0.8670091324200914,65.21527382990854
0,Palo_Alto,ExpSmoothing,0.2,0.8958333333333334,77.14913603069638
0,Palo_Alto,DynamicFactor,0.2,0.8695776255707762,90.21834673279636
0,Palo_Alto,ARIMA,0.25,0.846318493150685,58.538690020955116
0,Palo_Alto,ExpSmoothing,0.25,0.879851598173516,69.25079194275915
0,Palo_Alto,DynamicFactor,0.25,0.8467465753424658,80.9820081008876
