index,itrial,dataname,muh_fun,method,alpha,coverage,width,train_size
0,0,Palo_Alto,RidgeCV,Ensemble,,0.8937087772704211,76.79939873823605,856
1,0,Palo_Alto,RandomForestRegressor,Ensemble,,0.8949771689497716,115.44740359061208,856
2,0,Palo_Alto,NeuralNet,Ensemble,,0.8952308472856418,96.387613635508,856
3,0,Palo_Alto,RNN,Ensemble,,0.8938356164383562,146.6315187658602,856
4,0,Palo_Alto,RidgeCV,Ensemble,,0.8941739375175908,78.2607127406796,1634
5,0,Palo_Alto,RandomForestRegressor,Ensemble,,0.8978328173374613,118.9992251719194,1634
6,0,Palo_Alto,NeuralNet,Ensemble,,0.8948775682521812,80.83332168922556,1634
7,0,Palo_Alto,RNN,Ensemble,,0.8945961159583451,155.61677183314941,1634
8,0,Palo_Alto,RidgeCV,Ensemble,,0.9105421210684368,82.19518689925654,2413
9,0,Palo_Alto,RandomForestRegressor,Ensemble,,0.9119645961751224,118.25420377009779,2413
10,0,Palo_Alto,NeuralNet,Ensemble,,0.9069069069069068,84.9768950313507,2413
11,0,Palo_Alto,RNN,Ensemble,,0.9154417575470208,162.94441106604637,2413
12,1,Palo_Alto,RidgeCV,Ensemble,,0.8942161339421614,77.19267092714136,856
13,1,Palo_Alto,RandomForestRegressor,Ensemble,,0.8942161339421614,114.31964522678342,856
14,1,Palo_Alto,NeuralNet,Ensemble,,0.8945966514459666,94.06669810742329,856
15,1,Palo_Alto,RNN,Ensemble,,0.8937087772704211,146.6881052636987,856
16,1,Palo_Alto,RidgeCV,Ensemble,,0.8957219251336899,78.35313855643778,1634
17,1,Palo_Alto,RandomForestRegressor,Ensemble,,0.8968477343090346,118.87515007797728,1634
18,1,Palo_Alto,NeuralNet,Ensemble,,0.8979735434843794,82.39184067401555,1634
19,1,Palo_Alto,RNN,Ensemble,,0.8947368421052632,155.58763970702762,1634
20,1,Palo_Alto,RidgeCV,Ensemble,,0.9094357515410147,82.6689816370102,2413
21,1,Palo_Alto,RandomForestRegressor,Ensemble,,0.9107001738580686,116.24484871631284,2413
22,1,Palo_Alto,NeuralNet,Ensemble,,0.905642484589853,83.99934139324566,2413
23,1,Palo_Alto,RNN,Ensemble,,0.9154417575470208,162.8038628967094,2413
24,2,Palo_Alto,RidgeCV,Ensemble,,0.8945966514459666,76.7415167872952,856
25,2,Palo_Alto,RandomForestRegressor,Ensemble,,0.8935819381024861,115.60455344374235,856
26,2,Palo_Alto,NeuralNet,Ensemble,,0.8949771689497716,94.40574257379039,856
27,2,Palo_Alto,RNN,Ensemble,,0.8937087772704211,146.74669190745334,856
28,2,Palo_Alto,RidgeCV,Ensemble,,0.8958626512806079,78.40270890390045,1634
29,2,Palo_Alto,RandomForestRegressor,Ensemble,,0.8989586265128061,118.83116424329106,1634
30,2,Palo_Alto,NeuralNet,Ensemble,,0.8958626512806079,81.29419332538784,1634
31,2,Palo_Alto,RNN,Ensemble,,0.8948775682521812,155.71938915096172,1634
