index,itrial,dataname,muh_fun,method,alpha,coverage,width
0,0,Santa_Clara,RidgeCV,Ensemble,0.05,0.9440639269406392,307.6551196107505
1,0,Santa_Clara,RidgeCV,ICP,0.05,0.7133276255707762,136.48943709536124
2,0,Santa_Clara,RidgeCV,Weighted_ICP,0.05,0.7337328767123288,152.14476667007298
3,0,Santa_Clara,RandomForestRegressor,Ensemble,0.05,0.952054794520548,214.0415130004391
4,0,Santa_Clara,RandomForestRegressor,ICP,0.05,0.9103881278538812,146.38275862066817
5,0,Santa_Clara,RandomForestRegressor,Weighted_ICP,0.05,0.9235159817351598,152.06293742018738
6,0,Santa_Clara,Sequential,Ensemble,0.05,0.9390696347031964,164.83084188946103
7,0,Santa_Clara,Sequential,ICP,0.05,0.7988013698630136,63.384178161621094
8,0,Santa_Clara,Sequential,Weighted_ICP,0.05,0.7868150684931506,58.9710807800293
9,0,Santa_Clara,RNN,Ensemble,0.05,0.9336472602739726,185.02270950102852
10,0,Santa_Clara,RNN,ICP,0.05,0.6271404109589042,29.08880424499512
11,0,Santa_Clara,RNN,Weighted_ICP,0.05,0.6230022831050228,32.96790313720703
12,0,Santa_Clara,RidgeCV,Ensemble,0.1,0.8882705479452054,248.1448850224611
13,0,Santa_Clara,RidgeCV,ICP,0.1,0.5996004566210046,107.76535853860209
14,0,Santa_Clara,RidgeCV,Weighted_ICP,0.1,0.5874714611872146,108.37900073687621
15,0,Santa_Clara,RandomForestRegressor,Ensemble,0.1,0.9012557077625568,132.3668212885885
16,0,Santa_Clara,RandomForestRegressor,ICP,0.1,0.8304794520547946,85.0
17,0,Santa_Clara,RandomForestRegressor,Weighted_ICP,0.1,0.8361872146118722,82.83448275861501
18,0,Santa_Clara,Sequential,Ensemble,0.1,0.8896974885844748,120.81915857871178
19,0,Santa_Clara,Sequential,ICP,0.1,0.6943493150684932,34.62078094482422
20,0,Santa_Clara,Sequential,Weighted_ICP,0.1,0.7955194063926941,53.28331756591797
21,0,Santa_Clara,RNN,Ensemble,0.1,0.8841324200913242,142.63005299578188
22,0,Santa_Clara,RNN,ICP,0.1,0.5928938356164384,20.35219955444336
23,0,Santa_Clara,RNN,Weighted_ICP,0.1,0.5933219178082192,22.75922966003418
24,0,Santa_Clara,RidgeCV,Ensemble,0.15000000000000002,0.8300513698630136,211.5039439954856
25,0,Santa_Clara,RidgeCV,ICP,0.15000000000000002,0.5088470319634704,87.29100132830696
26,0,Santa_Clara,RidgeCV,Weighted_ICP,0.15000000000000002,0.5097031963470321,89.79351664170628
27,0,Santa_Clara,RandomForestRegressor,Ensemble,0.15000000000000002,0.8457477168949772,93.13813519258213
28,0,Santa_Clara,RandomForestRegressor,ICP,0.15000000000000002,0.7509988584474886,52.315789473688966
29,0,Santa_Clara,RandomForestRegressor,Weighted_ICP,0.15000000000000002,0.7375856164383562,46.60296296296868
30,0,Santa_Clara,Sequential,Ensemble,0.15000000000000002,0.8383276255707762,108.64542222003338
31,0,Santa_Clara,Sequential,ICP,0.15000000000000002,0.7211757990867579,36.05011749267578
32,0,Santa_Clara,Sequential,Weighted_ICP,0.15000000000000002,0.7214611872146118,36.34474563598633
33,0,Santa_Clara,RNN,Ensemble,0.15000000000000002,0.8361872146118722,112.91544730476784
34,0,Santa_Clara,RNN,ICP,0.15000000000000002,0.5836187214611872,17.204824447631836
35,0,Santa_Clara,RNN,Weighted_ICP,0.15000000000000002,0.5686358447488584,17.226985931396484
36,0,Santa_Clara,RidgeCV,Ensemble,0.2,0.7836757990867579,184.9519311188197
37,0,Santa_Clara,RidgeCV,ICP,0.2,0.4589041095890411,75.95993682935641
38,0,Santa_Clara,RidgeCV,Weighted_ICP,0.2,0.4516267123287671,76.80172920406991
39,0,Santa_Clara,RandomForestRegressor,Ensemble,0.2,0.7985159817351598,68.39127015149523
40,0,Santa_Clara,RandomForestRegressor,ICP,0.2,0.7000570776255708,38.33333333333665
41,0,Santa_Clara,RandomForestRegressor,Weighted_ICP,0.2,0.6766552511415526,33.45679012345512
42,0,Santa_Clara,Sequential,Ensemble,0.2,0.7959474885844748,71.95822047898186
43,0,Santa_Clara,Sequential,ICP,0.2,0.7157534246575342,34.559276580810554
44,0,Santa_Clara,Sequential,Weighted_ICP,0.2,0.7040525114155252,32.129493713378906
45,0,Santa_Clara,RNN,Ensemble,0.2,0.7913812785388128,85.39761710740825
46,0,Santa_Clara,RNN,ICP,0.2,0.5761986301369864,14.41454029083252
47,0,Santa_Clara,RNN,Weighted_ICP,0.2,0.5933219178082192,18.30281639099121
48,0,Santa_Clara,RidgeCV,Ensemble,0.25,0.7310216894977168,162.9387726568308
49,0,Santa_Clara,RidgeCV,ICP,0.25,0.4138127853881279,67.50455612614796
50,0,Santa_Clara,RidgeCV,Weighted_ICP,0.25,0.4059646118721461,66.23261119250989
51,0,Santa_Clara,RandomForestRegressor,Ensemble,0.25,0.7535673515981736,51.44573054798389
52,0,Santa_Clara,RandomForestRegressor,ICP,0.25,0.6329908675799086,25.736842105261026
