index,itrial,dataname,muh_fun,method,alpha,coverage,width
0,0,Santa_Clara,RidgeCV,Ensemble,0.05,0.9550513698630136,133.89123050205095
1,0,Santa_Clara,RidgeCV,ICP,0.05,0.9189497716894978,111.12067820528337
2,0,Santa_Clara,RidgeCV,Weighted_ICP,0.05,0.9092465753424658,99.95488566859768
3,0,Santa_Clara,RandomForestRegressor,Ensemble,0.05,0.9486301369863014,175.16356743381698
4,0,Santa_Clara,RandomForestRegressor,ICP,0.05,0.9193778538812786,143.47552954833392
5,0,Santa_Clara,RandomForestRegressor,Weighted_ICP,0.05,0.9287956621004566,149.9849999999881
6,0,Santa_Clara,Sequential,Ensemble,0.05,0.9407819634703196,179.03951373408242
7,0,Santa_Clara,Sequential,ICP,0.05,0.7166095890410958,71.82062530517578
8,0,Santa_Clara,Sequential,Weighted_ICP,0.05,0.7200342465753424,73.2560806274414
9,0,Santa_Clara,RNN,Ensemble,0.05,0.9432077625570776,222.77963598684883
10,0,Santa_Clara,RNN,ICP,0.05,0.7331621004566209,81.58402252197266
11,0,Santa_Clara,RNN,Weighted_ICP,0.05,0.711472602739726,74.77538299560547
12,0,Santa_Clara,RidgeCV,Ensemble,0.1,0.9029680365296804,87.75023930590515
13,0,Santa_Clara,RidgeCV,ICP,0.1,0.8461757990867579,74.54117175679124
14,0,Santa_Clara,RidgeCV,Weighted_ICP,0.1,0.8500285388127854,71.06298568751299
15,0,Santa_Clara,RandomForestRegressor,Ensemble,0.1,0.8986872146118722,115.97072244502615
16,0,Santa_Clara,RandomForestRegressor,ICP,0.1,0.8461757990867579,93.58767772512438
17,0,Santa_Clara,RandomForestRegressor,Weighted_ICP,0.1,0.8738584474885844,102.59297352841942
18,0,Santa_Clara,Sequential,Ensemble,0.1,0.8876997716894978,132.27618613637551
19,0,Santa_Clara,Sequential,ICP,0.1,0.6559646118721462,54.47944259643555
20,0,Santa_Clara,Sequential,Weighted_ICP,0.1,0.6244292237442922,47.14447402954102
21,0,Santa_Clara,RNN,Ensemble,0.1,0.8875570776255708,160.65269047815366
22,0,Santa_Clara,RNN,ICP,0.1,0.6018835616438356,45.59395217895508
23,0,Santa_Clara,RNN,Weighted_ICP,0.1,0.5849029680365296,41.77775573730469
24,0,Santa_Clara,RidgeCV,Ensemble,0.15000000000000002,0.8550228310502284,65.40909796861925
25,0,Santa_Clara,RidgeCV,ICP,0.15000000000000002,0.7843892694063926,56.990788599843384
26,0,Santa_Clara,RidgeCV,Weighted_ICP,0.15000000000000002,0.7918093607305936,57.45632849098065
27,0,Santa_Clara,RandomForestRegressor,Ensemble,0.15000000000000002,0.8574486301369864,86.87376552308929
28,0,Santa_Clara,RandomForestRegressor,ICP,0.15000000000000002,0.803082191780822,73.61016949151255
29,0,Santa_Clara,RandomForestRegressor,Weighted_ICP,0.15000000000000002,0.8139269406392694,77.99824607330237
30,0,Santa_Clara,Sequential,Ensemble,0.15000000000000002,0.8414668949771691,99.39304237776716
31,0,Santa_Clara,Sequential,ICP,0.15000000000000002,0.6230022831050228,41.75278854370117
32,0,Santa_Clara,Sequential,Weighted_ICP,0.15000000000000002,0.6187214611872146,37.92094039916992
33,0,Santa_Clara,RNN,Ensemble,0.15000000000000002,0.836472602739726,113.40031636191247
34,0,Santa_Clara,RNN,ICP,0.15000000000000002,0.5906107305936074,38.093563079833984
35,0,Santa_Clara,RNN,Weighted_ICP,0.15000000000000002,0.603453196347032,40.5007209777832
36,0,Santa_Clara,RidgeCV,Ensemble,0.2,0.805079908675799,52.89648780002498
37,0,Santa_Clara,RidgeCV,ICP,0.2,0.7196061643835616,46.23180135823184
38,0,Santa_Clara,RidgeCV,Weighted_ICP,0.2,0.7491438356164384,49.342557088978154
39,0,Santa_Clara,RandomForestRegressor,Ensemble,0.2,0.812642694063927,71.72729543953531
40,0,Santa_Clara,RandomForestRegressor,ICP,0.2,0.7434360730593608,66.38983050848586
41,0,Santa_Clara,RandomForestRegressor,Weighted_ICP,0.2,0.7561358447488584,60.025000000006216
42,0,Santa_Clara,Sequential,Ensemble,0.2,0.7939497716894978,90.41959199987656
43,0,Santa_Clara,Sequential,ICP,0.2,0.5736301369863014,29.52654838562012
44,0,Santa_Clara,Sequential,Weighted_ICP,0.2,0.5515125570776256,20.342395782470703
45,0,Santa_Clara,RNN,Ensemble,0.2,0.7832477168949772,100.61636852351404
46,0,Santa_Clara,RNN,ICP,0.2,0.540810502283105,24.31820297241211
47,0,Santa_Clara,RNN,Weighted_ICP,0.2,0.535958904109589,23.70466613769531
48,0,Santa_Clara,RidgeCV,Ensemble,0.25,0.7565639269406392,44.664876830884936
49,0,Santa_Clara,RidgeCV,ICP,0.25,0.6519691780821918,37.106081449136134
50,0,Santa_Clara,RidgeCV,Weighted_ICP,0.25,0.6815068493150684,39.10945002091637
51,0,Santa_Clara,RandomForestRegressor,Ensemble,0.25,0.7597031963470321,60.35160260010273
52,0,Santa_Clara,RandomForestRegressor,ICP,0.25,0.6817922374429224,51.41232227487621
53,0,Santa_Clara,RandomForestRegressor,Weighted_ICP,0.25,0.6942066210045662,54.654205607481934
54,0,Santa_Clara,Sequential,Ensemble,0.25,0.7587043378995434,79.50025235928302
55,0,Santa_Clara,Sequential,ICP,0.25,0.5567922374429224,24.442352294921875
56,0,Santa_Clara,Sequential,Weighted_ICP,0.25,0.5468036529680366,22.225322723388672
57,0,Santa_Clara,RNN,Ensemble,0.25,0.7470034246575342,85.03456133745617
58,0,Santa_Clara,RNN,ICP,0.25,0.5218321917808221,19.03892517089844
59,0,Santa_Clara,RNN,Weighted_ICP,0.25,0.531107305936073,22.15003967285156
60,1,Santa_Clara,RidgeCV,Ensemble,0.05,0.9540525114155252,134.84178023436985
61,1,Santa_Clara,RidgeCV,ICP,0.05,0.9166666666666666,113.58558341619222
62,1,Santa_Clara,RidgeCV,Weighted_ICP,0.05,0.9220890410958904,111.80853721724527
63,1,Santa_Clara,RandomForestRegressor,Ensemble,0.05,0.9500570776255708,173.51545006777832
64,1,Santa_Clara,RandomForestRegressor,ICP,0.05,0.9355022831050228,164.61880341880757
65,1,Santa_Clara,RandomForestRegressor,Weighted_ICP,0.05,0.9276541095890408,147.74166412677215
66,1,Santa_Clara,Sequential,Ensemble,0.05,0.9424942922374431,179.1650100185484
67,1,Santa_Clara,Sequential,ICP,0.05,0.6910673515981736,67.0855712890625
68,1,Santa_Clara,Sequential,Weighted_ICP,0.05,0.7016267123287672,69.44549560546875
69,1,Santa_Clara,RNN,Ensemble,0.05,0.9454908675799086,219.36428067480182
70,1,Santa_Clara,RNN,ICP,0.05,0.7066210045662099,80.14732360839844
71,1,Santa_Clara,RNN,Weighted_ICP,0.05,0.6789383561643836,72.14826965332031
72,1,Santa_Clara,RidgeCV,Ensemble,0.1,0.9015410958904109,87.45318233375149
73,1,Santa_Clara,RidgeCV,ICP,0.1,0.8478881278538812,77.08963273139318
74,1,Santa_Clara,RidgeCV,Weighted_ICP,0.1,0.8650114155251142,78.80564270889211
75,1,Santa_Clara,RandomForestRegressor,Ensemble,0.1,0.8992579908675801,114.732950962025
76,1,Santa_Clara,RandomForestRegressor,ICP,0.1,0.8725742009132421,107.60762899651483
77,1,Santa_Clara,RandomForestRegressor,Weighted_ICP,0.1,0.8660102739726028,99.9933823529455
78,1,Santa_Clara,Sequential,Ensemble,0.1,0.8894121004566209,125.74950002361584
79,1,Santa_Clara,Sequential,ICP,0.1,0.6541095890410958,49.69030380249024
80,1,Santa_Clara,Sequential,Weighted_ICP,0.1,0.6475456621004566,47.63725662231445
81,1,Santa_Clara,RNN,Ensemble,0.1,0.8911244292237442,149.4689534010635
82,1,Santa_Clara,RNN,ICP,0.1,0.6130136986301371,46.981178283691406
83,1,Santa_Clara,RNN,Weighted_ICP,0.1,0.6084474885844748,46.19749450683594
84,1,Santa_Clara,RidgeCV,Ensemble,0.15000000000000002,0.8541666666666666,65.34312125113017
85,1,Santa_Clara,RidgeCV,ICP,0.15000000000000002,0.7859589041095891,60.58874347652847
86,1,Santa_Clara,RidgeCV,Weighted_ICP,0.15000000000000002,0.7926655251141552,56.993107853846595
87,1,Santa_Clara,RandomForestRegressor,Ensemble,0.15000000000000002,0.8600171232876712,87.44046228788088
88,1,Santa_Clara,RandomForestRegressor,ICP,0.15000000000000002,0.8079337899543378,80.25725579379474
89,1,Santa_Clara,RandomForestRegressor,Weighted_ICP,0.15000000000000002,0.7863869863013698,70.93739495798854
90,1,Santa_Clara,Sequential,Ensemble,0.15000000000000002,0.8376141552511416,102.55534081852319
91,1,Santa_Clara,Sequential,ICP,0.15000000000000002,0.6003139269406392,39.40713119506836
92,1,Santa_Clara,Sequential,Weighted_ICP,0.15000000000000002,0.6090182648401826,42.6241455078125
93,1,Santa_Clara,RNN,Ensemble,0.15000000000000002,0.8351883561643836,114.80544708636299
94,1,Santa_Clara,RNN,ICP,0.15000000000000002,0.5734874429223744,33.985435485839844
95,1,Santa_Clara,RNN,Weighted_ICP,0.15000000000000002,0.584046803652968,35.512474060058594
96,1,Santa_Clara,RidgeCV,Ensemble,0.2,0.8063641552511416,52.70473664388229
97,1,Santa_Clara,RidgeCV,ICP,0.2,0.7343036529680366,50.902612780084276
