itrial,dataname,muh_fun,method,train_size,coverage,width
0,Santa_Clara,RidgeCV,Ensemble,856,0.8972602739726028,96.44465376251858
0,Santa_Clara,RidgeCV,ICP,856,0.808726534753932,82.42778514438493
0,Santa_Clara,RidgeCV,Weighted_ICP,856,0.8305428716387621,90.48845011534787
0,Santa_Clara,RandomForestRegressor,Ensemble,856,0.8945966514459666,115.67601480271183
0,Santa_Clara,RandomForestRegressor,ICP,856,0.8713850837138508,98.0
0,Santa_Clara,RandomForestRegressor,Weighted_ICP,856,0.8710045662100456,98.40864864864854
0,Santa_Clara,NeuralNet,Ensemble,856,0.8948503297818367,138.61871246800254
0,Santa_Clara,NeuralNet,ICP,856,0.6867072552004059,61.751708984375
0,Santa_Clara,NeuralNet,Weighted_ICP,856,0.6683155758498224,51.3669319152832
0,Santa_Clara,RNN,Ensemble,856,0.8895230847285642,169.66796791928505
0,Santa_Clara,RNN,ICP,856,0.5942415017757483,39.83090591430664
0,Santa_Clara,RNN,Weighted_ICP,856,0.5875190258751902,37.42428207397461
0,Santa_Clara,RidgeCV,Ensemble,1634,0.8998029833943146,89.37799651698262
0,Santa_Clara,RidgeCV,ICP,1634,0.8446383338024205,75.83737621850781
0,Santa_Clara,RidgeCV,Weighted_ICP,1634,0.8432310723332395,78.84325036057191
0,Santa_Clara,RandomForestRegressor,Ensemble,1634,0.8986771742189699,115.54066844115316
0,Santa_Clara,RandomForestRegressor,ICP,1634,0.8657472558401351,98.47069597069638
0,Santa_Clara,RandomForestRegressor,Weighted_ICP,1634,0.8754573599774839,103.64871606750671
0,Santa_Clara,NeuralNet,Ensemble,1634,0.8850267379679144,129.8704286467993
0,Santa_Clara,NeuralNet,ICP,1634,0.6411483253588517,50.218570709228516
0,Santa_Clara,NeuralNet,Weighted_ICP,1634,0.6301716858992401,45.76243209838867
0,Santa_Clara,RNN,Ensemble,1634,0.8875598086124402,160.89001316144228
0,Santa_Clara,RNN,ICP,1634,0.6222910216718266,54.124488830566406
0,Santa_Clara,RNN,Weighted_ICP,1634,0.6075147762454264,47.125179290771484
0,Santa_Clara,RidgeCV,Ensemble,2413,0.908013276434329,84.00603010555207
0,Santa_Clara,RidgeCV,ICP,2413,0.8873083609925715,82.81386534503035
0,Santa_Clara,RidgeCV,Weighted_ICP,2413,0.883989252410305,79.76224295020447
0,Santa_Clara,RandomForestRegressor,Ensemble,2413,0.9111743322269638,116.21082708275216
0,Santa_Clara,RandomForestRegressor,ICP,2413,0.8920499446815237,118.02287643011029
0,Santa_Clara,RandomForestRegressor,Weighted_ICP,2413,0.914019282440335,132.35792363618515
0,Santa_Clara,NeuralNet,Ensemble,2413,0.8969495811601075,112.44187438536459
0,Santa_Clara,NeuralNet,ICP,2413,0.7621305516042358,63.05467224121094
0,Santa_Clara,NeuralNet,Weighted_ICP,2413,0.7520151730678046,57.957584381103516
0,Santa_Clara,RNN,Ensemble,2413,0.8911016279437332,137.58427895381902
0,Santa_Clara,RNN,ICP,2413,0.772245930140667,86.6489028930664
0,Santa_Clara,RNN,Weighted_ICP,2413,0.7698751382961909,88.8516845703125
1,Santa_Clara,RidgeCV,Ensemble,856,0.897640791476408,96.10468745193057
1,Santa_Clara,RidgeCV,ICP,856,0.8179857940131913,91.17115665377668
1,Santa_Clara,RidgeCV,Weighted_ICP,856,0.7995941146626078,79.63522307706526
1,Santa_Clara,RandomForestRegressor,Ensemble,856,0.8954845256215119,112.14515268501019
1,Santa_Clara,RandomForestRegressor,ICP,856,0.8767123287671232,101.90243902440645
1,Santa_Clara,RandomForestRegressor,Weighted_ICP,856,0.8680872653475393,97.1111111111216
1,Santa_Clara,NeuralNet,Ensemble,856,0.8947234906139016,149.11961882358463
1,Santa_Clara,NeuralNet,ICP,856,0.6659056316590564,51.7575569152832
1,Santa_Clara,NeuralNet,Weighted_ICP,856,0.6835362760020294,54.94636917114258
1,Santa_Clara,RNN,Ensemble,856,0.8883815322171487,175.95449933920588
1,Santa_Clara,RNN,ICP,856,0.5625317097919837,27.35464096069336
1,Santa_Clara,RNN,Weighted_ICP,856,0.5561897513952309,25.378917694091797
1,Santa_Clara,RidgeCV,Ensemble,1634,0.8985364480720518,88.89195254536747
1,Santa_Clara,RidgeCV,ICP,1634,0.8442161553616662,75.80375850259924
1,Santa_Clara,RidgeCV,Weighted_ICP,1634,0.8528004503236701,71.64398377679755
1,Santa_Clara,RandomForestRegressor,Ensemble,1634,0.8988179003658879,114.26308884201158
1,Santa_Clara,RandomForestRegressor,ICP,1634,0.8699690402476781,103.8164251207757
1,Santa_Clara,RandomForestRegressor,Weighted_ICP,1634,0.8490008443568815,96.1602450646566
1,Santa_Clara,NeuralNet,Ensemble,1634,0.8891077962285393,132.84053271812442
1,Santa_Clara,NeuralNet,ICP,1634,0.6266535322262876,51.4374885559082
1,Santa_Clara,NeuralNet,Weighted_ICP,1634,0.6047002533070645,39.3923225402832
1,Santa_Clara,RNN,Ensemble,1634,0.8893892485223754,152.87783592350462
1,Santa_Clara,RNN,ICP,1634,0.637207993245145,55.936981201171875
1,Santa_Clara,RNN,Weighted_ICP,1634,0.6131438221221504,48.39714050292969
1,Santa_Clara,RidgeCV,Ensemble,2413,0.9103840682788051,86.01465726850266
1,Santa_Clara,RidgeCV,ICP,2413,0.8967915283704757,83.18087259766166
1,Santa_Clara,RidgeCV,Weighted_ICP,2413,0.9027975343764817,85.70025298902935
1,Santa_Clara,RandomForestRegressor,Ensemble,2413,0.9127548601232812,114.90660589170867
1,Santa_Clara,RandomForestRegressor,ICP,2413,0.9083293820135926,124.87950430515608
1,Santa_Clara,RandomForestRegressor,Weighted_ICP,2413,0.9157578631262842,134.45396518373246
1,Santa_Clara,NeuralNet,Ensemble,2413,0.8983720562667931,115.80356228565368
1,Santa_Clara,NeuralNet,ICP,2413,0.7248300932511459,56.38629913330078
