itrial,dataname,muh_fun,method,train_size,alpha,coverage,width,bootstrap_type,block_length
0,Solar_Atl,LassoCV,Ensemble,,0.01,0.9859190663453,461.79868183882195,circular,6
0,Solar_Atl,RidgeCV,Ensemble,,0.01,0.9851579347963973,465.35053378918326,circular,6
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.01,0.9857922110871495,379.09463516004325,circular,6
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.01,0.9861727768616009,352.53070752235226,circular,6
0,Solar_Atl,LassoCV,Ensemble,,0.1,0.8931878726373208,161.0382960578338,circular,6
0,Solar_Atl,RidgeCV,Ensemble,,0.1,0.8935684384117721,162.4239197288943,circular,6
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.1,0.8943295699606749,218.50342366395006,circular,6
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.1,0.89293416212102,208.12950741886706,circular,6
0,Solar_Atl,LassoCV,Ensemble,,0.2,0.7913231003425092,82.16595301127809,circular,6
0,Solar_Atl,RidgeCV,Ensemble,,0.2,0.7927185081821642,83.56922086463084,circular,6
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.2,0.801978942027147,113.86884677161575,circular,6
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.2,0.8000761131548902,104.81891485776127,circular,6
0,Solar_Atl,LassoCV,Ensemble,,0.5,0.4883927438792338,22.47628072048828,circular,6
0,Solar_Atl,RidgeCV,Ensemble,,0.5,0.4921984016237473,24.53204471018267,circular,6
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.5,0.5423062285931752,7.701051000818983,circular,6
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.5,0.5104655587974122,14.381616418955334,circular,6
0,Solar_Atl,LassoCV,Ensemble,,0.8,0.18939490041862236,7.147288351990829,circular,6
0,Solar_Atl,RidgeCV,Ensemble,,0.8,0.18964861093492325,7.9527668632549275,circular,6
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.8,0.49689204617531396,0.0006529800444836993,circular,6
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.8,0.2827603704173538,1.2088265004832544,circular,6
0,Solar_Atl,LassoCV,Ensemble,,0.9,0.09907395661550171,3.8390733659109837,circular,6
0,Solar_Atl,RidgeCV,Ensemble,,0.9,0.09704427248509451,4.262742696798959,circular,6
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.9,0.4962577698845617,0.000282493868857703,circular,6
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.9,0.15336800710389445,0.4122267301114783,circular,6
0,Solar_Atl,LassoCV,Ensemble,,0.99,0.008118736521628821,0.3322914733858787,circular,6
0,Solar_Atl,RidgeCV,Ensemble,,0.99,0.00799188126347837,0.35771151120858696,circular,6
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.99,0.4861093492325257,2.4252475998229755e-05,circular,6
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.99,0.12609412660154765,0.003392144297352169,circular,6
0,Solar_Atl,LassoCV,Ensemble,,0.01,0.9862996321197514,459.17988476960966,circular,12
