itrial,dataname,muh_fun,method,alpha,coverage,width,bootstrap_type,block_length
0,Solar_Atl,RidgeCV,Ensemble,0.05,0.9486228057656629,294.5256361847134,circular,6
0,Solar_Atl,RandomForestRegressor,Ensemble,0.05,0.9456258027686599,302.7369379577438,circular,6
0,Solar_Atl,RidgeCV,Ensemble,0.1,0.8971028971028971,172.33498724608447,circular,6
0,Solar_Atl,RandomForestRegressor,Ensemble,0.1,0.9018124732410446,237.0644248405991,circular,6
0,Solar_Atl,RidgeCV,Ensemble,0.15000000000000002,0.8395889824461253,126.08784632133883,circular,6
0,Solar_Atl,RandomForestRegressor,Ensemble,0.15000000000000002,0.8514342800057085,176.23138670596015,circular,6
0,Solar_Atl,RidgeCV,Ensemble,0.2,0.7910660767803624,97.93198094325915,circular,6
0,Solar_Atl,RandomForestRegressor,Ensemble,0.2,0.8080490937633795,135.2090967826105,circular,6
0,Solar_Atl,RidgeCV,Ensemble,0.25,0.7495361781076066,75.98703564294681,circular,6
0,Solar_Atl,RandomForestRegressor,Ensemble,0.25,0.7512487512487512,94.13618353894246,circular,6
0,Solar_Atl,RidgeCV,Ensemble,0.05,0.9479092336235193,295.0606952641893,circular,12
0,Solar_Atl,RandomForestRegressor,Ensemble,0.05,0.9466248037676609,307.58567793726576,circular,12
0,Solar_Atl,RidgeCV,Ensemble,0.1,0.8973883259597545,172.74876502587665,circular,12
0,Solar_Atl,RandomForestRegressor,Ensemble,0.1,0.9029541886684744,240.92463049341987,circular,12
0,Solar_Atl,RidgeCV,Ensemble,0.15000000000000002,0.8397316968745541,125.19430922113021,circular,12
0,Solar_Atl,RandomForestRegressor,Ensemble,0.15000000000000002,0.8505779934351363,178.66014809758943,circular,12
0,Solar_Atl,RidgeCV,Ensemble,0.2,0.7909233623519338,97.38376074714927,circular,12
0,Solar_Atl,RandomForestRegressor,Ensemble,0.2,0.8073355216212359,136.5202637881334,circular,12
0,Solar_Atl,RidgeCV,Ensemble,0.25,0.7468246039674611,75.179346871244,circular,12
0,Solar_Atl,RandomForestRegressor,Ensemble,0.25,0.7498216069644641,94.34239162278368,circular,12
0,Solar_Atl,RidgeCV,Ensemble,0.05,0.9474810903382332,293.36886364259465,circular,24
0,Solar_Atl,RandomForestRegressor,Ensemble,0.05,0.9471956614813758,305.7965586963684,circular,24
0,Solar_Atl,RidgeCV,Ensemble,0.1,0.8969601826744684,172.9603596334058,circular,24
0,Solar_Atl,RandomForestRegressor,Ensemble,0.1,0.9013843299557586,239.55982890629068,circular,24
0,Solar_Atl,RidgeCV,Ensemble,0.15000000000000002,0.8414442700156985,126.40066828489154,circular,24
0,Solar_Atl,RandomForestRegressor,Ensemble,0.15000000000000002,0.850720707863565,178.3147277866483,circular,24
0,Solar_Atl,RidgeCV,Ensemble,0.2,0.7892107892107892,98.5946127876562,circular,24
0,Solar_Atl,RandomForestRegressor,Ensemble,0.2,0.8073355216212359,136.4734219381305,circular,24
0,Solar_Atl,RidgeCV,Ensemble,0.25,0.7461110318253176,75.88481219424618,circular,24
0,Solar_Atl,RandomForestRegressor,Ensemble,0.25,0.7515341801056087,93.7449536387286,circular,24
0,Solar_Atl,RidgeCV,Ensemble,0.05,0.9484800913372342,292.60768952340527,circular,48
0,Solar_Atl,RandomForestRegressor,Ensemble,0.05,0.9463393749108034,304.45736058677943,circular,48
