level_0,itrial,dataname,muh_fun,method,train_size,coverage,width,Unnamed: 0,Unnamed: 0.1,index
0,0,Solar_Atl,RidgeCV,Ensemble,856,0.8915525114155252,164.01401627954692,,,
1,0,Solar_Atl,RandomForestRegressor,Ensemble,856,0.8937087772704211,229.64535828407688,,,
2,0,Solar_Atl,NeuralNet,Ensemble,856,0.8918061897513953,174.4625219976453,,,
3,0,Solar_Atl,RNN,Ensemble,856,0.8920598680872653,242.71729590406582,,,
4,0,Solar_Atl,RidgeCV,Ensemble,1634,0.8983957219251337,171.74505579814718,,,
5,0,Solar_Atl,RandomForestRegressor,Ensemble,1634,0.9021953278919224,235.39000617823638,,,
6,0,Solar_Atl,NeuralNet,Ensemble,1634,0.8986771742189699,173.81672657721657,,,
7,0,Solar_Atl,RNN,Ensemble,1634,0.8961441035744442,259.4125045807641,,,
8,0,Solar_Atl,RidgeCV,Ensemble,2413,0.9045361150624308,179.1026193017269,,,
9,0,Solar_Atl,RandomForestRegressor,Ensemble,2413,0.9089615931721194,234.8557003016897,,,
10,0,Solar_Atl,NeuralNet,Ensemble,2413,0.9037458511142722,179.50457571371263,,,
11,0,Solar_Atl,RNN,Ensemble,2413,0.9124387545440176,274.51980430831594,,,
12,1,Solar_Atl,RidgeCV,Ensemble,856,0.8919330289193302,164.17441980426784,,,
13,1,Solar_Atl,RandomForestRegressor,Ensemble,856,0.8930745814307458,229.71009166911026,,,
14,1,Solar_Atl,NeuralNet,Ensemble,856,0.8921867072552004,172.12230133559342,,,
15,1,Solar_Atl,RNN,Ensemble,856,0.8920598680872653,242.51490886780445,,,
16,1,Solar_Atl,RidgeCV,Ensemble,1634,0.8982549957782155,172.01907843932258,,,
17,1,Solar_Atl,RandomForestRegressor,Ensemble,1634,0.9014916971573318,237.0919555405841,,,
18,1,Solar_Atl,NeuralNet,Ensemble,1634,0.8983957219251337,173.9134671205434,,,
19,1,Solar_Atl,RNN,Ensemble,1634,0.8961441035744442,259.33676434013125,,,
20,1,Solar_Atl,RidgeCV,Ensemble,2413,0.9058005373794848,178.73075089720376,,,
21,1,Solar_Atl,RandomForestRegressor,Ensemble,2413,0.9088035403824878,231.70884274640014,,,
22,1,Solar_Atl,NeuralNet,Ensemble,2413,0.9034297455350088,179.77892599088122,,,
23,1,Solar_Atl,RNN,Ensemble,2413,0.9125968073336496,274.29248396340506,,,
24,2,Solar_Atl,RidgeCV,Ensemble,856,0.8930745814307458,164.60792370150548,,,
25,2,Solar_Atl,RandomForestRegressor,Ensemble,856,0.8940892947742263,228.28434598186988,,,
26,2,Solar_Atl,NeuralNet,Ensemble,856,0.8929477422628107,173.9863953286816,,,
27,2,Solar_Atl,RNN,Ensemble,856,0.8919330289193302,242.85095286213704,,,
28,2,Solar_Atl,RidgeCV,Ensemble,1634,0.897410638896707,172.07960841720666,,,
29,2,Solar_Atl,RandomForestRegressor,Ensemble,1634,0.9028989586265128,239.42799232661758,,,
30,2,Solar_Atl,NeuralNet,Ensemble,1634,0.8975513650436251,171.88509540681613,,,
31,2,Solar_Atl,RNN,Ensemble,1634,0.8960033774275258,259.4241753569524,,,
32,2,Solar_Atl,RidgeCV,Ensemble,2413,0.9048522206416943,179.11562284880688,,,
33,2,Solar_Atl,RandomForestRegressor,Ensemble,2413,0.90990990990991,237.55272850763603,,,
34,2,Solar_Atl,NeuralNet,Ensemble,2413,0.9042200094831674,176.44672476669098,,,
35,2,Solar_Atl,RNN,Ensemble,2413,0.912280701754386,274.42387412705784,,,
36,3,Solar_Atl,RidgeCV,Ensemble,856,0.8923135464231354,164.48210636802236,,,
37,3,Solar_Atl,RandomForestRegressor,Ensemble,856,0.8934550989345509,228.10109466413357,,,
38,3,Solar_Atl,NeuralNet,Ensemble,856,0.8918061897513953,173.1925861984224,,,
39,3,Solar_Atl,RNN,Ensemble,856,0.8919330289193302,242.782943852876,,,
40,3,Solar_Atl,RidgeCV,Ensemble,1634,0.8988179003658879,171.808239743876,,,
41,3,Solar_Atl,RandomForestRegressor,Ensemble,1634,0.9026175063326766,236.45055212318317,,,
42,3,Solar_Atl,NeuralNet,Ensemble,1634,0.9006473402758233,172.45486401816726,,,
43,3,Solar_Atl,RNN,Ensemble,1634,0.8961441035744442,259.6300560496273,,,
44,3,Solar_Atl,RidgeCV,Ensemble,2413,0.9046941678520626,179.59485084993847,,,
45,3,Solar_Atl,RandomForestRegressor,Ensemble,2413,0.9095938043306464,232.30274166217566,,,
46,3,Solar_Atl,NeuralNet,Ensemble,2413,0.9029555871661136,180.0170722195372,,,
47,3,Solar_Atl,RNN,Ensemble,2413,0.912280701754386,274.4175037499389,,,
48,4,Solar_Atl,RidgeCV,Ensemble,856,0.8914256722475901,164.19872571790086,,,
49,4,Solar_Atl,RandomForestRegressor,Ensemble,856,0.8943429731100964,228.6474514363704,,,
50,4,Solar_Atl,NeuralNet,Ensemble,856,0.8928209030948757,172.66980591701255,,,
51,4,Solar_Atl,RNN,Ensemble,856,0.8918061897513953,242.64555142987962,,,
52,4,Solar_Atl,RidgeCV,Ensemble,1634,0.8972699127497891,172.0450534027115,,,
53,4,Solar_Atl,RandomForestRegressor,Ensemble,1634,0.9038840416549396,237.60602161997173,,,
54,4,Solar_Atl,NeuralNet,Ensemble,1634,0.8993808049535603,171.64239012444892,,,
55,4,Solar_Atl,RNN,Ensemble,1634,0.8958626512806079,259.39129154095065,,,
56,4,Solar_Atl,RidgeCV,Ensemble,2413,0.9059585901691164,179.13377488401386,,,
57,4,Solar_Atl,RandomForestRegressor,Ensemble,2413,0.909277698751383,238.00885203191748,,,
58,4,Solar_Atl,NeuralNet,Ensemble,2413,0.9031136399557452,181.19179772841468,,,
59,4,Solar_Atl,RNN,Ensemble,2413,0.912280701754386,274.396653436834,,,
60,5,Solar_Atl,RidgeCV,Ensemble,856,0.8928209030948757,164.55085547322946,,,
61,5,Solar_Atl,RandomForestRegressor,Ensemble,856,0.8926940639269406,228.64147190860726,,,
62,5,Solar_Atl,NeuralNet,Ensemble,856,0.8919330289193302,172.05814086609814,,,
63,5,Solar_Atl,RNN,Ensemble,856,0.8919330289193302,242.6712882999071,,,
64,5,Solar_Atl,RidgeCV,Ensemble,1634,0.897410638896707,172.22107845273567,,,
65,5,Solar_Atl,RandomForestRegressor,Ensemble,1634,0.90163242330425,234.68280644908614,,,
66,5,Solar_Atl,NeuralNet,Ensemble,1634,0.8996622572473966,170.0239350763857,,,
67,5,Solar_Atl,RNN,Ensemble,1634,0.8960033774275258,259.6067534168418,,,
68,5,Solar_Atl,RidgeCV,Ensemble,2413,0.9054844318002212,179.3898664239025,,,
69,5,Solar_Atl,RandomForestRegressor,Ensemble,2413,0.9100679626995416,233.90030253894483,,,
70,5,Solar_Atl,NeuralNet,Ensemble,2413,0.9040619566935356,178.69019305196716,,,
71,5,Solar_Atl,RNN,Ensemble,2413,0.912280701754386,274.37202436622414,,,
72,6,Solar_Atl,RidgeCV,Ensemble,856,0.8926940639269406,164.4429482520378,,,
73,6,Solar_Atl,RandomForestRegressor,Ensemble,856,0.8943429731100964,227.23220867509588,,,
74,6,Solar_Atl,NeuralNet,Ensemble,856,0.8921867072552004,168.7863000773582,,,
75,6,Solar_Atl,RNN,Ensemble,856,0.8920598680872653,242.61297375043318,,,
76,6,Solar_Atl,RidgeCV,Ensemble,1634,0.8975513650436251,172.40392546096322,,,
77,6,Solar_Atl,RandomForestRegressor,Ensemble,1634,0.9028989586265128,237.865451339483,,,
78,6,Solar_Atl,NeuralNet,Ensemble,1634,0.8976920911905432,176.40182435623922,,,
79,6,Solar_Atl,RNN,Ensemble,1634,0.8961441035744442,259.1221974624695,,,
80,6,Solar_Atl,RidgeCV,Ensemble,2413,0.9067488541172752,179.2893082493573,,,
81,6,Solar_Atl,RandomForestRegressor,Ensemble,2413,0.9078552236446972,232.89543424613672,,,
82,6,Solar_Atl,NeuralNet,Ensemble,2413,0.9043780622727992,177.65013221010375,,,
83,6,Solar_Atl,RNN,Ensemble,2413,0.912280701754386,274.5019169548527,,,
84,7,Solar_Atl,RidgeCV,Ensemble,856,0.8920598680872653,164.34356213979402,,,
85,7,Solar_Atl,RandomForestRegressor,Ensemble,856,0.8930745814307458,229.18347186538762,,,
86,7,Solar_Atl,NeuralNet,Ensemble,856,0.8926940639269406,169.41623929614562,,,
87,7,Solar_Atl,RNN,Ensemble,856,0.8919330289193302,242.67125129514642,,,
88,7,Solar_Atl,RidgeCV,Ensemble,1634,0.8978328173374613,171.5806935210963,,,
89,7,Solar_Atl,RandomForestRegressor,Ensemble,1634,0.9050098508302844,235.16397319430016,,,
90,7,Solar_Atl,NeuralNet,Ensemble,1634,0.8969884604559527,173.99833151686838,,,
