index,itrial,dataname,muh_fun,method,alpha,coverage,width
0,0,Sunnyvale,RidgeCV,Ensemble,0.05,0.9523401826484018,135.2017570781189
1,0,Sunnyvale,RidgeCV,ICP,0.05,0.9296518264840182,120.37162924432806
2,0,Sunnyvale,RidgeCV,Weighted_ICP,0.05,0.9096746575342466,105.68945294129415
3,0,Sunnyvale,RandomForestRegressor,Ensemble,0.05,0.9514840182648402,173.37776917434985
4,0,Sunnyvale,RandomForestRegressor,ICP,0.05,0.9273687214611872,156.24959677420264
5,0,Sunnyvale,RandomForestRegressor,Weighted_ICP,0.05,0.930365296803653,148.89478672984862
6,0,Sunnyvale,Sequential,Ensemble,0.05,0.9396404109589042,173.189628666579
7,0,Sunnyvale,Sequential,ICP,0.05,0.7238869863013698,69.78331756591797
8,0,Sunnyvale,Sequential,Weighted_ICP,0.05,0.6809360730593608,57.2493896484375
9,0,Sunnyvale,RNN,Ensemble,0.05,0.9433504566210046,217.8479274050277
10,0,Sunnyvale,RNN,ICP,0.05,0.7161815068493149,88.12458801269531
11,0,Sunnyvale,RNN,Weighted_ICP,0.05,0.6954908675799086,82.9731674194336
12,0,Sunnyvale,RidgeCV,Ensemble,0.1,0.9045376712328768,88.0190649728055
13,0,Sunnyvale,RidgeCV,ICP,0.1,0.8715753424657534,82.8682713784504
14,0,Sunnyvale,RidgeCV,Weighted_ICP,0.1,0.8590182648401826,77.9912768258235
15,0,Sunnyvale,RandomForestRegressor,Ensemble,0.1,0.9018264840182648,114.27785625504438
16,0,Sunnyvale,RandomForestRegressor,ICP,0.1,0.9048230593607306,123.51666666668615
17,0,Sunnyvale,RandomForestRegressor,Weighted_ICP,0.1,0.8847031963470321,108.62464454976579
18,0,Sunnyvale,Sequential,Ensemble,0.1,0.8837043378995434,129.89112788809288
19,0,Sunnyvale,Sequential,ICP,0.1,0.6843607305936074,57.101905822753906
20,0,Sunnyvale,Sequential,Weighted_ICP,0.1,0.6813641552511416,54.812660217285156
21,0,Sunnyvale,RNN,Ensemble,0.1,0.8898401826484018,147.98397928032767
22,0,Sunnyvale,RNN,ICP,0.1,0.6123002283105022,44.559383392333984
23,0,Sunnyvale,RNN,Weighted_ICP,0.1,0.6307077625570776,52.283485412597656
24,0,Sunnyvale,RidgeCV,Ensemble,0.15000000000000002,0.8513127853881278,66.08033723288929
25,0,Sunnyvale,RidgeCV,ICP,0.15000000000000002,0.8227739726027398,64.91885493387157
26,0,Sunnyvale,RidgeCV,Weighted_ICP,0.15000000000000002,0.7963755707762558,61.18279078066862
27,0,Sunnyvale,RandomForestRegressor,Ensemble,0.15000000000000002,0.8601598173515982,87.40968779184314
28,0,Sunnyvale,RandomForestRegressor,ICP,0.15000000000000002,0.8468892694063926,108.06114103979463
29,0,Sunnyvale,RandomForestRegressor,Weighted_ICP,0.15000000000000002,0.8169235159817352,76.46969696971097
30,0,Sunnyvale,Sequential,Ensemble,0.15000000000000002,0.8410388127853882,105.52239902819885
31,0,Sunnyvale,Sequential,ICP,0.15000000000000002,0.6264269406392694,39.4680061340332
32,0,Sunnyvale,Sequential,Weighted_ICP,0.15000000000000002,0.6299942922374431,41.23203659057617
33,0,Sunnyvale,RNN,Ensemble,0.15000000000000002,0.8293378995433791,125.96299726126942
34,0,Sunnyvale,RNN,ICP,0.15000000000000002,0.5714897260273972,34.917755126953125
35,0,Sunnyvale,RNN,Weighted_ICP,0.15000000000000002,0.5654965753424658,34.62818145751953
36,0,Sunnyvale,RidgeCV,Ensemble,0.2,0.8059360730593608,53.6710236366046
37,0,Sunnyvale,RidgeCV,ICP,0.2,0.7654109589041096,52.05656501562984
38,0,Sunnyvale,RidgeCV,Weighted_ICP,0.2,0.7434360730593608,51.134446464885094
39,0,Sunnyvale,RandomForestRegressor,Ensemble,0.2,0.8133561643835616,72.89789277348794
40,0,Sunnyvale,RandomForestRegressor,ICP,0.2,0.7799657534246576,78.45161290321879
41,0,Sunnyvale,RandomForestRegressor,Weighted_ICP,0.2,0.7915239726027398,67.53030303029091
42,0,Sunnyvale,Sequential,Ensemble,0.2,0.7960901826484018,88.98975409411226
43,0,Sunnyvale,Sequential,ICP,0.2,0.5836187214611872,31.05064392089844
44,0,Sunnyvale,Sequential,Weighted_ICP,0.2,0.5836187214611872,30.699260711669922
45,0,Sunnyvale,RNN,Ensemble,0.2,0.7829623287671232,103.49067786836277
46,0,Sunnyvale,RNN,ICP,0.2,0.5516552511415526,27.072795867919922
47,0,Sunnyvale,RNN,Weighted_ICP,0.2,0.5455194063926939,25.71866607666016
48,0,Sunnyvale,RidgeCV,Ensemble,0.25,0.7609874429223744,45.25760560453021
49,0,Sunnyvale,RidgeCV,ICP,0.25,0.7067636986301371,42.572214782121584
50,0,Sunnyvale,RidgeCV,Weighted_ICP,0.25,0.6846461187214612,42.910728050079534
51,0,Sunnyvale,RandomForestRegressor,Ensemble,0.25,0.759560502283105,60.34926100318381
52,0,Sunnyvale,RandomForestRegressor,ICP,0.25,0.6899257990867579,55.258333333341035
53,0,Sunnyvale,RandomForestRegressor,Weighted_ICP,0.25,0.6996289954337901,55.53030303029439
54,0,Sunnyvale,Sequential,Ensemble,0.25,0.7565639269406392,72.68840487625451
55,0,Sunnyvale,Sequential,ICP,0.25,0.5603595890410958,23.603275299072266
56,0,Sunnyvale,Sequential,Weighted_ICP,0.25,0.5847602739726028,33.308380126953125
57,0,Sunnyvale,RNN,Ensemble,0.25,0.7417237442922374,84.97738686423995
58,0,Sunnyvale,RNN,ICP,0.25,0.523829908675799,19.859834671020508
59,0,Sunnyvale,RNN,Weighted_ICP,0.25,0.526398401826484,19.21829605102539
60,1,Sunnyvale,RidgeCV,Ensemble,0.05,0.952054794520548,136.42598255694284
61,1,Sunnyvale,RidgeCV,ICP,0.05,0.9150970319634704,116.30534165386585
62,1,Sunnyvale,RidgeCV,Weighted_ICP,0.05,0.9230878995433792,116.9782077383717
63,1,Sunnyvale,RandomForestRegressor,Ensemble,0.05,0.9500570776255708,173.93375391874275
64,1,Sunnyvale,RandomForestRegressor,ICP,0.05,0.9287956621004566,147.71433080805585
65,1,Sunnyvale,RandomForestRegressor,Weighted_ICP,0.05,0.9352168949771692,154.18811881190274
66,1,Sunnyvale,Sequential,Ensemble,0.05,0.9429223744292238,173.094443041982
67,1,Sunnyvale,Sequential,ICP,0.05,0.7233162100456622,67.75660705566406
68,1,Sunnyvale,Sequential,Weighted_ICP,0.05,0.7542808219178082,79.15946197509766
69,1,Sunnyvale,RNN,Ensemble,0.05,0.9429223744292238,216.63296713624013
70,1,Sunnyvale,RNN,ICP,0.05,0.6775114155251142,69.36865234375
71,1,Sunnyvale,RNN,Weighted_ICP,0.05,0.6700913242009132,69.99324035644531
72,1,Sunnyvale,RidgeCV,Ensemble,0.1,0.9036815068493148,88.89212700368564
73,1,Sunnyvale,RidgeCV,ICP,0.1,0.8535958904109592,81.21718757558386
74,1,Sunnyvale,RidgeCV,Weighted_ICP,0.1,0.8541666666666666,74.59924541163494
75,1,Sunnyvale,RandomForestRegressor,Ensemble,0.1,0.9021118721461188,113.60192367467717
76,1,Sunnyvale,RandomForestRegressor,ICP,0.1,0.8761415525114156,102.82231404958344
77,1,Sunnyvale,RandomForestRegressor,Weighted_ICP,0.1,0.8745719178082192,100.44234129296532
78,1,Sunnyvale,Sequential,Ensemble,0.1,0.8869863013698629,125.83700469321829
79,1,Sunnyvale,Sequential,ICP,0.1,0.6546803652968036,43.36408996582031
80,1,Sunnyvale,Sequential,Weighted_ICP,0.1,0.6890696347031964,55.07058334350586
81,1,Sunnyvale,RNN,Ensemble,0.1,0.8912671232876712,152.5546266762127
82,1,Sunnyvale,RNN,ICP,0.1,0.6011700913242011,43.799312591552734
83,1,Sunnyvale,RNN,Weighted_ICP,0.1,0.5898972602739726,39.638877868652344
84,1,Sunnyvale,RidgeCV,Ensemble,0.15000000000000002,0.8530251141552512,66.82451474164503
85,1,Sunnyvale,RidgeCV,ICP,0.15000000000000002,0.7968036529680366,63.32218447302694
86,1,Sunnyvale,RidgeCV,Weighted_ICP,0.15000000000000002,0.8037956621004566,60.744101373464225
87,1,Sunnyvale,RandomForestRegressor,Ensemble,0.15000000000000002,0.8620148401826484,87.40227831396244
88,1,Sunnyvale,RandomForestRegressor,ICP,0.15000000000000002,0.8142123287671232,75.08823529410884
89,1,Sunnyvale,RandomForestRegressor,Weighted_ICP,0.15000000000000002,0.8200627853881278,77.6988934187579
90,1,Sunnyvale,Sequential,Ensemble,0.15000000000000002,0.8426084474885844,108.00361972022611
91,1,Sunnyvale,Sequential,ICP,0.15000000000000002,0.615154109589041,37.44065856933594
92,1,Sunnyvale,Sequential,Weighted_ICP,0.15000000000000002,0.6157248858447488,39.56545639038086
93,1,Sunnyvale,RNN,Ensemble,0.15000000000000002,0.8301940639269406,122.62859719863884
94,1,Sunnyvale,RNN,ICP,0.15000000000000002,0.5777682648401826,33.734580993652344
95,1,Sunnyvale,RNN,Weighted_ICP,0.15000000000000002,0.5857591324200914,35.20319366455078
96,1,Sunnyvale,RidgeCV,Ensemble,0.2,0.8070776255707762,54.26674169518978
97,1,Sunnyvale,RidgeCV,ICP,0.2,0.7401541095890408,51.91194912837787
98,1,Sunnyvale,RidgeCV,Weighted_ICP,0.2,0.7350171232876712,47.89842062298091
