itrial,dataname,muh_fun,method,train_size,coverage,width
0,Sunnyvale,RidgeCV,Ensemble,876,0.8808980213089802,404.086172550223
0,Sunnyvale,RidgeCV,ICP,876,0.46511922881785894,93.83745314712297
0,Sunnyvale,RidgeCV,Weighted_ICP,876,0.5662100456621004,107.1982554677751
0,Sunnyvale,RandomForestRegressor,Ensemble,876,0.8952308472856418,106.56709154050516
0,Sunnyvale,RandomForestRegressor,ICP,876,0.8706240487062404,105.39459459460164
0,Sunnyvale,RandomForestRegressor,Weighted_ICP,876,0.8812785388127854,103.94992424244076
0,Sunnyvale,NeuralNet,Ensemble,876,0.8982749873160832,150.10345623107202
0,Sunnyvale,NeuralNet,ICP,876,0.6447234906139016,36.52853775024414
0,Sunnyvale,NeuralNet,Weighted_ICP,876,0.7010400811770675,49.1256217956543
0,Sunnyvale,RNN,Ensemble,876,0.8964992389649924,132.36123334379883
0,Sunnyvale,RNN,ICP,876,0.5489599188229325,15.539094924926758
0,Sunnyvale,RNN,Weighted_ICP,876,0.634830035514967,27.738178253173828
0,Sunnyvale,RidgeCV,Ensemble,1654,0.8798198705319449,269.5859129997787
0,Sunnyvale,RidgeCV,ICP,1654,0.5358851674641149,108.73646031600282
0,Sunnyvale,RidgeCV,Weighted_ICP,1654,0.5209681958907965,104.08107459514092
0,Sunnyvale,RandomForestRegressor,Ensemble,1654,0.900365887981987,129.54779615967036
0,Sunnyvale,RandomForestRegressor,ICP,1654,0.8224036025893611,71.47781456954257
0,Sunnyvale,RandomForestRegressor,Weighted_ICP,1654,0.858429496200394,94.1930974978391
0,Sunnyvale,NeuralNet,Ensemble,1654,0.8869969040247678,116.21469531561146
0,Sunnyvale,NeuralNet,ICP,1654,0.794821277793414,56.53950500488281
0,Sunnyvale,NeuralNet,Weighted_ICP,1654,0.8162116521249648,58.88431930541992
0,Sunnyvale,RNN,Ensemble,1654,0.8816493104418801,154.93484145417392
0,Sunnyvale,RNN,ICP,1654,0.5710667041936391,18.154359817504883
0,Sunnyvale,RNN,Weighted_ICP,1654,0.6076555023923444,22.906248092651367
0,Sunnyvale,RidgeCV,Ensemble,2433,0.8640746009167062,328.5911878504447
0,Sunnyvale,RidgeCV,ICP,2433,0.5975975975975976,133.9985854032259
0,Sunnyvale,RidgeCV,Weighted_ICP,2433,0.5824245297929509,124.06595609720476
0,Sunnyvale,RandomForestRegressor,Ensemble,2433,0.9127548601232812,103.85037433531258
0,Sunnyvale,RandomForestRegressor,ICP,2433,0.9100679626995416,127.56398104267154
0,Sunnyvale,RandomForestRegressor,Weighted_ICP,2433,0.9235024498182393,117.46464552240367
0,Sunnyvale,NeuralNet,Ensemble,2433,0.8909435751541015,112.5314246972346
0,Sunnyvale,NeuralNet,ICP,2433,0.8259838786154575,56.436824798583984
