itrial,dataname,muh_fun,method,train_size,coverage,width
0,Sunnyvale,RidgeCV,Ensemble,856,0.8982749873160832,92.38813061347138
0,Sunnyvale,RidgeCV,ICP,856,0.8138001014713343,89.50868135635741
0,Sunnyvale,RidgeCV,Weighted_ICP,856,0.817351598173516,89.75058352756675
0,Sunnyvale,RandomForestRegressor,Ensemble,856,0.8938356164383562,114.2002879217095
0,Sunnyvale,RandomForestRegressor,ICP,856,0.8786149162861492,99.5914893617131
0,Sunnyvale,RandomForestRegressor,Weighted_ICP,856,0.8555301877219685,87.05569620254748
0,Sunnyvale,NeuralNet,Ensemble,856,0.8949771689497716,152.16563453369562
0,Sunnyvale,NeuralNet,ICP,856,0.624048706240487,49.84586715698242
0,Sunnyvale,NeuralNet,Weighted_ICP,856,0.615169964485033,43.540245056152344
0,Sunnyvale,RNN,Ensemble,856,0.8896499238964992,174.59282064581473
0,Sunnyvale,RNN,ICP,856,0.5961440892947742,42.096683502197266
0,Sunnyvale,RNN,Weighted_ICP,856,0.586884830035515,35.13695526123047
0,Sunnyvale,RidgeCV,Ensemble,1634,0.9014916971573318,86.48040772063985
0,Sunnyvale,RidgeCV,ICP,1634,0.855474247115114,75.09270187373848
0,Sunnyvale,RidgeCV,Weighted_ICP,1634,0.8529411764705882,75.8104644469691
0,Sunnyvale,RandomForestRegressor,Ensemble,1634,0.9009287925696594,112.8905855677057
0,Sunnyvale,RandomForestRegressor,ICP,1634,0.8687025049254151,98.31879699249164
0,Sunnyvale,RandomForestRegressor,Weighted_ICP,1634,0.8668730650154799,98.30576441102731
0,Sunnyvale,NeuralNet,Ensemble,1634,0.8879819870531945,130.75696131683404
0,Sunnyvale,NeuralNet,ICP,1634,0.6653532226287644,48.656246185302734
0,Sunnyvale,NeuralNet,Weighted_ICP,1634,0.6694342808893893,48.622066497802734
0,Sunnyvale,RNN,Ensemble,1634,0.8903743315508021,151.11503033116452
0,Sunnyvale,RNN,ICP,1634,0.5975232198142415,42.77094268798828
0,Sunnyvale,RNN,Weighted_ICP,1634,0.6072333239515902,48.417537689208984
0,Sunnyvale,RidgeCV,Ensemble,2413,0.9114904378062273,86.44756170848714
0,Sunnyvale,RidgeCV,ICP,2413,0.9004267425320057,85.97840608500776
0,Sunnyvale,RidgeCV,Weighted_ICP,2413,0.8920499446815237,87.06370076305342
0,Sunnyvale,RandomForestRegressor,Ensemble,2413,0.9151256519677572,115.90324965774471
0,Sunnyvale,RandomForestRegressor,ICP,2413,0.9261893472419788,132.9939107046592
0,Sunnyvale,RandomForestRegressor,Weighted_ICP,2413,0.9258732416627153,138.8493150684798
0,Sunnyvale,NeuralNet,Ensemble,2413,0.9010589536905327,107.42938682712645
0,Sunnyvale,NeuralNet,ICP,2413,0.7302038880986249,50.90326690673828
0,Sunnyvale,NeuralNet,Weighted_ICP,2413,0.7354196301564723,53.87428283691406
0,Sunnyvale,RNN,Ensemble,2413,0.8947368421052632,148.7462804315739
0,Sunnyvale,RNN,ICP,2413,0.7793583056740951,91.85382843017578
0,Sunnyvale,RNN,Weighted_ICP,2413,0.7817290975185712,87.88060760498047
1,Sunnyvale,RidgeCV,Ensemble,856,0.897894469812278,93.83968002693885
1,Sunnyvale,RidgeCV,ICP,856,0.8089802130898022,83.37708615034352
1,Sunnyvale,RidgeCV,Weighted_ICP,856,0.8118975139523085,82.30916710379725
1,Sunnyvale,RandomForestRegressor,Ensemble,856,0.8926940639269406,112.73726087353596
1,Sunnyvale,RandomForestRegressor,ICP,856,0.8517250126839168,85.06753246753871
1,Sunnyvale,RandomForestRegressor,Weighted_ICP,856,0.8850837138508372,113.00355899418227
1,Sunnyvale,NeuralNet,Ensemble,856,0.8963723997970573,136.62557744295717
1,Sunnyvale,NeuralNet,ICP,856,0.5914510400811771,27.576948165893555
1,Sunnyvale,NeuralNet,Weighted_ICP,856,0.6468797564687976,49.07106399536133
1,Sunnyvale,RNN,Ensemble,856,0.889269406392694,177.79897159566693
1,Sunnyvale,RNN,ICP,856,0.5668442415017757,32.41005325317383
1,Sunnyvale,RNN,Weighted_ICP,856,0.556570268899036,27.51091766357422
1,Sunnyvale,RidgeCV,Ensemble,1634,0.90163242330425,87.84242269803427
1,Sunnyvale,RidgeCV,ICP,1634,0.8484379397692091,79.90217702531791
1,Sunnyvale,RidgeCV,Weighted_ICP,1634,0.839572192513369,72.98970289692753
1,Sunnyvale,RandomForestRegressor,Ensemble,1634,0.9013509710104137,112.83987835557116
1,Sunnyvale,RandomForestRegressor,ICP,1634,0.8639178159301998,93.37834803527495
1,Sunnyvale,RandomForestRegressor,Weighted_ICP,1634,0.8490008443568815,91.19282275710701
1,Sunnyvale,NeuralNet,Ensemble,1634,0.8903743315508021,130.74674123611896
1,Sunnyvale,NeuralNet,ICP,1634,0.6547987616099071,50.06193161010742
1,Sunnyvale,NeuralNet,Weighted_ICP,1634,0.6508584294962004,47.00934600830078
1,Sunnyvale,RNN,Ensemble,1634,0.8920630453138193,155.9486077164051
1,Sunnyvale,RNN,ICP,1634,0.6010413734871939,46.67592239379883
1,Sunnyvale,RNN,Weighted_ICP,1634,0.6270757106670419,57.16629409790039
1,Sunnyvale,RidgeCV,Ensemble,2413,0.9122807017543859,88.94112001283584
1,Sunnyvale,RidgeCV,ICP,2413,0.8985301090564248,86.28831680280688
1,Sunnyvale,RidgeCV,Weighted_ICP,2413,0.8937885253674728,80.66985431489626
1,Sunnyvale,RandomForestRegressor,Ensemble,2413,0.9154417575470207,115.12717014076877
1,Sunnyvale,RandomForestRegressor,ICP,2413,0.9029555871661135,132.613939393928
1,Sunnyvale,RandomForestRegressor,Weighted_ICP,2413,0.9325114588272483,128.39193083575017
1,Sunnyvale,NeuralNet,Ensemble,2413,0.9004267425320057,108.78518558414721
1,Sunnyvale,NeuralNet,ICP,2413,0.7777777777777778,66.56021118164062
1,Sunnyvale,NeuralNet,Weighted_ICP,2413,0.7743006164058795,65.49199676513672
1,Sunnyvale,RNN,Ensemble,2413,0.8915757863126285,132.90193463074067
1,Sunnyvale,RNN,ICP,2413,0.7785680417259364,94.50163269042969
1,Sunnyvale,RNN,Weighted_ICP,2413,0.7946894262683737,101.23050689697266
2,Sunnyvale,RidgeCV,Ensemble,856,0.8989091831557585,93.98922071850677
2,Sunnyvale,RidgeCV,ICP,856,0.8028919330289194,86.73783859401063
2,Sunnyvale,RidgeCV,Weighted_ICP,856,0.8432267884322678,94.54656811066084
2,Sunnyvale,RandomForestRegressor,Ensemble,856,0.8932014205986809,112.77029255130802
2,Sunnyvale,RandomForestRegressor,ICP,856,0.8670725520040589,90.21052631580187
2,Sunnyvale,RandomForestRegressor,Weighted_ICP,856,0.8755707762557078,100.11294117648274
2,Sunnyvale,NeuralNet,Ensemble,856,0.8973871131405378,141.65547722110708
2,Sunnyvale,NeuralNet,ICP,856,0.6684424150177575,51.9056510925293
2,Sunnyvale,NeuralNet,Weighted_ICP,856,0.656519533231862,46.875553131103516
2,Sunnyvale,RNN,Ensemble,856,0.8860984271943176,175.07775386277828
2,Sunnyvale,RNN,ICP,856,0.5644342973110097,30.496591567993164
2,Sunnyvale,RNN,Weighted_ICP,856,0.5707762557077626,32.21868896484375
2,Sunnyvale,RidgeCV,Ensemble,1634,0.9019138755980861,88.31483618853672
2,Sunnyvale,RidgeCV,ICP,1634,0.8506895581198987,72.82078799295488
2,Sunnyvale,RidgeCV,Weighted_ICP,1634,0.8342245989304813,71.63800829037491
2,Sunnyvale,RandomForestRegressor,Ensemble,1634,0.9020546017450042,112.35024500219743
2,Sunnyvale,RandomForestRegressor,ICP,1634,0.8577258654658035,95.22532884672889
2,Sunnyvale,RandomForestRegressor,Weighted_ICP,1634,0.8674359696031523,97.76149068322339
2,Sunnyvale,NeuralNet,Ensemble,1634,0.8865747255840135,132.05914212431284
2,Sunnyvale,NeuralNet,ICP,1634,0.6584576414297777,46.34608840942383
2,Sunnyvale,NeuralNet,Weighted_ICP,1634,0.6509991556431185,42.71958541870117
2,Sunnyvale,RNN,Ensemble,1634,0.8919223191669012,158.64214055774437
2,Sunnyvale,RNN,ICP,1634,0.6218688432310724,50.46593475341797
2,Sunnyvale,RNN,Weighted_ICP,1634,0.6030115395440473,45.41830825805664
2,Sunnyvale,RidgeCV,Ensemble,2413,0.9113323850165955,86.89148468835299
2,Sunnyvale,RidgeCV,ICP,2413,0.8993203730045836,88.25958313660706
2,Sunnyvale,RidgeCV,Weighted_ICP,2413,0.894262683736368,85.6949388900512
2,Sunnyvale,RandomForestRegressor,Ensemble,2413,0.9159159159159159,115.54777971938208
2,Sunnyvale,RandomForestRegressor,ICP,2413,0.914019282440335,130.5918495297688
2,Sunnyvale,RandomForestRegressor,Weighted_ICP,2413,0.914651493598862,117.26582278481969
2,Sunnyvale,NeuralNet,Ensemble,2413,0.8978978978978979,111.76002271259895
2,Sunnyvale,NeuralNet,ICP,2413,0.7621305516042358,63.9293098449707
2,Sunnyvale,NeuralNet,Weighted_ICP,2413,0.7444286391654813,59.946109771728516
2,Sunnyvale,RNN,Ensemble,2413,0.8912596807333649,127.42310480490345
2,Sunnyvale,RNN,ICP,2413,0.7771455666192508,86.61787414550781
2,Sunnyvale,RNN,Weighted_ICP,2413,0.7610241820768137,80.06868743896484
3,Sunnyvale,RidgeCV,Ensemble,856,0.8986555048198884,94.69841528840598
3,Sunnyvale,RidgeCV,ICP,856,0.8264840182648402,80.38746612698408
3,Sunnyvale,RidgeCV,Weighted_ICP,856,0.828386605783866,81.5374007453181
3,Sunnyvale,RandomForestRegressor,Ensemble,856,0.8959918822932521,113.02238348726203
3,Sunnyvale,RandomForestRegressor,ICP,856,0.884703196347032,104.8000000000118
3,Sunnyvale,RandomForestRegressor,Weighted_ICP,856,0.8666920345002537,93.05432098766124
3,Sunnyvale,NeuralNet,Ensemble,856,0.8943429731100964,142.9912382055101
3,Sunnyvale,NeuralNet,ICP,856,0.6670471841704718,59.092071533203125
3,Sunnyvale,NeuralNet,Weighted_ICP,856,0.6705986808726535,62.06446075439453
3,Sunnyvale,RNN,Ensemble,856,0.8883815322171487,170.511955291463
3,Sunnyvale,RNN,ICP,856,0.556316590563166,25.245174407958984
3,Sunnyvale,RNN,Weighted_ICP,856,0.5834601725012684,34.59675979614258
3,Sunnyvale,RidgeCV,Ensemble,1634,0.9020546017450042,87.65186550983049
3,Sunnyvale,RidgeCV,ICP,1634,0.8374613003095975,71.14831221937175
3,Sunnyvale,RidgeCV,Weighted_ICP,1634,0.8591331269349846,77.05854406108594
3,Sunnyvale,RandomForestRegressor,Ensemble,1634,0.9023360540388404,112.88203731001991
3,Sunnyvale,RandomForestRegressor,ICP,1634,0.8347875035181537,93.10582166544725
3,Sunnyvale,RandomForestRegressor,Weighted_ICP,1634,0.8594145792288207,97.62441314554775
3,Sunnyvale,NeuralNet,Ensemble,1634,0.887278356318604,129.01822339149703
3,Sunnyvale,NeuralNet,ICP,1634,0.6605685336335491,47.8347053527832
3,Sunnyvale,NeuralNet,Weighted_ICP,1634,0.6557838446383338,44.19743347167969
3,Sunnyvale,RNN,Ensemble,1634,0.8922037714607374,150.77125201111377
3,Sunnyvale,RNN,ICP,1634,0.6030115395440473,42.56169509887695
3,Sunnyvale,RNN,Weighted_ICP,1634,0.6175063326766114,49.49071502685547
3,Sunnyvale,RidgeCV,Ensemble,2413,0.9124387545440177,86.68545890520974
3,Sunnyvale,RidgeCV,ICP,2413,0.9035877983246404,89.52131641383335
3,Sunnyvale,RidgeCV,Weighted_ICP,2413,0.8993203730045836,87.2101931444325
3,Sunnyvale,RandomForestRegressor,Ensemble,2413,0.9159159159159159,115.11915555331578
3,Sunnyvale,RandomForestRegressor,ICP,2413,0.9269796111901375,140.89359037028385
3,Sunnyvale,RandomForestRegressor,Weighted_ICP,2413,0.9310889837205627,133.4742268041094
3,Sunnyvale,NeuralNet,Ensemble,2413,0.8941046309467362,115.76552682406495
3,Sunnyvale,NeuralNet,ICP,2413,0.7793583056740951,68.64903259277344
3,Sunnyvale,NeuralNet,Weighted_ICP,2413,0.7660818713450293,61.09321212768555
3,Sunnyvale,RNN,Ensemble,2413,0.8926821558400506,128.97994125592524
3,Sunnyvale,RNN,ICP,2413,0.7801485696222539,89.62361907958984
3,Sunnyvale,RNN,Weighted_ICP,2413,0.7848901533112059,91.79100799560547
4,Sunnyvale,RidgeCV,Ensemble,856,0.8991628614916286,94.5468524236141
4,Sunnyvale,RidgeCV,ICP,856,0.8168442415017757,89.31501707477156
4,Sunnyvale,RidgeCV,Weighted_ICP,856,0.8192541856925418,89.74387622042563
4,Sunnyvale,RandomForestRegressor,Ensemble,856,0.8920598680872653,113.22068071791678
4,Sunnyvale,RandomForestRegressor,ICP,856,0.867453069507864,93.07012987012159
4,Sunnyvale,RandomForestRegressor,Weighted_ICP,856,0.8743023845763572,105.94417808217433
4,Sunnyvale,NeuralNet,Ensemble,856,0.8967529173008625,145.25815153564145
4,Sunnyvale,NeuralNet,ICP,856,0.6495433789954338,52.12559509277344
4,Sunnyvale,NeuralNet,Weighted_ICP,856,0.6513191273465246,53.38288116455078
4,Sunnyvale,RNN,Ensemble,856,0.8895230847285642,185.01090900708238
4,Sunnyvale,RNN,ICP,856,0.5674784373414511,33.390933990478516
4,Sunnyvale,RNN,Weighted_ICP,856,0.5547945205479452,28.854873657226562
4,Sunnyvale,RidgeCV,Ensemble,1634,0.9012102448634957,88.03421067238875
4,Sunnyvale,RidgeCV,ICP,1634,0.8574444131719674,74.04112168581547
4,Sunnyvale,RidgeCV,Weighted_ICP,1634,0.8359133126934984,73.6180277882342
4,Sunnyvale,RandomForestRegressor,Ensemble,1634,0.900225161835069,113.05430525482467
4,Sunnyvale,RandomForestRegressor,ICP,1634,0.871376301716859,104.96957991307391
4,Sunnyvale,RandomForestRegressor,Weighted_ICP,1634,0.8805235012665353,105.73303670746465
4,Sunnyvale,NeuralNet,Ensemble,1634,0.8906557838446383,127.15415301892858
4,Sunnyvale,NeuralNet,ICP,1634,0.6350971010413735,41.24721145629883
4,Sunnyvale,NeuralNet,Weighted_ICP,1634,0.6816774556712637,57.617454528808594
4,Sunnyvale,RNN,Ensemble,1634,0.8906557838446383,149.30004459224938
4,Sunnyvale,RNN,ICP,1634,0.6222910216718266,44.13557052612305
4,Sunnyvale,RNN,Weighted_ICP,1634,0.6134252744159865,42.89365005493164
4,Sunnyvale,RidgeCV,Ensemble,2413,0.9127548601232812,86.8905293459444
4,Sunnyvale,RidgeCV,ICP,2413,0.9027975343764817,93.49133601365351
4,Sunnyvale,RidgeCV,Weighted_ICP,2413,0.8950529476845266,86.70327233400359
4,Sunnyvale,RandomForestRegressor,Ensemble,2413,0.9159159159159159,115.28509622731897
4,Sunnyvale,RandomForestRegressor,ICP,2413,0.9105421210684369,127.02660710818411
