index,itrial,dataname,method,alpha,coverage,width,muh_fun
0,0,appliances,ARIMA,0.05,0.947875,296.45991246678346,
1,0,appliances,ExpSmoothing,0.05,0.9395,296.29914183173526,
2,0,appliances,DynamicFactor,0.05,0.9375,253.30370328342167,
3,0,appliances,ARIMA,0.1,0.93675,248.79700143118546,
4,0,appliances,ExpSmoothing,0.1,0.927875,248.66207846109737,
5,0,appliances,DynamicFactor,0.1,0.927375,212.5791689808831,
6,0,appliances,ARIMA,0.15000000000000002,0.928875,217.74041626974213,
7,0,appliances,ExpSmoothing,0.15000000000000002,0.919375,217.62233533033302,
8,0,appliances,DynamicFactor,0.15000000000000002,0.919125,186.0435474620504,
9,0,appliances,ARIMA,0.2,0.92275,193.84471752527156,
10,0,appliances,ExpSmoothing,0.2,0.910875,193.73959525745911,
11,0,appliances,DynamicFactor,0.2,0.9129999999999999,165.62638908757438,
12,0,appliances,ARIMA,0.25,0.91525,173.99935881596397,
13,0,appliances,ExpSmoothing,0.25,0.903625,173.90499871458675,
14,0,appliances,DynamicFactor,0.25,0.9059999999999999,148.66995537539674,
0,0,appliances,Ensemble,0.05,0.939375,452.924452160924,RidgeCV
1,0,appliances,Ensemble,0.05,0.9385,523.0636692240706,RandomForestRegressor
2,0,appliances,Ensemble,0.05,0.947875,405.54799594875664,Sequential
3,0,appliances,Ensemble,0.05,0.952375,322.65205283204926,RNN
4,0,appliances,Ensemble,0.1,0.8859999999999999,315.65708011306623,RidgeCV
5,0,appliances,Ensemble,0.1,0.878625,359.5613695164073,RandomForestRegressor
6,0,appliances,Ensemble,0.1,0.897625,271.0257749035037,Sequential
7,0,appliances,Ensemble,0.1,0.898,201.18157590581401,RNN
8,0,appliances,Ensemble,0.15000000000000002,0.81375,251.53945650343533,RidgeCV
9,0,appliances,Ensemble,0.15000000000000002,0.821625,259.79123328806503,RandomForestRegressor
10,0,appliances,Ensemble,0.15000000000000002,0.840375,185.65799479421162,Sequential
11,0,appliances,Ensemble,0.15000000000000002,0.84525,117.79467520793324,RNN
12,0,appliances,Ensemble,0.2,0.75575,214.35263880331348,RidgeCV
13,0,appliances,Ensemble,0.2,0.784875,204.80289199008502,RandomForestRegressor
14,0,appliances,Ensemble,0.2,0.79825,144.52301477445926,Sequential
15,0,appliances,Ensemble,0.2,0.7875,94.58495648914669,RNN
16,0,appliances,Ensemble,0.25,0.69175,184.39953460478503,RidgeCV
17,0,appliances,Ensemble,0.25,0.7225,164.59784239385903,RandomForestRegressor
18,0,appliances,Ensemble,0.25,0.734625,107.66976652701445,Sequential
19,0,appliances,Ensemble,0.25,0.731625,78.05717966362116,RNN
20,1,appliances,Ensemble,0.05,0.939125,451.3146209665154,RidgeCV
21,1,appliances,Ensemble,0.05,0.943,529.1196248375039,RandomForestRegressor
22,1,appliances,Ensemble,0.05,0.94675,399.0295759653035,Sequential
23,1,appliances,Ensemble,0.05,0.95275,322.36708061323236,RNN
24,1,appliances,Ensemble,0.1,0.883,312.0963638086838,RidgeCV
25,1,appliances,Ensemble,0.1,0.877875,363.5625872678704,RandomForestRegressor
26,1,appliances,Ensemble,0.1,0.8965,273.51091076543287,Sequential
27,1,appliances,Ensemble,0.1,0.8975,201.28742259238518,RNN
28,1,appliances,Ensemble,0.15000000000000002,0.8165,247.7489786680487,RidgeCV
29,1,appliances,Ensemble,0.15000000000000002,0.819625,262.0702069810062,RandomForestRegressor
30,1,appliances,Ensemble,0.15000000000000002,0.8415,184.9764822917567,Sequential
31,1,appliances,Ensemble,0.15000000000000002,0.8455,117.83454909362072,RNN
32,1,appliances,Ensemble,0.2,0.75675,211.6100585644751,RidgeCV
33,1,appliances,Ensemble,0.2,0.783125,206.04635795264937,RandomForestRegressor
34,1,appliances,Ensemble,0.2,0.799375,137.66372272778491,Sequential
35,1,appliances,Ensemble,0.2,0.78875,94.22365320785929,RNN
36,1,appliances,Ensemble,0.25,0.693375,182.24898368150883,RidgeCV
37,1,appliances,Ensemble,0.25,0.723375,164.24753733210727,RandomForestRegressor
38,1,appliances,Ensemble,0.25,0.73575,109.14751599653368,Sequential
39,1,appliances,Ensemble,0.25,0.72675,78.18481706209508,RNN
40,2,appliances,Ensemble,0.05,0.939875,451.46564030282326,RidgeCV
