index,itrial,dataname,method,alpha,coverage,width,muh_fun
0,0,appliances,ARIMA,0.05,0.947875,296.45991246678346,
1,0,appliances,ExpSmoothing,0.05,0.9395,296.29914183173526,
2,0,appliances,DynamicFactor,0.05,0.9375,253.30370328342167,
3,0,appliances,ARIMA,0.1,0.93675,248.79700143118546,
4,0,appliances,ExpSmoothing,0.1,0.927875,248.66207846109737,
5,0,appliances,DynamicFactor,0.1,0.927375,212.5791689808831,
6,0,appliances,ARIMA,0.15000000000000002,0.928875,217.74041626974213,
7,0,appliances,ExpSmoothing,0.15000000000000002,0.919375,217.62233533033302,
8,0,appliances,DynamicFactor,0.15000000000000002,0.919125,186.0435474620504,
9,0,appliances,ARIMA,0.2,0.92275,193.84471752527156,
10,0,appliances,ExpSmoothing,0.2,0.910875,193.73959525745911,
11,0,appliances,DynamicFactor,0.2,0.9129999999999999,165.62638908757438,
12,0,appliances,ARIMA,0.25,0.91525,173.99935881596397,
13,0,appliances,ExpSmoothing,0.25,0.903625,173.90499871458675,
14,0,appliances,DynamicFactor,0.25,0.9059999999999999,148.66995537539674,
0,0,appliances,Ensemble,0.05,0.94875,304.6035395724943,RidgeCV
1,0,appliances,Ensemble,0.05,0.948375,330.6249925059511,RandomForestRegressor
2,0,appliances,Ensemble,0.05,0.948625,304.0703581214069,Sequential
3,0,appliances,Ensemble,0.05,0.9520000000000001,321.89047550555716,RNN
4,0,appliances,Ensemble,0.1,0.898125,147.70842587413338,RidgeCV
5,0,appliances,Ensemble,0.1,0.89925,164.8470551865833,RandomForestRegressor
6,0,appliances,Ensemble,0.1,0.8965,156.2946143228608,Sequential
7,0,appliances,Ensemble,0.1,0.8965,201.040749272875,RNN
8,0,appliances,Ensemble,0.15000000000000002,0.84825,93.48727844594688,RidgeCV
9,0,appliances,Ensemble,0.15000000000000002,0.848125,93.25292511582269,RandomForestRegressor
10,0,appliances,Ensemble,0.15000000000000002,0.849875,96.61530324954927,Sequential
11,0,appliances,Ensemble,0.15000000000000002,0.84725,117.81709022863356,RNN
12,0,appliances,Ensemble,0.2,0.800875,63.333994036181316,RidgeCV
13,0,appliances,Ensemble,0.2,0.8059999999999999,61.06398649204194,RandomForestRegressor
14,0,appliances,Ensemble,0.2,0.79975,65.87193060492488,Sequential
15,0,appliances,Ensemble,0.2,0.79225,94.31884923984293,RNN
16,0,appliances,Ensemble,0.25,0.75125,49.81712465160228,RidgeCV
17,0,appliances,Ensemble,0.25,0.758125,49.81627340185528,RandomForestRegressor
18,0,appliances,Ensemble,0.25,0.750875,51.66308677734957,Sequential
19,0,appliances,Ensemble,0.25,0.731,77.7035556812452,RNN
20,1,appliances,Ensemble,0.05,0.94875,305.9932338747106,RidgeCV
21,1,appliances,Ensemble,0.05,0.94825,328.6285076173228,RandomForestRegressor
22,1,appliances,Ensemble,0.05,0.94825,303.44994696109075,Sequential
23,1,appliances,Ensemble,0.05,0.9520000000000001,321.87854186240384,RNN
24,1,appliances,Ensemble,0.1,0.899,147.82345775980343,RidgeCV
25,1,appliances,Ensemble,0.1,0.898375,163.72214325834543,RandomForestRegressor
26,1,appliances,Ensemble,0.1,0.897,155.91104518365185,Sequential
27,1,appliances,Ensemble,0.1,0.896125,201.0445475072885,RNN
28,1,appliances,Ensemble,0.15000000000000002,0.84825,94.5271447926948,RidgeCV
29,1,appliances,Ensemble,0.15000000000000002,0.846375,91.65293063116732,RandomForestRegressor
30,1,appliances,Ensemble,0.15000000000000002,0.849625,96.50789831662864,Sequential
31,1,appliances,Ensemble,0.15000000000000002,0.847125,117.84835022486764,RNN
32,1,appliances,Ensemble,0.2,0.80175,63.84205311487914,RidgeCV
33,1,appliances,Ensemble,0.2,0.8055,59.532927636874724,RandomForestRegressor
34,1,appliances,Ensemble,0.2,0.801125,66.68856561343212,Sequential
35,1,appliances,Ensemble,0.2,0.793125,94.34499085270369,RNN
36,1,appliances,Ensemble,0.25,0.752125,50.13673069547396,RidgeCV
37,1,appliances,Ensemble,0.25,0.757875,48.921205421719634,RandomForestRegressor
38,1,appliances,Ensemble,0.25,0.751125,52.10494856517748,Sequential
39,1,appliances,Ensemble,0.25,0.73425,77.69972324200428,RNN
40,2,appliances,Ensemble,0.05,0.948375,304.88397696842634,RidgeCV
