itrial,dataname,method,alpha,coverage,width
0,appliances,ARIMA,0.05,0.947875,296.4599124667835
0,appliances,ExpSmoothing,0.05,0.9395,296.29914183173526
0,appliances,DynamicFactor,0.05,0.9375,253.3037032834217
0,appliances,ARIMA,0.1,0.93675,248.79700143118546
0,appliances,ExpSmoothing,0.1,0.927875,248.66207846109737
0,appliances,DynamicFactor,0.1,0.927375,212.57916898088308
0,appliances,ARIMA,0.15000000000000002,0.928875,217.74041626974213
0,appliances,ExpSmoothing,0.15000000000000002,0.919375,217.62233533033302
0,appliances,DynamicFactor,0.15000000000000002,0.919125,186.04354746205038
0,appliances,ARIMA,0.2,0.92275,193.84471752527153
0,appliances,ExpSmoothing,0.2,0.910875,193.7395952574591
0,appliances,DynamicFactor,0.2,0.913,165.62638908757438
0,appliances,ARIMA,0.25,0.91525,173.99935881596397
0,appliances,ExpSmoothing,0.25,0.903625,173.90499871458675
0,appliances,DynamicFactor,0.25,0.906,148.66995537539677
