,Unnamed: 0,index,itrial,dataname,muh_fun,method,train_size,coverage,width
0,0.0,0.0,0,appliances,RidgeCV,Ensemble,1000,0.8665555555555555,457.65206414421294
1,6.0,6.0,0,appliances,RandomForestRegressor,Ensemble,1000,0.8923333333333333,325.4431244015865
2,18.0,18.0,0,appliances,RidgeCV,Ensemble,1888,0.8902859960552268,377.7217038395064
3,24.0,24.0,0,appliances,RandomForestRegressor,Ensemble,1888,0.8803007889546351,411.8219635837188
4,36.0,36.0,0,appliances,RidgeCV,Ensemble,2777,0.8827357053855739,344.59152567693224
5,42.0,42.0,0,appliances,RandomForestRegressor,Ensemble,2777,0.8560155060224284,427.13175853342887
6,90.0,90.0,1,appliances,RidgeCV,Ensemble,1000,0.8664444444444445,466.8929449990986
7,96.0,96.0,1,appliances,RandomForestRegressor,Ensemble,1000,0.8905555555555555,329.3131491447893
8,108.0,108.0,1,appliances,RidgeCV,Ensemble,1888,0.8889299802761341,359.15992989314384
9,114.0,114.0,1,appliances,RandomForestRegressor,Ensemble,1888,0.8768491124260355,407.5595895581933
10,126.0,126.0,1,appliances,RidgeCV,Ensemble,2777,0.8827357053855739,343.30390301976263
11,132.0,132.0,1,appliances,RandomForestRegressor,Ensemble,2777,0.8589228852277447,426.4728820837805
12,180.0,180.0,2,appliances,RidgeCV,Ensemble,1000,0.8640000000000001,492.325585997983
13,186.0,186.0,2,appliances,RandomForestRegressor,Ensemble,1000,0.8924444444444445,345.22828346397995
14,198.0,198.0,2,appliances,RidgeCV,Ensemble,1888,0.8904092702169625,361.8424967160137
15,204.0,204.0,2,appliances,RandomForestRegressor,Ensemble,1888,0.8758629191321499,432.3535830103936
16,216.0,216.0,2,appliances,RidgeCV,Ensemble,2777,0.8837048317873459,344.5604411908537
17,222.0,222.0,2,appliances,RandomForestRegressor,Ensemble,2777,0.8583690987124464,418.94318058795636
18,270.0,270.0,3,appliances,RidgeCV,Ensemble,1000,0.8634444444444445,508.619690763506
19,276.0,276.0,3,appliances,RandomForestRegressor,Ensemble,1000,0.8947777777777778,324.2809246062558
