,Unnamed: 0,index,itrial,dataname,muh_fun,method,train_size,coverage,width
0,0.0,0.0,0,appliances,RidgeCV,Ensemble,980,0.8995555555555556,159.80236632249748
1,4.0,4.0,0,appliances,RandomForestRegressor,Ensemble,980,0.8966666666666666,194.46994586054583
2,12.0,12.0,0,appliances,RidgeCV,Ensemble,1868,0.9001479289940828,146.62104713771976
3,16.0,16.0,0,appliances,RandomForestRegressor,Ensemble,1868,0.9015039447731756,174.77995522639003
4,24.0,24.0,0,appliances,RidgeCV,Ensemble,2757,0.8978263879274541,148.72119195702018
5,28.0,28.0,0,appliances,RandomForestRegressor,Ensemble,2757,0.8975494946698048,179.3150318741966
6,60.0,60.0,1,appliances,RidgeCV,Ensemble,980,0.9001111111111111,157.27351106421008
7,64.0,64.0,1,appliances,RandomForestRegressor,Ensemble,980,0.8965555555555556,194.23161840939517
8,72.0,72.0,1,appliances,RidgeCV,Ensemble,1868,0.9016272189349112,147.99718743945982
9,76.0,76.0,1,appliances,RandomForestRegressor,Ensemble,1868,0.9003944773175543,172.57410268349048
10,84.0,84.0,1,appliances,RidgeCV,Ensemble,2757,0.897134154783331,147.94439869937858
11,88.0,88.0,1,appliances,RandomForestRegressor,Ensemble,2757,0.8981032811851032,176.2866925768573
12,120.0,120.0,2,appliances,RidgeCV,Ensemble,980,0.8987777777777778,157.3436232411921
13,124.0,124.0,2,appliances,RandomForestRegressor,Ensemble,980,0.8961111111111111,192.235741408168
14,132.0,132.0,2,appliances,RidgeCV,Ensemble,1868,0.89965483234714,146.26243706051088
15,136.0,136.0,2,appliances,RandomForestRegressor,Ensemble,1868,0.9010108481262328,174.6203540600694
16,144.0,144.0,2,appliances,RidgeCV,Ensemble,2757,0.8964419216392081,147.76343582717232
17,148.0,148.0,2,appliances,RandomForestRegressor,Ensemble,2757,0.8964419216392081,174.88860122623325
18,180.0,180.0,3,appliances,RidgeCV,Ensemble,980,0.8994444444444445,157.5209525588703
19,184.0,184.0,3,appliances,RandomForestRegressor,Ensemble,980,0.8984444444444445,189.1126593102214
20,192.0,192.0,3,appliances,RidgeCV,Ensemble,1868,0.8997781065088757,146.7400411775919
21,196.0,196.0,3,appliances,RandomForestRegressor,Ensemble,1868,0.900887573964497,176.1071588899432
22,204.0,204.0,3,appliances,RidgeCV,Ensemble,2757,0.8974110480409802,148.42889352656167
23,208.0,208.0,3,appliances,RandomForestRegressor,Ensemble,2757,0.8974110480409802,179.0861445732832
24,240.0,240.0,4,appliances,RidgeCV,Ensemble,980,0.8993333333333333,157.03470329985132
25,244.0,244.0,4,appliances,RandomForestRegressor,Ensemble,980,0.8966666666666666,190.14389525959388
26,252.0,252.0,4,appliances,RidgeCV,Ensemble,1868,0.8997781065088757,145.5250931743937
27,256.0,256.0,4,appliances,RandomForestRegressor,Ensemble,1868,0.9006410256410257,176.42401801396875
28,264.0,264.0,4,appliances,RidgeCV,Ensemble,2757,0.8976879412986294,148.2978434409178
29,268.0,268.0,4,appliances,RandomForestRegressor,Ensemble,2757,0.8981032811851032,174.84749837023412
30,300.0,300.0,5,appliances,RidgeCV,Ensemble,980,0.8983333333333333,158.94678998489314
31,304.0,304.0,5,appliances,RandomForestRegressor,Ensemble,980,0.8966666666666666,194.17688252221734
32,312.0,312.0,5,appliances,RidgeCV,Ensemble,1868,0.9000246548323472,146.43941999612827
33,316.0,316.0,5,appliances,RandomForestRegressor,Ensemble,1868,0.9001479289940828,175.9325847202022
34,324.0,324.0,5,appliances,RidgeCV,Ensemble,2757,0.897134154783331,148.68497520318337
35,328.0,328.0,5,appliances,RandomForestRegressor,Ensemble,2757,0.8974110480409802,177.186645612105
36,360.0,360.0,6,appliances,RidgeCV,Ensemble,980,0.8996666666666666,159.79090390218906
37,364.0,364.0,6,appliances,RandomForestRegressor,Ensemble,980,0.8982222222222223,191.2698987118568
38,372.0,372.0,6,appliances,RidgeCV,Ensemble,1868,0.8994082840236687,146.68775986994748
39,376.0,376.0,6,appliances,RandomForestRegressor,Ensemble,1868,0.9013806706114399,176.4968764132523
40,384.0,384.0,6,appliances,RidgeCV,Ensemble,2757,0.8968572615256819,148.4857294502519
41,388.0,388.0,6,appliances,RandomForestRegressor,Ensemble,2757,0.8982417278139277,183.2688738384428
42,420.0,420.0,7,appliances,RidgeCV,Ensemble,980,0.8995555555555556,156.7712085014114
43,424.0,424.0,7,appliances,RandomForestRegressor,Ensemble,980,0.8972222222222223,188.66943443145732
44,432.0,432.0,7,appliances,RidgeCV,Ensemble,1868,0.8994082840236687,145.16056055985138
45,436.0,436.0,7,appliances,RandomForestRegressor,Ensemble,1868,0.8992850098619329,170.4094622985499
46,444.0,444.0,7,appliances,RidgeCV,Ensemble,2757,0.8968572615256819,147.78472744557405
47,448.0,448.0,7,appliances,RandomForestRegressor,Ensemble,2757,0.8978263879274541,175.87877733256195
48,480.0,480.0,8,appliances,RidgeCV,Ensemble,980,0.8983333333333333,156.97478590500916
49,484.0,484.0,8,appliances,RandomForestRegressor,Ensemble,980,0.8972222222222223,195.4852538970104
50,492.0,492.0,8,appliances,RidgeCV,Ensemble,1868,0.8984220907297831,145.3029110987268
51,496.0,496.0,8,appliances,RandomForestRegressor,Ensemble,1868,0.9007642998027612,176.2609979527433
52,504.0,504.0,8,appliances,RidgeCV,Ensemble,2757,0.8969957081545065,148.24125422938255
53,508.0,508.0,8,appliances,RandomForestRegressor,Ensemble,2757,0.8976879412986294,180.97360431049708
54,540.0,540.0,9,appliances,RidgeCV,Ensemble,980,0.8996666666666666,159.18470022195459
55,544.0,544.0,9,appliances,RandomForestRegressor,Ensemble,980,0.8972222222222223,188.4762053596886
56,552.0,552.0,9,appliances,RidgeCV,Ensemble,1868,0.8991617357001972,146.49616553747504
57,556.0,556.0,9,appliances,RandomForestRegressor,Ensemble,1868,0.9006410256410257,175.49840395426062
58,564.0,564.0,9,appliances,RidgeCV,Ensemble,2757,0.8969957081545065,148.1179922678606
59,568.0,568.0,9,appliances,RandomForestRegressor,Ensemble,2757,0.8978263879274541,175.16426071130348
60,900.0,0.0,0,appliances,NeuralNet,Ensemble,980,0.8933333333333333,198.7656696585157
61,906.0,6.0,0,appliances,NeuralNet,Ensemble,1868,0.8921351084812623,182.6230753597572
62,912.0,12.0,0,appliances,NeuralNet,Ensemble,2757,0.8825972587567493,174.95146811757976
63,930.0,30.0,1,appliances,NeuralNet,Ensemble,980,0.893,199.47170092119848
64,936.0,36.0,1,appliances,NeuralNet,Ensemble,1868,0.8902859960552268,173.51008793736568
65,942.0,42.0,1,appliances,NeuralNet,Ensemble,2757,0.8823203654991001,177.89387805258633
66,960.0,60.0,2,appliances,NeuralNet,Ensemble,980,0.8932222222222223,195.5846294173923
67,966.0,66.0,2,appliances,NeuralNet,Ensemble,1868,0.8927514792899408,179.00280443433402
68,972.0,72.0,2,appliances,NeuralNet,Ensemble,2757,0.8832894919008722,176.79648667583348
69,990.0,90.0,3,appliances,NeuralNet,Ensemble,980,0.8911111111111111,196.25531228582688
70,996.0,96.0,3,appliances,NeuralNet,Ensemble,1868,0.8931213017751479,185.33263801837847
71,1002.0,102.0,3,appliances,NeuralNet,Ensemble,2757,0.8838432784161706,175.51876488023441
72,1020.0,120.0,4,appliances,NeuralNet,Ensemble,980,0.8925555555555555,199.18146833330607
73,1026.0,126.0,4,appliances,NeuralNet,Ensemble,1868,0.8933678500986193,176.8907009665754
74,1032.0,132.0,4,appliances,NeuralNet,Ensemble,2757,0.8863353177350132,173.52832391728472
75,1050.0,150.0,5,appliances,NeuralNet,Ensemble,980,0.8915555555555555,196.94725061585652
