index,itrial,dataname,method,alpha,coverage,width,muh_fun
0,0,green_house,ARIMA,0.05,0.7480916030534351,117.64814561311388,
1,0,green_house,ExpSmoothing,0.05,0.900763358778626,149.42047603722008,
2,0,green_house,DynamicFactor,0.05,0.9351145038167938,139.5701398153768,
3,0,green_house,ARIMA,0.1,0.6870229007633588,98.73343619691944,
4,0,green_house,ExpSmoothing,0.1,0.8549618320610687,125.39761643034142,
5,0,green_house,DynamicFactor,0.1,0.9198473282442748,117.13095368092763,
6,0,green_house,ARIMA,0.15000000000000002,0.6335877862595419,86.40883681715763,
7,0,green_house,ExpSmoothing,0.15000000000000002,0.8358778625954199,109.74460722484191,
8,0,green_house,DynamicFactor,0.15000000000000002,0.9045801526717556,102.50984724837416,
9,0,green_house,ARIMA,0.2,0.5763358778625954,76.92598761159739,
10,0,green_house,ExpSmoothing,0.2,0.8015267175572519,97.70079782096329,
11,0,green_house,DynamicFactor,0.2,0.900763358778626,91.26000916065342,
12,0,green_house,ARIMA,0.25,0.5229007633587787,69.0504889252806,
13,0,green_house,ExpSmoothing,0.25,0.7786259541984732,87.69842373672024,
14,0,green_house,DynamicFactor,0.25,0.8664122137404581,81.9170276199183,
0,0,green_house,Ensemble,0.05,0.8931297709923665,152.4396400338476,RidgeCV
1,0,green_house,Ensemble,0.05,0.9198473282442748,138.82549205797977,RandomForestRegressor
2,0,green_house,Ensemble,0.05,0.9045801526717556,138.36231243139707,Sequential
3,0,green_house,Ensemble,0.05,0.9236641221374046,103.66230225729416,RNN
4,0,green_house,Ensemble,0.1,0.8587786259541985,130.025131460231,RidgeCV
5,0,green_house,Ensemble,0.1,0.8511450381679391,102.87864250550962,RandomForestRegressor
6,0,green_house,Ensemble,0.1,0.8587786259541985,113.43539926692159,Sequential
7,0,green_house,Ensemble,0.1,0.8816793893129771,78.02670557215356,RNN
8,0,green_house,Ensemble,0.15000000000000002,0.7938931297709924,112.80788181271191,RidgeCV
9,0,green_house,Ensemble,0.15000000000000002,0.8206106870229007,83.0811223748742,RandomForestRegressor
10,0,green_house,Ensemble,0.15000000000000002,0.7977099236641222,92.36099575452648,Sequential
11,0,green_house,Ensemble,0.15000000000000002,0.8358778625954199,62.09438721763194,RNN
12,0,green_house,Ensemble,0.2,0.7633587786259542,100.73293767732694,RidgeCV
13,0,green_house,Ensemble,0.2,0.7824427480916031,69.94416647492486,RandomForestRegressor
14,0,green_house,Ensemble,0.2,0.7709923664122137,79.64393329756655,Sequential
15,0,green_house,Ensemble,0.2,0.7824427480916031,50.77281473057635,RNN
16,0,green_house,Ensemble,0.25,0.6870229007633588,87.24972567217645,RidgeCV
17,0,green_house,Ensemble,0.25,0.7213740458015268,56.50966353071736,RandomForestRegressor
18,0,green_house,Ensemble,0.25,0.7061068702290076,68.59654289434876,Sequential
19,0,green_house,Ensemble,0.25,0.7328244274809159,42.74341060866768,RNN
20,1,green_house,Ensemble,0.05,0.9045801526717556,148.94969460709405,RidgeCV
21,1,green_house,Ensemble,0.05,0.9274809160305344,125.81174960013864,RandomForestRegressor
22,1,green_house,Ensemble,0.05,0.916030534351145,136.2496078179179,Sequential
23,1,green_house,Ensemble,0.05,0.9236641221374046,103.63878691319842,RNN
24,1,green_house,Ensemble,0.1,0.8511450381679391,124.59809741993305,RidgeCV
25,1,green_house,Ensemble,0.1,0.8549618320610687,97.24124587605341,RandomForestRegressor
26,1,green_house,Ensemble,0.1,0.8549618320610687,112.29029785602293,Sequential
27,1,green_house,Ensemble,0.1,0.8816793893129771,77.94619671015724,RNN
28,1,green_house,Ensemble,0.15000000000000002,0.8091603053435115,108.78980087905985,RidgeCV
29,1,green_house,Ensemble,0.15000000000000002,0.816793893129771,80.90412526797027,RandomForestRegressor
30,1,green_house,Ensemble,0.15000000000000002,0.7900763358778626,90.01630436191681,Sequential
31,1,green_house,Ensemble,0.15000000000000002,0.8396946564885496,62.110949636728705,RNN
32,1,green_house,Ensemble,0.2,0.7671755725190841,96.66736755428266,RidgeCV
33,1,green_house,Ensemble,0.2,0.7595419847328244,68.80502113963011,RandomForestRegressor
34,1,green_house,Ensemble,0.2,0.7519083969465649,80.82848762527055,Sequential
35,1,green_house,Ensemble,0.2,0.7824427480916031,50.65094061476852,RNN
36,1,green_house,Ensemble,0.25,0.7290076335877863,85.78996792632367,RidgeCV
37,1,green_house,Ensemble,0.25,0.6946564885496184,57.14161010072518,RandomForestRegressor
38,1,green_house,Ensemble,0.25,0.7099236641221374,69.61464694733095,Sequential
39,1,green_house,Ensemble,0.25,0.7328244274809159,42.7823509551584,RNN
40,2,green_house,Ensemble,0.05,0.9045801526717556,165.6860577816059,RidgeCV
41,2,green_house,Ensemble,0.05,0.9351145038167938,129.36303135848414,RandomForestRegressor
42,2,green_house,Ensemble,0.05,0.9045801526717556,151.6146002260549,Sequential
43,2,green_house,Ensemble,0.05,0.9236641221374046,103.64424692557371,RNN
44,2,green_house,Ensemble,0.1,0.8587786259541985,136.73731359044805,RidgeCV
45,2,green_house,Ensemble,0.1,0.8702290076335878,97.1029062612316,RandomForestRegressor
46,2,green_house,Ensemble,0.1,0.8664122137404581,114.93088649726448,Sequential
47,2,green_house,Ensemble,0.1,0.8816793893129771,77.9585000229805,RNN
48,2,green_house,Ensemble,0.15000000000000002,0.7938931297709924,118.86650825104769,RidgeCV
49,2,green_house,Ensemble,0.15000000000000002,0.8244274809160306,78.44371073790491,RandomForestRegressor
50,2,green_house,Ensemble,0.15000000000000002,0.7977099236641222,95.1541010959894,Sequential
51,2,green_house,Ensemble,0.15000000000000002,0.8358778625954199,62.23060968536792,RNN
52,2,green_house,Ensemble,0.2,0.7595419847328244,105.37881309390652,RidgeCV
53,2,green_house,Ensemble,0.2,0.7786259541984732,66.11388272811026,RandomForestRegressor
54,2,green_house,Ensemble,0.2,0.7595419847328244,82.98638975311863,Sequential
55,2,green_house,Ensemble,0.2,0.7824427480916031,50.7706234953961,RNN
56,2,green_house,Ensemble,0.25,0.7137404580152672,92.28555592287441,RidgeCV
57,2,green_house,Ensemble,0.25,0.7137404580152672,55.43889075321296,RandomForestRegressor
58,2,green_house,Ensemble,0.25,0.7404580152671756,72.56858488984534,Sequential
59,2,green_house,Ensemble,0.25,0.7328244274809159,42.84360584849295,RNN
60,3,green_house,Ensemble,0.05,0.9083969465648856,150.60453577857302,RidgeCV
61,3,green_house,Ensemble,0.05,0.9236641221374046,122.25913901998491,RandomForestRegressor
62,3,green_house,Ensemble,0.05,0.916030534351145,132.39866971810935,Sequential
63,3,green_house,Ensemble,0.05,0.9236641221374046,103.53495968315686,RNN
64,3,green_house,Ensemble,0.1,0.8473282442748091,124.33294061056202,RidgeCV
65,3,green_house,Ensemble,0.1,0.8511450381679391,93.21089678648468,RandomForestRegressor
66,3,green_house,Ensemble,0.1,0.8664122137404581,108.60457333034992,Sequential
67,3,green_house,Ensemble,0.1,0.8854961832061069,77.79935461215412,RNN
68,3,green_house,Ensemble,0.15000000000000002,0.8244274809160306,106.51927070663167,RidgeCV
69,3,green_house,Ensemble,0.15000000000000002,0.8320610687022901,75.25775443058956,RandomForestRegressor
70,3,green_house,Ensemble,0.15000000000000002,0.7900763358778626,90.57660012135678,Sequential
71,3,green_house,Ensemble,0.15000000000000002,0.8358778625954199,62.081845877316844,RNN
72,3,green_house,Ensemble,0.2,0.7786259541984732,94.3154874528623,RidgeCV
73,3,green_house,Ensemble,0.2,0.7900763358778626,63.72977578684373,RandomForestRegressor
74,3,green_house,Ensemble,0.2,0.7404580152671756,80.16648003866884,Sequential
75,3,green_house,Ensemble,0.2,0.7786259541984732,50.60838551952182,RNN
76,3,green_house,Ensemble,0.25,0.7251908396946565,82.7241945010677,RidgeCV
77,3,green_house,Ensemble,0.25,0.7404580152671756,53.65695469626257,RandomForestRegressor
78,3,green_house,Ensemble,0.25,0.7290076335877863,67.4173699879466,Sequential
79,3,green_house,Ensemble,0.25,0.7328244274809159,42.70531275172433,RNN
80,4,green_house,Ensemble,0.05,0.8931297709923665,152.00501822490548,RidgeCV
81,4,green_house,Ensemble,0.05,0.9351145038167938,124.40955222842494,RandomForestRegressor
82,4,green_house,Ensemble,0.05,0.9083969465648856,142.16356289200263,Sequential
83,4,green_house,Ensemble,0.05,0.9236641221374046,103.56387685271906,RNN
84,4,green_house,Ensemble,0.1,0.8473282442748091,130.14326258456444,RidgeCV
85,4,green_house,Ensemble,0.1,0.8664122137404581,93.88416020622006,RandomForestRegressor
86,4,green_house,Ensemble,0.1,0.8549618320610687,109.68189619050423,Sequential
87,4,green_house,Ensemble,0.1,0.8854961832061069,77.80162927255047,RNN
88,4,green_house,Ensemble,0.15000000000000002,0.816793893129771,112.51152773588743,RidgeCV
89,4,green_house,Ensemble,0.15000000000000002,0.816793893129771,76.01372309521201,RandomForestRegressor
90,4,green_house,Ensemble,0.15000000000000002,0.8053435114503816,92.568036514016,Sequential
91,4,green_house,Ensemble,0.15000000000000002,0.8358778625954199,62.10743478749369,RNN
92,4,green_house,Ensemble,0.2,0.7595419847328244,98.5451526920446,RidgeCV
93,4,green_house,Ensemble,0.2,0.7557251908396947,63.98642344606514,RandomForestRegressor
94,4,green_house,Ensemble,0.2,0.7671755725190841,79.55545878654489,Sequential
95,4,green_house,Ensemble,0.2,0.7786259541984732,50.75877993751047,RNN
96,4,green_house,Ensemble,0.25,0.6984732824427481,86.01176366225155,RidgeCV
97,4,green_house,Ensemble,0.25,0.6984732824427481,53.82193610712617,RandomForestRegressor
98,4,green_house,Ensemble,0.25,0.7061068702290076,70.68057326279028,Sequential
99,4,green_house,Ensemble,0.25,0.7328244274809159,42.7872659899539,RNN
100,5,green_house,Ensemble,0.05,0.8893129770992366,162.33959456309026,RidgeCV
101,5,green_house,Ensemble,0.05,0.9274809160305344,124.15589596013703,RandomForestRegressor
102,5,green_house,Ensemble,0.05,0.916030534351145,136.83857020552628,Sequential
103,5,green_house,Ensemble,0.05,0.9236641221374046,103.64891921633108,RNN
104,5,green_house,Ensemble,0.1,0.8473282442748091,135.71480679130153,RidgeCV
105,5,green_house,Ensemble,0.1,0.8587786259541985,96.25877601698878,RandomForestRegressor
106,5,green_house,Ensemble,0.1,0.8664122137404581,113.33272540075205,Sequential
107,5,green_house,Ensemble,0.1,0.8854961832061069,77.8576214505237,RNN
108,5,green_house,Ensemble,0.15000000000000002,0.8244274809160306,115.5109191879906,RidgeCV
